"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
1001," Aguascalientes",948990,87846,0.9074321120349,90.74321120349
1002," Asientos",51536,1859,0.963928127910587,96.3928127910587
1003," Calvillo",58250,3532,0.939364806866953,93.9364806866953
1004," Cosío",17000,993,0.941588235294118,94.1588235294118
1010," El Llano",20853,2314,0.889032753081091,88.9032753081091
1005," Jesús María",129929,12570,0.903254854574421,90.3254854574421
1006," Pabellón de Arteaga",47646,3806,0.92011921252571,92.0119212525711
1007," Rincón de Romos",57369,3874,0.932472241105824,93.2472241105824
1011," San Francisco de los Romo",61997,12775,0.793941642337533,79.3941642337532
1008," San José de Gracia",9552,2158,0.774078726968174,77.4078726968174
1009," Tepezalá",22485,1408,0.937380475872804,93.7380475872804
2001," Ensenada",443807,46953,0.894204012104361,89.4204012104361
2002," Mexicali",1049792,131350,0.874879976223861,87.4879976223861
2005," Playas de Rosarito",126890,14729,0.883923082985263,88.3923082985263
2006," San Quintín",117568,5695,0.951559948285248,95.1559948285248
2003," Tecate",108440,8165,0.924704905938768,92.4704905938768
2004," Tijuana",1922523,215805,0.887749067241328,88.7749067241328
3001," Comondú",73021,5106,0.93007490995741,93.007490995741
3003," La Paz",292241,31130,0.893478327818479,89.3478327818479
3009," Loreto",18052,584,0.967649013959672,96.7649013959672
3008," Los Cabos",351111,35621,0.898547752704985,89.8547752704985
3002," Mulegé",64022,3676,0.942582237355909,94.2582237355909
4010," Calakmul",31714,489,0.98458094217065,98.458094217065
4001," Calkiní",59232,2944,0.950297136682874,95.0297136682874
4002," Campeche",294077,16046,0.94543605926339,94.543605926339
4011," Candelaria",46913,1130,0.975912859974847,97.5912859974847
4003," Carmen",248845,13498,0.945757399184231,94.5757399184231
4004," Champotón",78170,1582,0.979762057055136,97.9762057055136
4009," Escárcega",59923,2811,0.953089798574838,95.3089798574838
4005," Hecelchakán",31917,1252,0.960773255631795,96.0773255631795
4006," Hopelchén",42140,692,0.983578547698149,98.3578547698149
4007," Palizada",8683,905,0.895773350224577,89.5773350224577
4012," Seybaplaya",15297,786,0.94861737595607,94.861737595607
4008," Tenabo",11452,806,0.929619280475026,92.9619280475026
5001," Abasolo",1022,555,0.456947162426614,45.6947162426614
5002," Acuña",163058,6857,0.95794747881122,95.794747881122
5003," Allende",23056,1369,0.940622831367106,94.0622831367106
5004," Arteaga",29578,8442,0.714585164649402,71.4585164649402
5005," Candela",1643,123,0.925136944613512,92.5136944613512
5006," Castaños",29128,4981,0.828996154902499,82.8996154902499
5007," Cuatro Ciénegas",12715,806,0.936610302791978,93.6610302791978
5008," Escobedo",3047,106,0.965211683623236,96.5211683623236
5009," Francisco I. Madero",59035,2549,0.956822224104345,95.6822224104345
5010," Frontera",82409,14148,0.828319722360422,82.8319722360422
5011," General Cepeda",11898,520,0.956295175659775,95.6295175659775
5012," Guerrero",1643,215,0.869141813755326,86.9141813755326
5013," Hidalgo",1735,69,0.960230547550432,96.0230547550432
5014," Jiménez",9502,1869,0.803304567459482,80.3304567459482
5015," Juárez",1584,176,0.888888888888889,88.8888888888889
5016," Lamadrid",1764,52,0.970521541950113,97.0521541950113
5017," Matamoros",118337,27506,0.767562131877604,76.7562131877604
5018," Monclova",237951,18380,0.922757206315586,92.2757206315586
5019," Morelos",7928,1177,0.851538849646821,85.1538849646821
5020," Múzquiz",71627,4775,0.933335194828766,93.3335194828766
5021," Nadadores",6539,1779,0.727940051995718,72.7940051995718
5022," Nava",33129,5533,0.832986205439343,83.2986205439343
5023," Ocampo",9642,197,0.979568554241859,97.9568554241858
5024," Parras",44472,3423,0.923030221262817,92.3030221262817
5025," Piedras Negras",176327,13404,0.923982146806785,92.3982146806785
5026," Progreso",3239,265,0.918184624884224,91.8184624884224
5027," Ramos Arizpe",122243,30528,0.750267909000924,75.0267909000924
5028," Sabinas",64811,8656,0.866442424897008,86.6442424897008
5029," Sacramento",2471,145,0.941319303925536,94.1319303925536
5030," Saltillo",879958,84435,0.904046556767482,90.4046556767482
5031," San Buenaventura",24759,1459,0.941071933438346,94.1071933438346
5032," San Juan de Sabinas",42260,3521,0.916682442025556,91.6682442025556
5033," San Pedro",101041,6300,0.937649073148524,93.7649073148524
5034," Sierra Mojada",6744,249,0.963078291814947,96.3078291814947
5035," Torreón",720848,39964,0.944559740749784,94.4559740749784
5036," Viesca",20305,2764,0.863875892637281,86.3875892637281
5037," Villa Unión",6188,1442,0.766968325791855,76.6968325791855
5038," Zaragoza",13135,3488,0.734449942900647,73.4449942900647
6001," Armería",27626,1179,0.957322811843915,95.7322811843915
6002," Colima",157048,6200,0.960521623962101,96.0521623962101
6003," Comala",21661,4047,0.813166520474586,81.3166520474586
6004," Coquimatlán",20837,2294,0.889907376301771,88.9907376301771
6005," Cuauhtémoc",31267,8223,0.737007068154924,73.7007068154924
