"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
1001," Aguascalientes",948990,9086,0.990425610385779,99.0425610385779
1002," Asientos",51536,301,0.994159422539584,99.4159422539584
1003," Calvillo",58250,378,0.993510729613734,99.3510729613734
1004," Cosío",17000,74,0.99564705882353,99.5647058823529
1010," El Llano",20853,73,0.996499304656404,99.6499304656404
1005," Jesús María",129929,990,0.992380453940229,99.2380453940229
1006," Pabellón de Arteaga",47646,265,0.994438148008227,99.4438148008227
1007," Rincón de Romos",57369,264,0.995398211577681,99.5398211577681
1011," San Francisco de los Romo",61997,373,0.993983579850638,99.3983579850638
1008," San José de Gracia",9552,31,0.996754606365159,99.6754606365159
1009," Tepezalá",22485,133,0.994084945519235,99.4084945519235
2001," Ensenada",443807,6079,0.986302604510519,98.6302604510519
2002," Mexicali",1049792,17535,0.983296691154057,98.3296691154057
2005," Playas de Rosarito",126890,1656,0.986949326188037,98.6949326188037
2003," Tecate",108440,1598,0.985263740317226,98.5263740317226
2004," Tijuana",1922523,33957,0.98233727242795,98.233727242795
3001," Comondú",73021,349,0.995220552991605,99.5220552991605
3003," La Paz",292241,2873,0.990169072785817,99.0169072785817
3009," Loreto",18052,138,0.992355417682251,99.2355417682251
3008," Los Cabos",351111,4869,0.986132590548288,98.6132590548288
3002," Mulegé",64022,365,0.994298834775546,99.4298834775546
4010," Calakmul",31714,43,0.998644131929116,99.8644131929117
4001," Calkiní",59232,233,0.996066315505132,99.6066315505132
4002," Campeche",294077,2417,0.991781064143065,99.1781064143065
4011," Candelaria",46913,79,0.998316031803551,99.8316031803551
4003," Carmen",248845,1993,0.991990998412666,99.1990998412666
4004," Champotón",78170,309,0.996047076883715,99.6047076883715
4009," Escárcega",59923,216,0.996395374063381,99.6395374063381
4005," Hecelchakán",31917,99,0.996898204718489,99.6898204718489
4006," Hopelchén",42140,79,0.99812529663028,99.812529663028
4007," Palizada",8683,18,0.997926983761373,99.7926983761373
4008," Tenabo",11452,26,0.997729654208872,99.7729654208872
5001," Abasolo",1022,8,0.992172211350294,99.2172211350293
5002," Acuña",163058,783,0.995198027695667,99.5198027695667
5003," Allende",23056,202,0.991238723108952,99.1238723108952
5004," Arteaga",29578,219,0.992595848265603,99.2595848265603
5005," Candela",1643,7,0.995739500912964,99.5739500912964
5006," Castaños",29128,146,0.994987640758033,99.4987640758034
5007," Cuatro Ciénegas",12715,72,0.994337396775462,99.4337396775462
5008," Escobedo",3047,14,0.995405316704956,99.5405316704956
5009," Francisco I. Madero",59035,260,0.995595832980435,99.5595832980435
5010," Frontera",82409,699,0.991517916732396,99.1517916732396
5011," General Cepeda",11898,33,0.997226424609178,99.7226424609178
5012," Guerrero",1643,20,0.987827145465612,98.7827145465612
5013," Hidalgo",1735,7,0.995965417867435,99.5965417867435
