Municipality.code,Municipality,Total_residents,Total_houses,P_female,Mean_age,P_age_00_14,P_age_15_39,P_age_65_more,P_migrants,P_afrodescendants,P_disability,P_indigenous_language,P_university_studies,P_read_write,P_electricity,P_car,P_cell_phone,P_internet,Mean_occupants,P_working,Current_income,P_poverty,P_extreme_poverty,P_vulnerable_income,P_educational_lag,P_lack_quality_living_spaces
1001, Aguascalientes,948990,266778,51.30897059,31.19206777,25.37645456,41.05295468,7.166348823,0.914689167,1.601182152,17.95530461,0.428835991,25.5076048,98.04930252,99.83547627,63.74417286,94.5565531,67.09828891,3.525875396,79.10511113,62433.12,23.7,2,10,9.4,2.3
1002, Asientos,51536,12542,50.98377833,28.26741207,31.57465642,40.23798432,6.465952325,0.706713781,0.436859273,15.15839739,0.083574663,5.122273629,95.10969286,99.24091091,53.06954436,85.37404092,36.1703828,4.074109567,76.46776131,41022.53,40.1,4.1,6.6,21.7,7.9
1003, Calvillo,58250,15546,50.96480687,31.0872112,28.72111999,37.66898566,9.689942455,2.253946984,0.457005412,19.54579812,0.297752229,6.450613566,93.84536149,99.27788524,58.23339781,88.12794222,42.25561001,3.726546392,71.6901773,48863.53,45.8,4.5,3.8,24.6,5.8
1004, Cosío,17000,3937,51.22352941,28.70482353,30.48823529,40.17647059,6.576470588,0.700041179,12.67647059,16.67058824,0.088250868,7.718120805,95.47649301,99.36402951,53.81679389,87.10251844,44.28898499,4.263291783,77.81465407,42930.31,37,3.4,9.9,15.8,9.3
1010, El Llano,20853,5210,49.90648828,29.15624401,29.96834836,39.80433532,6.675618646,0.950323974,0.739353786,18.48545926,0.098178784,6.325818968,94.54161061,98.54042635,56.73132322,85.78836182,25.52333397,3.887096774,73.83519446,37946.55,40.6,4.8,5.4,21.2,8.6
1005, Jesús María,129929,33214,50.57377491,28.47361122,29.51151861,41.54634409,5.037368056,1.119454767,1.960618023,13.66064203,0.304567745,22.82705955,96.97472402,99.53217433,67.73122434,94.81374147,60.13403369,3.868740768,84.18827934,55616.03,26.3,3.3,7.7,16.8,6.8
1006, Pabellón de Arteaga,47646,11456,50.93607018,28.86624097,29.70089061,41.14644598,6.253150731,0.777425252,1.012817819,18.24102866,0.239919185,15.58058743,96.01363756,99.41372069,58.88169408,90.50577529,54.25271264,4.106293706,76.94665849,51405.38,28.9,2.9,10.3,14.9,6.7
1007, Rincón de Romos,57369,13572,51.01709983,28.36514124,30.94497273,40.66913718,6.256118025,0.884584455,0.585602909,17.97395333,0.716249584,13.62537235,95.29089968,99.3339254,56.15748964,90.07548845,46.48804678,4.153505535,77.44015415,46594.36,40.5,5.6,8.2,15.8,8.9
1011, San Francisco de los Romo,61997,16387,50.47341,26.47639443,32.57907582,43.3223966,3.727109631,0.780858459,0.682306909,12.68971537,0.433264356,9.776554404,97.04891937,99.54089128,54.74412341,93.70064279,49.26533611,3.760720831,85.68980291,52960.86,37.8,5.9,13.9,17.9,7.7
1008, San José de Gracia,9552,2381,52.55443886,28.53957286,31.75251256,39.68802345,7.129396985,0.817010579,6.176716918,18.31030151,0.314070352,9.840871022,97.01805964,98.61227923,60.51303616,88.26745164,30.7951199,3.97392767,71.74736842,35683.05,45.8,2.3,5.4,14.6,3.8
1009, Tepezalá,22485,5422,50.57149211,28.70861754,30.57375953,40.69814097,6.981409656,0.829431438,0.370040125,14.52900004,0.156201187,5.567709961,93.80318165,99.21625412,52.05631715,85.40200074,38.06260419,4.111029004,76.75755889,39294.06,37.6,3.1,7.2,20.3,6.5
2001, Ensenada,443807,139850,50.13440527,32.54636959,23.38191315,40.41101143,7.943273928,2.537682485,1.805817462,15.76538848,5.415840954,21.84552685,97.38036348,98.29883897,72.4932914,94.55159182,66.90424834,3.149757306,77.68968041,61895.73,22.3,2.1,5.5,12.9,6.9
2002, Mexicali,1049792,330356,49.58544169,32.86969167,22.34119929,40.73152945,7.682012516,3.359090241,1.063517009,14.89682214,0.927786024,23.54488579,98.17096124,99.31567624,78.28738183,93.98049222,68.88632847,3.153405434,79.13812161,66811.86,20.2,1.1,6.6,10.9,6
2005, Playas de Rosarito,126890,38109,49.2584128,32.35202009,23.22722701,40.62111408,7.548096343,5.838226997,2.818311079,14.65421392,2.277929764,13.49664784,97.66591602,99.21775612,72.78242734,94.5682489,69.61466598,3.30921814,77.92675817,58326.98,31.2,2.2,5.8,14.4,9.3
2006, San Quintín,117568,32750,49.15453185,27.03826053,30.75482619,44.2962446,4.222702666,1.171981466,3.452534044,16.23852273,30.66445495,8.358359643,90.38561512,94.24713282,60.37497302,93.38040328,36.04600962,3.563938264,86.69852648,42823.15309,34.9,3.8,3.1,27.2,15
2003, Tecate,108440,31140,47.31648838,32.08394484,23.71213101,40.51034177,7.001719007,4.859458208,1.779878957,14.48503016,1.555131153,15.49370004,97.64223971,98.41902355,78.18040385,93.59688918,65.86614811,3.299583104,79.16962385,65057.55,21.1,1.2,5.3,13,7.3
2004, Tijuana,1922523,576708,49.61100595,31.19878639,23.43666267,43.05252112,5.604486261,4.812683975,1.878118559,13.7102918,1.514385347,18.20170326,98.39144195,98.81315857,64.80455697,95.17920172,73.79626077,3.30187253,83.04634098,70948.13,23.7,1.9,6.8,13.8,6.5
3001, Comondú,73021,22216,49.59806083,33.11523705,24.40668676,37.23485887,8.83666758,0.424995202,1.099503715,19.34749829,2.210204561,14.09567841,94.95108867,98.38870282,75.69708492,91.82509506,45.76524376,3.255269109,76.49821614,52965.69,34.9,4.3,7.7,17.8,7.6
3003, La Paz,292241,91287,50.10864321,33.47927314,22.03530619,39.77627284,8.275296306,1.278561412,2.233396461,18.98986914,2.231197309,28.8000637,98.03157837,98.74236713,73.39021728,95.67244629,69.48924583,3.173916387,77.74755229,69735.5,20.6,1.9,7.2,9.6,4.4
