"Fold_ID","Feature_Label","Impact_SHAP_Value"
2,"Internet",0.000951745173716151
2,"Spatial bias",0.000464314015836746
2,"Income",0.000320712769461112
2,"University degree",0.000235748945139048
2,"Cell phone",0.000202848650005528
2,"Population 0-14",0.000116191929120803
2,"Migrants",9.23025261566137e-05
2,"Disability",8.10453953715395e-05
2,"Literacy",7.27787073634904e-05
2,"Female",6.83952502444971e-05
2,"Car",6.42707273420431e-05
2,"Electricity",6.0001517500796e-05
2,"Population 15-39",5.47740185197662e-05
2,"Population",5.12147634812955e-05
2,"Afrodescendants",5.10160407357858e-05
2,"Households",5.09121935933345e-05
2,"Mean occupants",4.66225932966251e-05
2,"Working",4.53227976028066e-05
2,"Extreme poverty",4.01851083228648e-05
2,"Poverty",3.71566602951642e-05
