"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"Current_income","Income",-0.00122075279068667
1001,"P_car","Car",-5.53340032638516e-06
1001,"P_cell_phone","Cell phone",-4.91116152261384e-05
1001,"P_internet","Internet",-0.003179928928148
1001,"P_migrants","Migrants",7.03198315932241e-05
1001,"P_university_studies","University degree",-0.000384779195883311
1001,"bias_w","Spatial bias",-6.69269884383539e-05
1002,"Current_income","Income",-0.000124209293062449
1002,"P_car","Car",-1.19645934546497e-05
1002,"P_cell_phone","Cell phone",-9.93897092484985e-05
1002,"P_internet","Internet",-0.000259173724771244
1002,"P_migrants","Migrants",2.1351657210289e-05
1002,"P_university_studies","University degree",0.000127877388877096
1002,"bias_w","Spatial bias",0.000116994132440595
1003,"Current_income","Income",-0.000387326694180956
1003,"P_car","Car",-4.41195852545206e-05
1003,"P_cell_phone","Cell phone",-0.000211021186260041
1003,"P_internet","Internet",-0.000981168574071489
1003,"P_migrants","Migrants",-0.000119814762911119
1003,"P_university_studies","University degree",0.000144687250212883
1003,"bias_w","Spatial bias",-3.1866676444281e-05
1004,"Current_income","Income",-7.13320962404396e-05
1004,"P_car","Car",1.87438288321573e-05
1004,"P_cell_phone","Cell phone",-0.000105811047433235
1004,"P_internet","Internet",-0.00103498944372404
1004,"P_migrants","Migrants",3.79390483544739e-05
1004,"P_university_studies","University degree",4.19508992068884e-05
1004,"bias_w","Spatial bias",0.000214636031159898
1005,"Current_income","Income",-0.000436134239407693
1005,"P_car","Car",-0.000110903850327304
1005,"P_cell_phone","Cell phone",-9.57813379045547e-05
1005,"P_internet","Internet",-0.0023468381841667
1005,"P_migrants","Migrants",2.63066303318737e-05
1005,"P_university_studies","University degree",-0.000308021008095238
1005,"bias_w","Spatial bias",3.63330041182053e-05
1006,"Current_income","Income",-0.000201606184418779
1006,"P_car","Car",-1.05166252524214e-05
1006,"P_cell_phone","Cell phone",-0.000267348452325677
1006,"P_internet","Internet",-0.00190101805492304
1006,"P_migrants","Migrants",4.71478288091021e-05
1006,"P_university_studies","University degree",-0.000197148804545577
1006,"bias_w","Spatial bias",0.000115095316068903
1007,"Current_income","Income",-0.000229025836233632
1007,"P_car","Car",-4.587938133227e-05
1007,"P_cell_phone","Cell phone",-0.00033441033156123
1007,"P_internet","Internet",-0.00145301208249293
1007,"P_migrants","Migrants",3.69276535820973e-05
1007,"P_university_studies","University degree",-9.84573825917323e-05
1007,"bias_w","Spatial bias",0.000168846043379745
1008,"Current_income","Income",6.61456241459746e-05
1008,"P_car","Car",-2.57719864293904e-05
1008,"P_cell_phone","Cell phone",-0.000230612491577631
1008,"P_internet","Internet",0.000278229683317477
1008,"P_migrants","Migrants",2.41582567923615e-05
1008,"P_university_studies","University degree",-9.21367694672881e-06
1008,"bias_w","Spatial bias",-3.50282684848935e-05
1009,"Current_income","Income",-6.75298506109812e-05
1009,"P_car","Car",-1.98866490563887e-05
1009,"P_cell_phone","Cell phone",-0.000116293158498593
1009,"P_internet","Internet",-0.000730831699911505
1009,"P_migrants","Migrants",2.62361495515506e-05
1009,"P_university_studies","University degree",0.000131214366774657
1009,"bias_w","Spatial bias",5.95618244005891e-05
1010,"Current_income","Income",-1.62137984034416e-05
1010,"P_car","Car",-4.94668111059582e-05
1010,"P_cell_phone","Cell phone",-0.000103441635928903
1010,"P_internet","Internet",0.000492375816975255
1010,"P_migrants","Migrants",1.0700100460781e-05
1010,"P_university_studies","University degree",0.000105151637399103
1010,"bias_w","Spatial bias",1.86384650078253e-05
1011,"Current_income","Income",-0.00033898766105267
1011,"P_car","Car",-1.17311628855532e-07
1011,"P_cell_phone","Cell phone",-0.000197682496946072
1011,"P_internet","Internet",-0.00152802933007479
1011,"P_migrants","Migrants",7.77375878442399e-05
1011,"P_university_studies","University degree",3.00612841783732e-05
1011,"bias_w","Spatial bias",9.75578773250163e-05
2001,"Current_income","Income",-0.00135238813527394
2001,"P_car","Car",-0.000316869918606244
2001,"P_cell_phone","Cell phone",-0.000414371330407448
2001,"P_internet","Internet",-0.00371033110423014
