fold_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
1,0.05,7,3,0.8,0.8,0,0,210,0.001290664
2,0.01,5,3,0.65,0.8,0.5,0,1157,0.001430116
3,0.01,5,5,0.8,1,0,0,1008,0.001296142
4,0.01,7,5,0.65,0.8,1,0,953,0.001273231
5,0.01,7,7,0.65,0.9,0,0,939,0.001463884
Promedio,0.018,6.2,4.6,0.71,0.86,0.3,0,853.4,0.001351
Desv_Estandar,0.017889,1.095445,1.67332,0.082158,0.089443,0.447214,0,369.893633,0.000089
Reporte,0.018 ± 0.0179,6.2 ± 1.0954,4.6 ± 1.6733,0.71 ± 0.0822,0.86 ± 0.0894,0.3 ± 0.4472,0 ± 0,853.4 ± 369.8936,0.0014 ± 0.0001
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
