"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.01,1,1,0.65,0.8,0,0,874,0.00142147043760384
4,0.05,1,1,0.65,0.8,0,0,253,0.00139334527268051
4,0.1,1,1,0.65,0.8,0,0,101,0.0013903053303035
4,0.3,1,1,0.65,0.8,0,0,37,0.00145242629849737
4,0.01,3,1,0.65,0.8,0,0,1003,0.00130812126620537
4,0.05,3,1,0.65,0.8,0,0,222,0.00132179844187815
4,0.1,3,1,0.65,0.8,0,0,116,0.00133824789957576
4,0.3,3,1,0.65,0.8,0,0,30,0.00138706207853232
4,0.01,5,1,0.65,0.8,0,0,971,0.00135088295936457
4,0.05,5,1,0.65,0.8,0,0,205,0.00132019660404034
4,0.1,5,1,0.65,0.8,0,0,107,0.00132480767411297
4,0.3,5,1,0.65,0.8,0,0,28,0.00147799615261861
4,0.01,7,1,0.65,0.8,0,0,1153,0.00130003849867352
4,0.05,7,1,0.65,0.8,0,0,212,0.00131893682637319
4,0.1,7,1,0.65,0.8,0,0,107,0.00136797652175344
4,0.3,7,1,0.65,0.8,0,0,26,0.00148269915722843
4,0.01,1,3,0.65,0.8,0,0,948,0.00139939378368993
4,0.05,1,3,0.65,0.8,0,0,269,0.00136372221109511
4,0.1,1,3,0.65,0.8,0,0,99,0.00139072113806816
4,0.3,1,3,0.65,0.8,0,0,95,0.00143725663750097
4,0.01,3,3,0.65,0.8,0,0,931,0.00129566685605534
4,0.05,3,3,0.65,0.8,0,0,205,0.00135901536750611
4,0.1,3,3,0.65,0.8,0,0,113,0.00132699410524774
4,0.3,3,3,0.65,0.8,0,0,40,0.00140011153626777
4,0.01,5,3,0.65,0.8,0,0,1007,0.00129927913488772
4,0.05,5,3,0.65,0.8,0,0,193,0.00131705221202795
4,0.1,5,3,0.65,0.8,0,0,91,0.00131972014611646
4,0.3,5,3,0.65,0.8,0,0,23,0.00143333496904815
4,0.01,7,3,0.65,0.8,0,0,991,0.00127641249806142
4,0.05,7,3,0.65,0.8,0,0,181,0.00130275449221261
4,0.1,7,3,0.65,0.8,0,0,96,0.00132985664393259
4,0.3,7,3,0.65,0.8,0,0,25,0.00144849926008405
4,0.01,1,5,0.65,0.8,0,0,1083,0.00134657866443265
4,0.05,1,5,0.65,0.8,0,0,206,0.00135927166022745
4,0.1,1,5,0.65,0.8,0,0,151,0.00136585124563902
4,0.3,1,5,0.65,0.8,0,0,54,0.0014417124773504
4,0.01,3,5,0.65,0.8,0,0,923,0.00130498751296845
4,0.05,3,5,0.65,0.8,0,0,177,0.00132897739377437
4,0.1,3,5,0.65,0.8,0,0,125,0.00133093933033909
4,0.3,3,5,0.65,0.8,0,0,24,0.00138638317359719
