"Feature_Label","Impact_SHAP_Value"
"Internet",0.00102717072137917
"Income",0.000294359598723743
"Cell phone",0.000193478751008153
"University degree",0.000134915163828664
"Migrants",0.000103354092586916
"Car",0.00010313249990698
"Population 0-14",0.000100646746651577
"Extreme poverty",9.65904585077136e-05
"Households",8.69989808906102e-05
"Disability",7.9040977142357e-05
"Literacy",7.39659983013346e-05
"Population 15-39",7.32356661628467e-05
"Population",6.98119606683005e-05
"Educational lag",6.83433806979452e-05
"Electricity",6.67584582800794e-05
"Poverty",6.33454846859065e-05
"Female",5.87878466215567e-05
"Mean occupants",5.83353268734891e-05
"Afrodescendants",5.28002853701322e-05
"Working",4.70401518833717e-05
