"Fold_ID","Feature_Label","Impact_SHAP_Value"
5,"Internet",0.000778573870647647
5,"Income",0.000477038312611742
5,"Cell phone",0.000201897155147715
5,"University degree",0.000139561479759619
5,"Migrants",0.000133435725066519
5,"Poverty",0.000127294606277714
5,"Car",0.000112932005734442
5,"Educational lag",9.29765091379605e-05
5,"Households",7.47401501907474e-05
5,"Disability",7.28964946709909e-05
5,"Population 15-39",6.90359460948755e-05
5,"Population 0-14",6.08109182916023e-05
5,"Population",5.77875701019209e-05
5,"Female",5.14188824559627e-05
5,"Electricity",4.85358257582688e-05
5,"Afrodescendants",4.73347302141907e-05
5,"Population 65+",4.65249285817855e-05
5,"Literacy",4.13577314093212e-05
5,"Mean age",4.05370869595486e-05
5,"Mean occupants",3.82698850370723e-05
