"Feature_Label","Impact_SHAP_Value"
"Internet",0.000929971333438377
"Spatial bias",0.000291053314896119
"Income",0.000288860466309278
"Cell phone",0.000187500029942543
"University degree",0.000165506740484948
"Households",0.000102978856087078
"Migrants",8.71789462161542e-05
"Extreme poverty",8.16043891295579e-05
"Car",7.56696083477045e-05
"Population 0-14",7.405987176033e-05
"Disability",6.69127276472986e-05
"Female",6.58824765957486e-05
"Population",6.18390455517936e-05
"Poverty",5.27836124412161e-05
"Electricity",5.27428772165108e-05
"Literacy",5.1125853184318e-05
"Mean occupants",4.77471767796494e-05
"Educational lag",4.69372900022301e-05
"Population 15-39",4.55330390244506e-05
"Afrodescendants",4.0563604794099e-05
