"Fold_ID","Feature_Label","Impact_SHAP_Value"
4,"Internet",0.00110061648333786
4,"Income",0.000230932544689316
4,"Spatial bias",0.000219305943307807
4,"Cell phone",0.000148397483483876
4,"University degree",0.000138130314354524
4,"Car",0.000103106479415499
4,"Extreme poverty",9.5893824516597e-05
4,"Households",9.12315493081679e-05
4,"Population 0-14",7.71912104241588e-05
4,"Population",7.41823419700802e-05
4,"Female",6.94379252190975e-05
4,"Electricity",6.66524464833727e-05
4,"Migrants",6.21651828184826e-05
4,"Disability",5.08840017563341e-05
4,"Literacy",4.76243100446799e-05
4,"Poor housing conditions",3.95611922013737e-05
4,"Poverty",3.79357741710836e-05
4,"Mean occupants",3.3275038187521e-05
4,"Vulnerable income",3.06604013483002e-05
4,"Educational lag",2.80901699087871e-05
