"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
2,0.01,1,1,0.65,0.8,0,0,978,0.00158004723868962
2,0.05,1,1,0.65,0.8,0,0,300,0.0015498155200892
2,0.1,1,1,0.65,0.8,0,0,196,0.00153316058847248
2,0.3,1,1,0.65,0.8,0,0,77,0.00164135420499591
2,0.01,3,1,0.65,0.8,0,0,982,0.00152065843097606
2,0.05,3,1,0.65,0.8,0,0,196,0.00154679142721741
2,0.1,3,1,0.65,0.8,0,0,106,0.00156716326693449
2,0.3,3,1,0.65,0.8,0,0,39,0.00158667689245118
2,0.01,5,1,0.65,0.8,0,0,1122,0.00146854350606403
2,0.05,5,1,0.65,0.8,0,0,195,0.00148696009798154
2,0.1,5,1,0.65,0.8,0,0,91,0.00154430647719755
2,0.3,5,1,0.65,0.8,0,0,25,0.00161766307982306
2,0.01,7,1,0.65,0.8,0,0,1271,0.00150354351989383
2,0.05,7,1,0.65,0.8,0,0,244,0.0015625589277967
2,0.1,7,1,0.65,0.8,0,0,137,0.00157419885072445
2,0.3,7,1,0.65,0.8,0,0,26,0.00164218234489838
2,0.01,1,3,0.65,0.8,0,0,1060,0.00156633245406465
2,0.05,1,3,0.65,0.8,0,0,208,0.0015537340041459
2,0.1,1,3,0.65,0.8,0,0,123,0.00157388577781264
2,0.3,1,3,0.65,0.8,0,0,104,0.00162118503627238
2,0.01,3,3,0.65,0.8,0,0,1116,0.00145685711089083
2,0.05,3,3,0.65,0.8,0,0,260,0.00143539046021779
2,0.1,3,3,0.65,0.8,0,0,115,0.00151427834160906
2,0.3,3,3,0.65,0.8,0,0,36,0.0016181448457604
2,0.01,5,3,0.65,0.8,0,0,949,0.00142125905901195
2,0.05,5,3,0.65,0.8,0,0,196,0.00151982051049765
2,0.1,5,3,0.65,0.8,0,0,101,0.00146600181598356
2,0.3,5,3,0.65,0.8,0,0,25,0.00154823831845884
2,0.01,7,3,0.65,0.8,0,0,912,0.00146954019650132
2,0.05,7,3,0.65,0.8,0,0,186,0.0014904657330972
2,0.1,7,3,0.65,0.8,0,0,85,0.00149883121205498
2,0.3,7,3,0.65,0.8,0,0,25,0.00161271197065261
2,0.01,1,5,0.65,0.8,0,0,989,0.00157338813880252
2,0.05,1,5,0.65,0.8,0,0,262,0.00157216783785829
2,0.1,1,5,0.65,0.8,0,0,186,0.00156300273426444
2,0.3,1,5,0.65,0.8,0,0,89,0.00159230997261834
2,0.01,3,5,0.65,0.8,0,0,904,0.0014454044569709
2,0.05,3,5,0.65,0.8,0,0,186,0.00149041318238155
2,0.1,3,5,0.65,0.8,0,0,93,0.00146686609885671
2,0.3,3,5,0.65,0.8,0,0,45,0.00154033436916841
2,0.01,5,5,0.65,0.8,0,0,876,0.0014635713559557
2,0.05,5,5,0.65,0.8,0,0,176,0.0014995802472272
2,0.1,5,5,0.65,0.8,0,0,112,0.00151053041777875
2,0.3,5,5,0.65,0.8,0,0,24,0.00157433326077664
2,0.01,7,5,0.65,0.8,0,0,1037,0.00145736969985894
2,0.05,7,5,0.65,0.8,0,0,188,0.0015217088842607
2,0.1,7,5,0.65,0.8,0,0,106,0.00151347512913526
2,0.3,7,5,0.65,0.8,0,0,26,0.0016270956570831
2,0.01,1,7,0.65,0.8,0,0,1330,0.00157675873908762
2,0.05,1,7,0.65,0.8,0,0,229,0.00156890664331099
2,0.1,1,7,0.65,0.8,0,0,158,0.00157797417145327
2,0.3,1,7,0.65,0.8,0,0,115,0.0016362356707596
2,0.01,3,7,0.65,0.8,0,0,878,0.00149732886805114
2,0.05,3,7,0.65,0.8,0,0,202,0.0015094508740189
2,0.1,3,7,0.65,0.8,0,0,157,0.00149206616183766
2,0.3,3,7,0.65,0.8,0,0,23,0.00158344632709662
2,0.01,5,7,0.65,0.8,0,0,887,0.0014874693432
2,0.05,5,7,0.65,0.8,0,0,198,0.00146708914609043
2,0.1,5,7,0.65,0.8,0,0,94,0.00151168630248431
2,0.3,5,7,0.65,0.8,0,0,26,0.00156080923321597
2,0.01,7,7,0.65,0.8,0,0,928,0.00146184588218135
2,0.05,7,7,0.65,0.8,0,0,189,0.00145838474695236
2,0.1,7,7,0.65,0.8,0,0,86,0.00151355087538535
2,0.3,7,7,0.65,0.8,0,0,24,0.00160873471356555
2,0.01,1,1,0.8,0.8,0,0,1222,0.00158262579456126
2,0.05,1,1,0.8,0.8,0,0,235,0.00157078998479535
2,0.1,1,1,0.8,0.8,0,0,226,0.00156581175932524
2,0.3,1,1,0.8,0.8,0,0,29,0.00163268007477551
2,0.01,3,1,0.8,0.8,0,0,953,0.00148844098788972
2,0.05,3,1,0.8,0.8,0,0,230,0.00152158268101337
2,0.1,3,1,0.8,0.8,0,0,156,0.00150750675168798
2,0.3,3,1,0.8,0.8,0,0,35,0.00163092833702043
2,0.01,5,1,0.8,0.8,0,0,1011,0.00147241892462887
2,0.05,5,1,0.8,0.8,0,0,241,0.00149696157422064
2,0.1,5,1,0.8,0.8,0,0,158,0.00152911177258225
2,0.3,5,1,0.8,0.8,0,0,31,0.00163101082860768
2,0.01,7,1,0.8,0.8,0,0,1184,0.00147682653801674
2,0.05,7,1,0.8,0.8,0,0,213,0.00155652556908946
2,0.1,7,1,0.8,0.8,0,0,120,0.00155778924004276
2,0.3,7,1,0.8,0.8,0,0,70,0.001629830258189
2,0.01,1,3,0.8,0.8,0,0,1244,0.00155376315171802
2,0.05,1,3,0.8,0.8,0,0,265,0.00156673568119321
2,0.1,1,3,0.8,0.8,0,0,152,0.00157044426206767
2,0.3,1,3,0.8,0.8,0,0,42,0.0016757290210276
2,0.01,3,3,0.8,0.8,0,0,951,0.00146436318865047
2,0.05,3,3,0.8,0.8,0,0,227,0.00147176308487457
2,0.1,3,3,0.8,0.8,0,0,89,0.00150221818970585
2,0.3,3,3,0.8,0.8,0,0,31,0.00159076579960282
2,0.01,5,3,0.8,0.8,0,0,998,0.00147312405556511
2,0.05,5,3,0.8,0.8,0,0,179,0.00148902017798258
2,0.1,5,3,0.8,0.8,0,0,86,0.00150562154530224
2,0.3,5,3,0.8,0.8,0,0,26,0.00155329295629534
2,0.01,7,3,0.8,0.8,0,0,1023,0.00147782463594778
2,0.05,7,3,0.8,0.8,0,0,212,0.00146832297282721
2,0.1,7,3,0.8,0.8,0,0,115,0.0015394878573775
2,0.3,7,3,0.8,0.8,0,0,25,0.00164119809863776
2,0.01,1,5,0.8,0.8,0,0,1332,0.00153910056639963
2,0.05,1,5,0.8,0.8,0,0,410,0.00151492947391358
2,0.1,1,5,0.8,0.8,0,0,119,0.00157961606844022
2,0.3,1,5,0.8,0.8,0,0,108,0.00163306246040902
2,0.01,3,5,0.8,0.8,0,0,1038,0.00147054694613474
2,0.05,3,5,0.8,0.8,0,0,195,0.00150283824355339
2,0.1,3,5,0.8,0.8,0,0,98,0.00148851763875392
2,0.3,3,5,0.8,0.8,0,0,23,0.00158074421456397
2,0.01,5,5,0.8,0.8,0,0,924,0.00143195905974345
2,0.05,5,5,0.8,0.8,0,0,201,0.00148853236743224
2,0.1,5,5,0.8,0.8,0,0,83,0.00149883007344633
2,0.3,5,5,0.8,0.8,0,0,32,0.00155978357868557
2,0.01,7,5,0.8,0.8,0,0,914,0.00149516682595209
2,0.05,7,5,0.8,0.8,0,0,189,0.00148039257574953
2,0.1,7,5,0.8,0.8,0,0,90,0.00149678412885009
2,0.3,7,5,0.8,0.8,0,0,59,0.00158454728115974
2,0.01,1,7,0.8,0.8,0,0,1361,0.00156348477879396
2,0.05,1,7,0.8,0.8,0,0,315,0.00157386670438717
2,0.1,1,7,0.8,0.8,0,0,139,0.00157515311326902
2,0.3,1,7,0.8,0.8,0,0,84,0.00162979345749905
2,0.01,3,7,0.8,0.8,0,0,944,0.00148431708108392
2,0.05,3,7,0.8,0.8,0,0,239,0.001486177221967
2,0.1,3,7,0.8,0.8,0,0,112,0.0015403664649536
2,0.3,3,7,0.8,0.8,0,0,39,0.00153756405351532
2,0.01,5,7,0.8,0.8,0,0,891,0.0014545478818103
2,0.05,5,7,0.8,0.8,0,0,174,0.00150617508224486
2,0.1,5,7,0.8,0.8,0,0,86,0.00150873422335604
2,0.3,5,7,0.8,0.8,0,0,25,0.00157104154025453
2,0.01,7,7,0.8,0.8,0,0,921,0.00147815649823957
2,0.05,7,7,0.8,0.8,0,0,190,0.00148120097387982
2,0.1,7,7,0.8,0.8,0,0,82,0.00154846533764925
2,0.3,7,7,0.8,0.8,0,0,33,0.00157854606584672
2,0.01,1,1,1,0.8,0,0,1984,0.00156309527690054
2,0.05,1,1,1,0.8,0,0,738,0.00155851458393513
2,0.1,1,1,1,0.8,0,0,178,0.00156237754199122
2,0.3,1,1,1,0.8,0,0,99,0.00161231839495279
2,0.01,3,1,1,0.8,0,0,1145,0.00145572727153229
2,0.05,3,1,1,0.8,0,0,237,0.00154237822495065
2,0.1,3,1,1,0.8,0,0,142,0.00151966807779767
2,0.3,3,1,1,0.8,0,0,37,0.00159599488634191
2,0.01,5,1,1,0.8,0,0,1185,0.00152059519206774
2,0.05,5,1,1,0.8,0,0,264,0.00149888155192375
2,0.1,5,1,1,0.8,0,0,135,0.00149844072808558
2,0.3,5,1,1,0.8,0,0,44,0.00158935569290094
2,0.01,7,1,1,0.8,0,0,1185,0.00151590875687501
2,0.05,7,1,1,0.8,0,0,264,0.00151128524475867
2,0.1,7,1,1,0.8,0,0,135,0.00160540521862261
2,0.3,7,1,1,0.8,0,0,43,0.00154051932784503
2,0.01,1,3,1,0.8,0,0,1945,0.00155992631098539
2,0.05,1,3,1,0.8,0,0,371,0.00155179308650599
2,0.1,1,3,1,0.8,0,0,177,0.00154346443376529
2,0.3,1,3,1,0.8,0,0,111,0.00160751004153498
2,0.01,3,3,1,0.8,0,0,1090,0.00149457057625296
2,0.05,3,3,1,0.8,0,0,199,0.00147020258279297
2,0.1,3,3,1,0.8,0,0,89,0.00146300264868767
2,0.3,3,3,1,0.8,0,0,25,0.00159916854921295
2,0.01,5,3,1,0.8,0,0,1185,0.00145683036308728
2,0.05,5,3,1,0.8,0,0,264,0.001504555472895
