"Feature_Label","Impact_SHAP_Value"
"Spatial bias",0.023366339011356
"Population",0.00666139403691415
"Population 0-14",0.00612925791281649
"Internet",0.00611822947720407
"Population 15-39",0.00569030756367022
"Households",0.00518417999463969
"Educational lag",0.00397779758600847
"Literacy",0.00388291641908368
"Indigenous language",0.0030860180884062
"Mean occupants",0.002640656008217
"University degree",0.00252518903786769
"Extreme poverty",0.00206923434953647
"Electricity",0.00204559772706275
"Afrodescendants",0.00198475248698775
"Migrants",0.00188181748825765
"Poverty",0.00179145542591772
"Income",0.00176109122048628
"Female",0.00163952778643012
"Population 65+",0.00155719693099337
"Poor housing conditions",0.00147709406424825
