"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
1,0.01,1,1,0.65,0.8,0,0,583,0.0794240218438827
1,0.05,1,1,0.65,0.8,0,0,141,0.0773784568778697
1,0.1,1,1,0.65,0.8,0,0,63,0.0781739828248461
1,0.3,1,1,0.65,0.8,0,0,21,0.0787463239699767
1,0.01,3,1,0.65,0.8,0,0,475,0.0783391903707014
1,0.05,3,1,0.65,0.8,0,0,92,0.0785581236014278
1,0.1,3,1,0.65,0.8,0,0,36,0.0815690294821553
1,0.3,3,1,0.65,0.8,0,0,10,0.0851783207609851
1,0.01,5,1,0.65,0.8,0,0,462,0.0769769141716843
1,0.05,5,1,0.65,0.8,0,0,89,0.0797424635974579
1,0.1,5,1,0.65,0.8,0,0,51,0.0795286112113558
1,0.3,5,1,0.65,0.8,0,0,13,0.0848086580828279
1,0.01,7,1,0.65,0.8,0,0,558,0.0779615677684855
1,0.05,7,1,0.65,0.8,0,0,95,0.0788635904930979
1,0.1,7,1,0.65,0.8,0,0,46,0.0824017683942694
1,0.3,7,1,0.65,0.8,0,0,13,0.0872508614363803
1,0.01,1,3,0.65,0.8,0,0,496,0.0786441574424138
1,0.05,1,3,0.65,0.8,0,0,138,0.0780736009624549
1,0.1,1,3,0.65,0.8,0,0,104,0.0786421402980722
1,0.3,1,3,0.65,0.8,0,0,55,0.0774204620202665
1,0.01,3,3,0.65,0.8,0,0,467,0.0791324401592179
1,0.05,3,3,0.65,0.8,0,0,98,0.07795984476007
1,0.1,3,3,0.65,0.8,0,0,70,0.0773388421008667
1,0.3,3,3,0.65,0.8,0,0,11,0.0788433452426163
1,0.01,5,3,0.65,0.8,0,0,487,0.0767355213449541
1,0.05,5,3,0.65,0.8,0,0,104,0.0783558710458312
1,0.1,5,3,0.65,0.8,0,0,43,0.0797325689980999
1,0.3,5,3,0.65,0.8,0,0,15,0.0821843172790798
1,0.01,7,3,0.65,0.8,0,0,502,0.0787598632030035
1,0.05,7,3,0.65,0.8,0,0,101,0.0768572111633873
1,0.1,7,3,0.65,0.8,0,0,56,0.0787438412327636
1,0.3,7,3,0.65,0.8,0,0,10,0.0848015654262166
1,0.01,1,5,0.65,0.8,0,0,601,0.0769122062729407
1,0.05,1,5,0.65,0.8,0,0,111,0.077081702289252
1,0.1,1,5,0.65,0.8,0,0,73,0.0784270684351434
1,0.3,1,5,0.65,0.8,0,0,34,0.0768488848778749
1,0.01,3,5,0.65,0.8,0,0,472,0.0780636146463587
1,0.05,3,5,0.65,0.8,0,0,112,0.0780227108325425
1,0.1,3,5,0.65,0.8,0,0,56,0.076898984061463
1,0.3,3,5,0.65,0.8,0,0,11,0.0812527835212767
1,0.01,5,5,0.65,0.8,0,0,443,0.0779723019363156
1,0.05,5,5,0.65,0.8,0,0,102,0.0789668732818044
1,0.1,5,5,0.65,0.8,0,0,47,0.0779491245296236
1,0.3,5,5,0.65,0.8,0,0,17,0.0829587920279412
1,0.01,7,5,0.65,0.8,0,0,436,0.0768399372391881
1,0.05,7,5,0.65,0.8,0,0,111,0.0761610057222523
1,0.1,7,5,0.65,0.8,0,0,66,0.0784169832393916
1,0.3,7,5,0.65,0.8,0,0,12,0.0834868768883109
1,0.01,1,7,0.65,0.8,0,0,528,0.0774408269493844
1,0.05,1,7,0.65,0.8,0,0,151,0.0785274471089316
1,0.1,1,7,0.65,0.8,0,0,59,0.0781241840718238
1,0.3,1,7,0.65,0.8,0,0,14,0.0788934078517244
1,0.01,3,7,0.65,0.8,0,0,487,0.0770833743758638
1,0.05,3,7,0.65,0.8,0,0,93,0.0774454415479804
1,0.1,3,7,0.65,0.8,0,0,49,0.0759919833556716
1,0.3,3,7,0.65,0.8,0,0,14,0.0800426145809989
1,0.01,5,7,0.65,0.8,0,0,525,0.0755266843867286
1,0.05,5,7,0.65,0.8,0,0,103,0.0769790458996197
1,0.1,5,7,0.65,0.8,0,0,68,0.076563917266342
1,0.3,5,7,0.65,0.8,0,0,14,0.0785324927124041
1,0.01,7,7,0.65,0.8,0,0,495,0.0757489788902833
1,0.05,7,7,0.65,0.8,0,0,99,0.0778059561884166
1,0.1,7,7,0.65,0.8,0,0,51,0.0773557658711633
1,0.3,7,7,0.65,0.8,0,0,12,0.0812423074907008
1,0.01,1,1,0.8,0.8,0,0,582,0.0775669584999285
1,0.05,1,1,0.8,0.8,0,0,129,0.078394996058145
1,0.1,1,1,0.8,0.8,0,0,112,0.0780976941845966
1,0.3,1,1,0.8,0.8,0,0,33,0.0782684613131523
1,0.01,3,1,0.8,0.8,0,0,553,0.0774600495621169
1,0.05,3,1,0.8,0.8,0,0,82,0.0805860711319892
1,0.1,3,1,0.8,0.8,0,0,49,0.0790602584569412
1,0.3,3,1,0.8,0.8,0,0,11,0.0822704016354628
1,0.01,5,1,0.8,0.8,0,0,565,0.0776504017413053
1,0.05,5,1,0.8,0.8,0,0,101,0.0792692825472796
1,0.1,5,1,0.8,0.8,0,0,63,0.0802674420772664
1,0.3,5,1,0.8,0.8,0,0,11,0.0858706577900268
1,0.01,7,1,0.8,0.8,0,0,552,0.0771259662309237
1,0.05,7,1,0.8,0.8,0,0,101,0.0789956432001108
1,0.1,7,1,0.8,0.8,0,0,72,0.0787225156175355
1,0.3,7,1,0.8,0.8,0,0,13,0.0852836057124846
1,0.01,1,3,0.8,0.8,0,0,490,0.0783021947564062
1,0.05,1,3,0.8,0.8,0,0,149,0.0776109120592412
1,0.1,1,3,0.8,0.8,0,0,61,0.0782944623520428
1,0.3,1,3,0.8,0.8,0,0,94,0.0773287426630877
1,0.01,3,3,0.8,0.8,0,0,489,0.078300478852882
1,0.05,3,3,0.8,0.8,0,0,99,0.0779681206664118
1,0.1,3,3,0.8,0.8,0,0,47,0.077415029929603
1,0.3,3,3,0.8,0.8,0,0,12,0.079181645415287
1,0.01,5,3,0.8,0.8,0,0,439,0.0777250593912534
1,0.05,5,3,0.8,0.8,0,0,94,0.0785928277607699
1,0.1,5,3,0.8,0.8,0,0,42,0.0786132288283755
1,0.3,5,3,0.8,0.8,0,0,14,0.0850546495385062
1,0.01,7,3,0.8,0.8,0,0,584,0.0756767965807795
1,0.05,7,3,0.8,0.8,0,0,116,0.0769958781269386
1,0.1,7,3,0.8,0.8,0,0,60,0.0789231148498757
1,0.3,7,3,0.8,0.8,0,0,13,0.0823141102047393
1,0.01,1,5,0.8,0.8,0,0,585,0.0781337094776924
1,0.05,1,5,0.8,0.8,0,0,133,0.0781014249165305
1,0.1,1,5,0.8,0.8,0,0,81,0.0787523942675002
1,0.3,1,5,0.8,0.8,0,0,19,0.0784719802245181
1,0.01,3,5,0.8,0.8,0,0,529,0.0752435054489904
1,0.05,3,5,0.8,0.8,0,0,94,0.0772682749586536
1,0.1,3,5,0.8,0.8,0,0,53,0.077526775457319
1,0.3,3,5,0.8,0.8,0,0,16,0.0806779637890464
1,0.01,5,5,0.8,0.8,0,0,522,0.076953032976706
1,0.05,5,5,0.8,0.8,0,0,105,0.0770854698232143
1,0.1,5,5,0.8,0.8,0,0,51,0.0782465472980773
1,0.3,5,5,0.8,0.8,0,0,13,0.0795259786210185
1,0.01,7,5,0.8,0.8,0,0,481,0.0763798211443997
1,0.05,7,5,0.8,0.8,0,0,90,0.0759108591708803
1,0.1,7,5,0.8,0.8,0,0,42,0.0794041536928118
1,0.3,7,5,0.8,0.8,0,0,12,0.0857463405165234
1,0.01,1,7,0.8,0.8,0,0,579,0.0789503367772066
1,0.05,1,7,0.8,0.8,0,0,257,0.0776416111729903
1,0.1,1,7,0.8,0.8,0,0,195,0.0776573667871257
1,0.3,1,7,0.8,0.8,0,0,31,0.0788200338452876
1,0.01,3,7,0.8,0.8,0,0,548,0.0751348444867746
1,0.05,3,7,0.8,0.8,0,0,112,0.0792764637736344
1,0.1,3,7,0.8,0.8,0,0,38,0.0776567022236749
1,0.3,3,7,0.8,0.8,0,0,18,0.077631119149227
1,0.01,5,7,0.8,0.8,0,0,452,0.0766659660742442
1,0.05,5,7,0.8,0.8,0,0,90,0.0776398765983242
1,0.1,5,7,0.8,0.8,0,0,47,0.0768160532411809
1,0.3,5,7,0.8,0.8,0,0,10,0.0811905281800118
1,0.01,7,7,0.8,0.8,0,0,466,0.0764223346930066
1,0.05,7,7,0.8,0.8,0,0,89,0.0770032633805224
1,0.1,7,7,0.8,0.8,0,0,45,0.0782019519473073
1,0.3,7,7,0.8,0.8,0,0,11,0.0810541105372257
1,0.01,1,1,1,0.8,0,0,1081,0.0774249619586188
1,0.05,1,1,1,0.8,0,0,284,0.0776541685618553
1,0.1,1,1,1,0.8,0,0,72,0.0779737626160672
1,0.3,1,1,1,0.8,0,0,31,0.0781427097198651
1,0.01,3,1,1,0.8,0,0,489,0.080397345346394
1,0.05,3,1,1,0.8,0,0,116,0.0786240101657063
1,0.1,3,1,1,0.8,0,0,48,0.0791648707144091
1,0.3,3,1,1,0.8,0,0,15,0.0803651945981144
1,0.01,5,1,1,0.8,0,0,486,0.0774948752578857
1,0.05,5,1,1,0.8,0,0,98,0.0789540700582364
1,0.1,5,1,1,0.8,0,0,47,0.0806029892799609
1,0.3,5,1,1,0.8,0,0,13,0.0829305395181311
1,0.01,7,1,1,0.8,0,0,659,0.0791456489173022
1,0.05,7,1,1,0.8,0,0,140,0.0816257533246412
1,0.1,7,1,1,0.8,0,0,58,0.0785454071176842
1,0.3,7,1,1,0.8,0,0,23,0.0826916553797536
1,0.01,1,3,1,0.8,0,0,608,0.078326841428277
1,0.05,1,3,1,0.8,0,0,288,0.0785166975966702
1,0.1,1,3,1,0.8,0,0,250,0.0771189701340431
1,0.3,1,3,1,0.8,0,0,129,0.0771795723729008
1,0.01,3,3,1,0.8,0,0,560,0.0768343252943887
1,0.05,3,3,1,0.8,0,0,93,0.0772338142452708
1,0.1,3,3,1,0.8,0,0,43,0.0797006325451074
1,0.3,3,3,1,0.8,0,0,12,0.0792521835184335
1,0.01,5,3,1,0.8,0,0,527,0.0789654065355456
1,0.05,5,3,1,0.8,0,0,123,0.0764438809872387
1,0.1,5,3,1,0.8,0,0,46,0.078299032939098
1,0.3,5,3,1,0.8,0,0,14,0.0808475967430327
1,0.01,7,3,1,0.8,0,0,483,0.0785136599720495
1,0.05,7,3,1,0.8,0,0,95,0.0788049095463454
1,0.1,7,3,1,0.8,0,0,67,0.0783696102563352
1,0.3,7,3,1,0.8,0,0,13,0.0810463619568064
1,0.01,1,5,1,0.8,0,0,554,0.0792034827437684
1,0.05,1,5,1,0.8,0,0,127,0.0782237711533793
1,0.1,1,5,1,0.8,0,0,269,0.0782164976334463
1,0.3,1,5,1,0.8,0,0,30,0.0787216336426746
1,0.01,3,5,1,0.8,0,0,504,0.0778494079152424
1,0.05,3,5,1,0.8,0,0,109,0.0761571049894631
1,0.1,3,5,1,0.8,0,0,57,0.0771131935350292
1,0.3,3,5,1,0.8,0,0,15,0.0796657001236009
1,0.01,5,5,1,0.8,0,0,545,0.0764153486084434
1,0.05,5,5,1,0.8,0,0,98,0.0790913276325455
1,0.1,5,5,1,0.8,0,0,51,0.0793568548810649
1,0.3,5,5,1,0.8,0,0,12,0.081333901653375
1,0.01,7,5,1,0.8,0,0,546,0.0771739270344346
1,0.05,7,5,1,0.8,0,0,92,0.0798813634913076
1,0.1,7,5,1,0.8,0,0,58,0.0796109136682458
1,0.3,7,5,1,0.8,0,0,12,0.0800739828718667
1,0.01,1,7,1,0.8,0,0,730,0.0781277736830292
1,0.05,1,7,1,0.8,0,0,416,0.0764068068797531
1,0.1,1,7,1,0.8,0,0,74,0.0773135047691305
1,0.3,1,7,1,0.8,0,0,62,0.0782619924629019
1,0.01,3,7,1,0.8,0,0,500,0.0777696737572053
1,0.05,3,7,1,0.8,0,0,103,0.076631998898439
1,0.1,3,7,1,0.8,0,0,57,0.0774676556839014
1,0.3,3,7,1,0.8,0,0,17,0.0797179775768386
1,0.01,5,7,1,0.8,0,0,571,0.0768280784679462
1,0.05,5,7,1,0.8,0,0,91,0.0771266974119496
1,0.1,5,7,1,0.8,0,0,48,0.0780221619226947
1,0.3,5,7,1,0.8,0,0,14,0.0795134501131237
1,0.01,7,7,1,0.8,0,0,567,0.0784566762176843
1,0.05,7,7,1,0.8,0,0,119,0.0776573441973277
1,0.1,7,7,1,0.8,0,0,46,0.0784594120853735
1,0.3,7,7,1,0.8,0,0,11,0.0830153281059415
1,0.01,1,1,0.65,0.9,0,0,536,0.0769352717304292
1,0.05,1,1,0.65,0.9,0,0,103,0.0794623607310373
1,0.1,1,1,0.65,0.9,0,0,82,0.0777059946401785
1,0.3,1,1,0.65,0.9,0,0,15,0.079763697102051
1,0.01,3,1,0.65,0.9,0,0,436,0.0802722379595048
1,0.05,3,1,0.65,0.9,0,0,95,0.0798745542893775
1,0.1,3,1,0.65,0.9,0,0,48,0.0788860003236258
1,0.3,3,1,0.65,0.9,0,0,13,0.0804354535137926
1,0.01,5,1,0.65,0.9,0,0,508,0.0777482063141177
1,0.05,5,1,0.65,0.9,0,0,103,0.0804008023070161
1,0.1,5,1,0.65,0.9,0,0,53,0.0815667677316238
1,0.3,5,1,0.65,0.9,0,0,11,0.0841650892185588
1,0.01,7,1,0.65,0.9,0,0,554,0.0776657828026494
1,0.05,7,1,0.65,0.9,0,0,124,0.0783998425731272
1,0.1,7,1,0.65,0.9,0,0,52,0.0800079736104618
1,0.3,7,1,0.65,0.9,0,0,12,0.0853233229992557
1,0.01,1,3,0.65,0.9,0,0,629,0.0776153676673879
1,0.05,1,3,0.65,0.9,0,0,237,0.0779576479468823
1,0.1,1,3,0.65,0.9,0,0,91,0.0777945988534031
1,0.3,1,3,0.65,0.9,0,0,49,0.0777835885025696
1,0.01,3,3,0.65,0.9,0,0,480,0.0767467742198555
1,0.05,3,3,0.65,0.9,0,0,89,0.0771528157158627
1,0.1,3,3,0.65,0.9,0,0,40,0.0766064649670896
1,0.3,3,3,0.65,0.9,0,0,12,0.0825260697191021
1,0.01,5,3,0.65,0.9,0,0,463,0.079762337646842
1,0.05,5,3,0.65,0.9,0,0,91,0.0776245540484753
1,0.1,5,3,0.65,0.9,0,0,40,0.0789511203546544
1,0.3,5,3,0.65,0.9,0,0,11,0.081790183400099
1,0.01,7,3,0.65,0.9,0,0,535,0.077247114028495
1,0.05,7,3,0.65,0.9,0,0,91,0.0777050182594361
1,0.1,7,3,0.65,0.9,0,0,42,0.0785588228462864
1,0.3,7,3,0.65,0.9,0,0,14,0.0849201069908853
1,0.01,1,5,0.65,0.9,0,0,596,0.0778500071412114
1,0.05,1,5,0.65,0.9,0,0,126,0.0780485347940117
1,0.1,1,5,0.65,0.9,0,0,53,0.0784526091677977
1,0.3,1,5,0.65,0.9,0,0,24,0.0772950177738062
1,0.01,3,5,0.65,0.9,0,0,509,0.0772288243311579
1,0.05,3,5,0.65,0.9,0,0,124,0.0777200693781624
1,0.1,3,5,0.65,0.9,0,0,39,0.0773602008720873
1,0.3,3,5,0.65,0.9,0,0,17,0.0799893214497892
1,0.01,5,5,0.65,0.9,0,0,449,0.0780066355899156
1,0.05,5,5,0.65,0.9,0,0,104,0.0793579678332409
1,0.1,5,5,0.65,0.9,0,0,47,0.0772562381967795
1,0.3,5,5,0.65,0.9,0,0,14,0.082298836282228
1,0.01,7,5,0.65,0.9,0,0,433,0.0767765300416113
1,0.05,7,5,0.65,0.9,0,0,90,0.0769132962834016
1,0.1,7,5,0.65,0.9,0,0,42,0.0778643992539802
1,0.3,7,5,0.65,0.9,0,0,14,0.0834036058125973
1,0.01,1,7,0.65,0.9,0,0,499,0.0772771438182513
1,0.05,1,7,0.65,0.9,0,0,156,0.0784320748884177
1,0.1,1,7,0.65,0.9,0,0,111,0.0776255785816384
1,0.3,1,7,0.65,0.9,0,0,13,0.0785112718305549
1,0.01,3,7,0.65,0.9,0,0,497,0.0758195792034301
1,0.05,3,7,0.65,0.9,0,0,134,0.0768384062274716
1,0.1,3,7,0.65,0.9,0,0,50,0.0761729682683666
1,0.3,3,7,0.65,0.9,0,0,18,0.0773330971164688
1,0.01,5,7,0.65,0.9,0,0,454,0.0766975174141199
1,0.05,5,7,0.65,0.9,0,0,105,0.0766407978257752
1,0.1,5,7,0.65,0.9,0,0,47,0.0792488895764146
1,0.3,5,7,0.65,0.9,0,0,14,0.0819252316278787
1,0.01,7,7,0.65,0.9,0,0,458,0.0755275233558344
1,0.05,7,7,0.65,0.9,0,0,96,0.076033136231688
1,0.1,7,7,0.65,0.9,0,0,43,0.0768886895262037
1,0.3,7,7,0.65,0.9,0,0,12,0.0791134768162127
1,0.01,1,1,0.8,0.9,0,0,484,0.0792254630696385
1,0.05,1,1,0.8,0.9,0,0,105,0.0783029540962581
1,0.1,1,1,0.8,0.9,0,0,126,0.0782063111015247
1,0.3,1,1,0.8,0.9,0,0,20,0.0788340453115081
1,0.01,3,1,0.8,0.9,0,0,424,0.078309251821194
1,0.05,3,1,0.8,0.9,0,0,82,0.0800692663041496
1,0.1,3,1,0.8,0.9,0,0,54,0.0794580505376249
1,0.3,3,1,0.8,0.9,0,0,15,0.0799379159752045
1,0.01,5,1,0.8,0.9,0,0,565,0.0761645866456891
1,0.05,5,1,0.8,0.9,0,0,106,0.0797638121102592
1,0.1,5,1,0.8,0.9,0,0,45,0.0791995229258827
1,0.3,5,1,0.8,0.9,0,0,13,0.0833886275270127
1,0.01,7,1,0.8,0.9,0,0,578,0.0794782624261124
1,0.05,7,1,0.8,0.9,0,0,149,0.0785401994319376
1,0.1,7,1,0.8,0.9,0,0,48,0.0791662382119409
1,0.3,7,1,0.8,0.9,0,0,13,0.0862924577206423
1,0.01,1,3,0.8,0.9,0,0,566,0.078020555279714
1,0.05,1,3,0.8,0.9,0,0,111,0.0785776895772986
1,0.1,1,3,0.8,0.9,0,0,50,0.0783854533167581
1,0.3,1,3,0.8,0.9,0,0,33,0.0778101367618294
1,0.01,3,3,0.8,0.9,0,0,467,0.0782124191166076
1,0.05,3,3,0.8,0.9,0,0,90,0.0775638056445606
1,0.1,3,3,0.8,0.9,0,0,48,0.0797178624924255
1,0.3,3,3,0.8,0.9,0,0,14,0.0792887840163301
1,0.01,5,3,0.8,0.9,0,0,494,0.0769225894462375
1,0.05,5,3,0.8,0.9,0,0,94,0.0762827578790803
1,0.1,5,3,0.8,0.9,0,0,49,0.0787690664565938
1,0.3,5,3,0.8,0.9,0,0,15,0.0817535513314529
