"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
2,1001,"Total_Population","Population",0.0182915776968002
2,1001,"Total_houses","Households",0.013110188767314
2,1001,"P_age_00_14","Population 0-14",-0.00488531356677413
2,1001,"P_age_15_39","Population 15-39",-0.0111468741670251
2,1001,"P_read_write","Literacy",-0.019489660859108
2,1001,"P_internet","Internet",-0.00497743347659707
2,1001,"P_educational_lag","Educational lag",-0.030409337952733
2,1002,"Total_Population","Population",0.0144894178956747
2,1002,"Total_houses","Households",0.00693566305562854
2,1002,"P_age_00_14","Population 0-14",0.00922443903982639
2,1002,"P_age_15_39","Population 15-39",-0.010487524792552
2,1002,"P_read_write","Literacy",-0.0183479152619839
2,1002,"P_internet","Internet",-0.00788485445082188
2,1002,"P_educational_lag","Educational lag",0.00823113694787025
2,1003,"Total_Population","Population",0.012182118371129
2,1003,"Total_houses","Households",0.0076949899084866
2,1003,"P_age_00_14","Population 0-14",0.000748185091651976
2,1003,"P_age_15_39","Population 15-39",4.35925267083803e-06
2,1003,"P_read_write","Literacy",-0.0133082056418061
2,1003,"P_internet","Internet",-0.00763417221605778
2,1003,"P_educational_lag","Educational lag",0.0058344779536128
2,1004,"Total_Population","Population",-0.00327022792771459
2,1004,"Total_houses","Households",-0.00971268396824598
2,1004,"P_age_00_14","Population 0-14",0.0110799064859748
2,1004,"P_age_15_39","Population 15-39",-0.0174382030963898
2,1004,"P_read_write","Literacy",-0.0213862601667643
2,1004,"P_internet","Internet",-0.0103325312957168
2,1004,"P_educational_lag","Educational lag",-0.000130327651277184
2,1005,"Total_Population","Population",0.0189833622425795
2,1005,"Total_houses","Households",0.0131199415773153
2,1005,"P_age_00_14","Population 0-14",0.00761053990572691
2,1005,"P_age_15_39","Population 15-39",-0.00834902748465538
2,1005,"P_read_write","Literacy",-0.019216587767005
2,1005,"P_internet","Internet",-0.00709637720137835
2,1005,"P_educational_lag","Educational lag",-0.00107303925324231
2,1006,"Total_Population","Population",0.0141997253522277
2,1006,"Total_houses","Households",0.00664685340598226
2,1006,"P_age_00_14","Population 0-14",0.00791887938976288
2,1006,"P_age_15_39","Population 15-39",-0.0143147800117731
2,1006,"P_read_write","Literacy",-0.0177798941731453
2,1006,"P_internet","Internet",-0.00852297618985176
2,1006,"P_educational_lag","Educational lag",-0.000878376769833267
2,1007,"Total_Population","Population",0.0145345656201243
2,1007,"Total_houses","Households",0.00694525754079223
2,1007,"P_age_00_14","Population 0-14",0.00846088863909245
