"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
3,1004,"Total_Population","Population",0.000826552859507501
3,1004,"Total_houses","Households",-0.00392731931060553
3,1004,"P_age_00_14","Population 0-14",0.0101083135232329
3,1004,"P_age_15_39","Population 15-39",-0.00578562961891294
3,1004,"P_read_write","Literacy",-0.00718979397788644
3,1004,"P_internet","Internet",-0.0176066495478153
3,1004,"bias_w","Spatial bias",0.0166663900017738
3,1007,"Total_Population","Population",0.0158242117613554
3,1007,"Total_houses","Households",0.010983232408762
3,1007,"P_age_00_14","Population 0-14",0.0108410976827145
3,1007,"P_age_15_39","Population 15-39",-0.00570748513564467
3,1007,"P_read_write","Literacy",-0.0036374875344336
3,1007,"P_internet","Internet",-0.0154306199401617
3,1007,"bias_w","Spatial bias",-0.00878059584647417
3,1009,"Total_Population","Population",0.00244010402821004
3,1009,"Total_houses","Households",-0.00102869071997702
3,1009,"P_age_00_14","Population 0-14",0.0123791107907891
3,1009,"P_age_15_39","Population 15-39",-0.00657547730952501
3,1009,"P_read_write","Literacy",-0.00809236150234938
3,1009,"P_internet","Internet",-0.0125952390953898
3,1009,"bias_w","Spatial bias",0.0183537993580103
3,3001,"Total_Population","Population",0.00997696258127689
3,3001,"Total_houses","Households",0.0108724208548665
3,3001,"P_age_00_14","Population 0-14",-0.00310947885736823
3,3001,"P_age_15_39","Population 15-39",-0.00260285753756762
3,3001,"P_read_write","Literacy",-0.00186619558371603
3,3001,"P_internet","Internet",-0.0130383372306824
3,3001,"bias_w","Spatial bias",0.00843136757612228
3,3002,"Total_Population","Population",0.00885755009949207
3,3002,"Total_houses","Households",0.00896301213651896
3,3002,"P_age_00_14","Population 0-14",-0.00216706376522779
3,3002,"P_age_15_39","Population 15-39",-0.00307576754130423
3,3002,"P_read_write","Literacy",-0.00242549227550626
3,3002,"P_internet","Internet",-0.0248169042170048
3,3002,"bias_w","Spatial bias",0.0146949784830213
3,3003,"Total_Population","Population",0.0159976445138454
3,3003,"Total_houses","Households",0.0131297633051872
3,3003,"P_age_00_14","Population 0-14",-0.0059903678484261
3,3003,"P_age_15_39","Population 15-39",-0.00454428419470787
3,3003,"P_read_write","Literacy",-0.00970952957868576
3,3003,"P_internet","Internet",-0.00952418148517609
3,3003,"bias_w","Spatial bias",-0.00913474895060062
3,3008,"Total_Population","Population",0.013397553935647
3,3008,"Total_houses","Households",0.0110811870545149
3,3008,"P_age_00_14","Population 0-14",-0.00199965992942452
3,3008,"P_age_15_39","Population 15-39",-0.0241714846342802
3,3008,"P_read_write","Literacy",-0.00871965941041708
3,3008,"P_internet","Internet",-0.008911675773561
3,3008,"bias_w","Spatial bias",-0.00667600147426128
3,3009,"Total_Population","Population",0.000237158019444905
3,3009,"Total_houses","Households",-0.0059303012676537
3,3009,"P_age_00_14","Population 0-14",-0.00580258434638381
3,3009,"P_age_15_39","Population 15-39",-0.00735644018277526
3,3009,"P_read_write","Literacy",-0.0116574130952358
3,3009,"P_internet","Internet",-0.0127244787290692
3,3009,"bias_w","Spatial bias",0.015783503651619
3,4001,"Total_Population","Population",0.00900648720562458
3,4001,"Total_houses","Households",0.00640186155214906
3,4001,"P_age_00_14","Population 0-14",-0.0022304356098175
3,4001,"P_age_15_39","Population 15-39",-0.00166640221141279
3,4001,"P_read_write","Literacy",0.00654562516137958
3,4001,"P_internet","Internet",0.0037732096388936
3,4001,"bias_w","Spatial bias",0.0144959706813097
3,4002,"Total_Population","Population",0.0132842287421227
3,4002,"Total_houses","Households",0.0130444969981909
3,4002,"P_age_00_14","Population 0-14",-0.00655896821990609
3,4002,"P_age_15_39","Population 15-39",-0.00330256018787622
3,4002,"P_read_write","Literacy",-0.00407699029892683
3,4002,"P_internet","Internet",-0.0158654060214758
3,4002,"bias_w","Spatial bias",0.012740102596581
