"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
1,0.01,1,1,0.65,0.8,0,0,566,0.0793531701596648
1,0.05,1,1,0.65,0.8,0,0,130,0.0795564778733195
1,0.1,1,1,0.65,0.8,0,0,69,0.0782206355156895
1,0.3,1,1,0.65,0.8,0,0,26,0.0801130210113811
1,0.01,3,1,0.65,0.8,0,0,457,0.0802987981712967
1,0.05,3,1,0.65,0.8,0,0,105,0.0805479811559175
1,0.1,3,1,0.65,0.8,0,0,43,0.0808486938323263
1,0.3,3,1,0.65,0.8,0,0,12,0.0821763848420323
1,0.01,5,1,0.65,0.8,0,0,495,0.0813878884529611
1,0.05,5,1,0.65,0.8,0,0,83,0.0817732612745637
1,0.1,5,1,0.65,0.8,0,0,47,0.0822414981327747
1,0.3,5,1,0.65,0.8,0,0,19,0.0890973602781094
1,0.01,7,1,0.65,0.8,0,0,518,0.0804169245001969
1,0.05,7,1,0.65,0.8,0,0,93,0.0807792104094421
1,0.1,7,1,0.65,0.8,0,0,62,0.0823045901821712
1,0.3,7,1,0.65,0.8,0,0,11,0.0898532477912782
1,0.01,1,3,0.65,0.8,0,0,581,0.077740000060794
1,0.05,1,3,0.65,0.8,0,0,120,0.0789876845527125
1,0.1,1,3,0.65,0.8,0,0,72,0.0785506401836001
1,0.3,1,3,0.65,0.8,0,0,23,0.0790259803890187
1,0.01,3,3,0.65,0.8,0,0,419,0.0804569919968638
1,0.05,3,3,0.65,0.8,0,0,86,0.0799649696821211
1,0.1,3,3,0.65,0.8,0,0,48,0.0796574908485786
1,0.3,3,3,0.65,0.8,0,0,14,0.079994358344715
1,0.01,5,3,0.65,0.8,0,0,449,0.0798044712125849
1,0.05,5,3,0.65,0.8,0,0,98,0.0804468641922265
1,0.1,5,3,0.65,0.8,0,0,48,0.0820553943871375
1,0.3,5,3,0.65,0.8,0,0,11,0.0821516305218743
1,0.01,7,3,0.65,0.8,0,0,476,0.0792911830238672
1,0.05,7,3,0.65,0.8,0,0,93,0.0801593301813117
1,0.1,7,3,0.65,0.8,0,0,40,0.0810205488498645
1,0.3,7,3,0.65,0.8,0,0,12,0.0875199980388418
1,0.01,1,5,0.65,0.8,0,0,573,0.079156009905032
1,0.05,1,5,0.65,0.8,0,0,203,0.0788766530562837
1,0.1,1,5,0.65,0.8,0,0,80,0.0785270708219549
1,0.3,1,5,0.65,0.8,0,0,21,0.0795577246415005
1,0.01,3,5,0.65,0.8,0,0,477,0.0793457971909805
1,0.05,3,5,0.65,0.8,0,0,82,0.0787157822697641
1,0.1,3,5,0.65,0.8,0,0,45,0.0799664646975424
1,0.3,3,5,0.65,0.8,0,0,14,0.0808736841461371
1,0.01,5,5,0.65,0.8,0,0,496,0.0787705227542962
1,0.05,5,5,0.65,0.8,0,0,91,0.0804581135100212
1,0.1,5,5,0.65,0.8,0,0,44,0.0818765238073043
1,0.3,5,5,0.65,0.8,0,0,12,0.0837618614106969
1,0.01,7,5,0.65,0.8,0,0,491,0.0789180887999781
1,0.05,7,5,0.65,0.8,0,0,87,0.0791937021317727
1,0.1,7,5,0.65,0.8,0,0,51,0.0806164399199625
1,0.3,7,5,0.65,0.8,0,0,10,0.0853365294118064
1,0.01,1,7,0.65,0.8,0,0,712,0.0793361997054043
1,0.05,1,7,0.65,0.8,0,0,143,0.0786264104610283
1,0.1,1,7,0.65,0.8,0,0,102,0.0782956855164332
1,0.3,1,7,0.65,0.8,0,0,79,0.0780516996752413
1,0.01,3,7,0.65,0.8,0,0,518,0.0763277488185367
1,0.05,3,7,0.65,0.8,0,0,173,0.0799267363818057
1,0.1,3,7,0.65,0.8,0,0,54,0.0786405080502524
1,0.3,3,7,0.65,0.8,0,0,11,0.082296046347543
1,0.01,5,7,0.65,0.8,0,0,513,0.0777599327272994
1,0.05,5,7,0.65,0.8,0,0,96,0.0786833302832004
1,0.1,5,7,0.65,0.8,0,0,48,0.0784541525298018
1,0.3,5,7,0.65,0.8,0,0,12,0.0820814862320205
1,0.01,7,7,0.65,0.8,0,0,435,0.0800573908902052
1,0.05,7,7,0.65,0.8,0,0,87,0.0794303075777021
1,0.1,7,7,0.65,0.8,0,0,44,0.0790607153888691
1,0.3,7,7,0.65,0.8,0,0,14,0.0841463945634841
1,0.01,1,1,0.8,0.8,0,0,548,0.0801199391434965
1,0.05,1,1,0.8,0.8,0,0,149,0.0784312880894754
1,0.1,1,1,0.8,0.8,0,0,55,0.0800327208912508
1,0.3,1,1,0.8,0.8,0,0,14,0.0783487549704947
1,0.01,3,1,0.8,0.8,0,0,502,0.0795322259892691
1,0.05,3,1,0.8,0.8,0,0,91,0.0801013467390934
1,0.1,3,1,0.8,0.8,0,0,43,0.0819141355868164
1,0.3,3,1,0.8,0.8,0,0,13,0.0824044730960467
1,0.01,5,1,0.8,0.8,0,0,614,0.0795912043380109
1,0.05,5,1,0.8,0.8,0,0,95,0.0801031984933558
1,0.1,5,1,0.8,0.8,0,0,43,0.082785534395544
1,0.3,5,1,0.8,0.8,0,0,13,0.0861505658834545
1,0.01,7,1,0.8,0.8,0,0,658,0.0815247569005451
1,0.05,7,1,0.8,0.8,0,0,106,0.0806304877730346
1,0.1,7,1,0.8,0.8,0,0,54,0.0800883780802797
1,0.3,7,1,0.8,0.8,0,0,13,0.0837504821793645
1,0.01,1,3,0.8,0.8,0,0,563,0.0798792095467243
1,0.05,1,3,0.8,0.8,0,0,287,0.0782039304790282
1,0.1,1,3,0.8,0.8,0,0,119,0.0776687467615863
1,0.3,1,3,0.8,0.8,0,0,36,0.0796264779587497
1,0.01,3,3,0.8,0.8,0,0,494,0.0795868380514503
1,0.05,3,3,0.8,0.8,0,0,84,0.0797095597830549
1,0.1,3,3,0.8,0.8,0,0,50,0.0806249106547275
1,0.3,3,3,0.8,0.8,0,0,13,0.0810601345870609
1,0.01,5,3,0.8,0.8,0,0,498,0.0806813180712534
1,0.05,5,3,0.8,0.8,0,0,112,0.0800517560764035
1,0.1,5,3,0.8,0.8,0,0,43,0.0821216660274781
1,0.3,5,3,0.8,0.8,0,0,11,0.0832837835851876
1,0.01,7,3,0.8,0.8,0,0,524,0.0810919678132106
1,0.05,7,3,0.8,0.8,0,0,104,0.0802725284670136
1,0.1,7,3,0.8,0.8,0,0,45,0.0814279202716365
1,0.3,7,3,0.8,0.8,0,0,12,0.0867002717465267
1,0.01,1,5,0.8,0.8,0,0,641,0.080014716605193
1,0.05,1,5,0.8,0.8,0,0,112,0.0791478815084284
1,0.1,1,5,0.8,0.8,0,0,154,0.0777681158532049
1,0.3,1,5,0.8,0.8,0,0,15,0.0784845304896836
1,0.01,3,5,0.8,0.8,0,0,480,0.0790557414466701
1,0.05,3,5,0.8,0.8,0,0,102,0.0795299980765549
1,0.1,3,5,0.8,0.8,0,0,48,0.0789511534718392
1,0.3,3,5,0.8,0.8,0,0,13,0.0804027276804453
1,0.01,5,5,0.8,0.8,0,0,450,0.0808048350456371
1,0.05,5,5,0.8,0.8,0,0,104,0.0807777822892167
1,0.1,5,5,0.8,0.8,0,0,47,0.080392947912621
1,0.3,5,5,0.8,0.8,0,0,17,0.0816896795112493
1,0.01,7,5,0.8,0.8,0,0,456,0.0808528918904712
1,0.05,7,5,0.8,0.8,0,0,88,0.0816917742922467
1,0.1,7,5,0.8,0.8,0,0,45,0.080812684841881
1,0.3,7,5,0.8,0.8,0,0,12,0.0844391842510424
1,0.01,1,7,0.8,0.8,0,0,611,0.0796661946765049
1,0.05,1,7,0.8,0.8,0,0,243,0.0783867086829319
1,0.1,1,7,0.8,0.8,0,0,70,0.079169922434463
1,0.3,1,7,0.8,0.8,0,0,34,0.0789518529463608
1,0.01,3,7,0.8,0.8,0,0,484,0.0788330754082999
1,0.05,3,7,0.8,0.8,0,0,99,0.0801031994921818
1,0.1,3,7,0.8,0.8,0,0,58,0.0789438904911326
1,0.3,3,7,0.8,0.8,0,0,12,0.0824739225960874
1,0.01,5,7,0.8,0.8,0,0,472,0.0805006929852194
1,0.05,5,7,0.8,0.8,0,0,74,0.0817527383846135
1,0.1,5,7,0.8,0.8,0,0,44,0.0807566328531888
1,0.3,5,7,0.8,0.8,0,0,11,0.0844181897328887
1,0.01,7,7,0.8,0.8,0,0,512,0.0786041217736858
1,0.05,7,7,0.8,0.8,0,0,91,0.0806896680173042
1,0.1,7,7,0.8,0.8,0,0,48,0.0822377369614964
1,0.3,7,7,0.8,0.8,0,0,12,0.0843307088821658
1,0.01,1,1,1,0.8,0,0,892,0.0784923091589571
1,0.05,1,1,1,0.8,0,0,204,0.0781957142238181
1,0.1,1,1,1,0.8,0,0,200,0.0787237852735966
1,0.3,1,1,1,0.8,0,0,39,0.0789188815495214
1,0.01,3,1,1,0.8,0,0,517,0.0807224571040813
1,0.05,3,1,1,0.8,0,0,88,0.0814631160908615
1,0.1,3,1,1,0.8,0,0,45,0.080528751069856
1,0.3,3,1,1,0.8,0,0,13,0.08163341752681
1,0.01,5,1,1,0.8,0,0,545,0.0819199869841231
1,0.05,5,1,1,0.8,0,0,105,0.0811958059507889
1,0.1,5,1,1,0.8,0,0,49,0.081974766980626
1,0.3,5,1,1,0.8,0,0,14,0.084495820515255
