"Feature_Label","Impact_SHAP_Value"
"Internet",0.000964641549715471
"Spatial bias",0.000347276173220874
"Income",0.000259126307667241
"Cell phone",0.00020392324496578
"University degree",0.000172003603422659
"Migrants",7.82954649866077e-05
"Households",7.40779256545311e-05
"Population 0-14",7.13686038612843e-05
"Car",6.8627659293165e-05
"Female",6.43169820594244e-05
"Extreme poverty",6.35879774930261e-05
"Disability",5.85549039652236e-05
"Electricity",5.51658333971566e-05
"Literacy",5.47779215373711e-05
"Population",5.15000226536237e-05
"Poor housing conditions",4.72414099884644e-05
"Working",4.62023195416659e-05
"Poverty",4.26006979838965e-05
"Educational lag",4.25553852654168e-05
"Population 15-39",4.098880303964e-05
