"Fold_ID","Feature_Label","Impact_SHAP_Value"
1,"Internet",0.00110786185893661
1,"Spatial bias",0.000332303028537737
1,"Cell phone",0.000281683940050538
1,"University degree",0.000135353312655608
1,"Income",0.00011339731184131
1,"Car",9.94183704241245e-05
1,"Population 0-14",7.42054649635871e-05
1,"Households",7.11279833580375e-05
1,"Migrants",6.78361251181446e-05
1,"Population",6.47864293335297e-05
1,"Extreme poverty",6.37217490780854e-05
1,"Literacy",5.34112106848929e-05
1,"Female",5.30746996415794e-05
1,"Population 15-39",4.98303305620595e-05
1,"Disability",4.5151262939488e-05
1,"Electricity",4.40579220597602e-05
1,"Afrodescendants",4.16859255546533e-05
1,"Vulnerable income",3.95793809581009e-05
1,"Educational lag",3.95650212961129e-05
1,"Mean occupants",3.42089513984495e-05
