"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
2,0.1,1,1,0.8,1,1,0,239,0.0015317820900594
2,0.1,7,5,1,1,0.5,0.5,143,0.00182158007319501
2,0.1,3,1,0.8,1,1,1,314,0.00218456454439734
2,0.05,5,3,1,1,1,1,273,0.00201218989683288
2,0.1,3,3,0.8,1,0.5,1,341,0.00211282626518494
2,0.05,5,1,0.65,0.9,0,0,207,0.0014936817170539
2,0.05,1,5,0.65,1,1,0.5,668,0.001795329867209
2,0.05,7,1,0.65,0.8,1,0,207,0.00151590648586146
2,0.1,3,3,0.8,0.9,0,1,370,0.00212396209515299
2,0.01,5,5,1,0.8,0,1,1233,0.00200517948100828
2,0.3,1,1,1,0.9,0.5,0.5,45,0.00188831092539456
2,0.05,7,1,1,0.8,0,0.5,279,0.00175165384748072
2,0.05,3,3,0.8,1,0.5,1,717,0.00211637235147777
2,0.01,5,3,0.8,1,0.5,1,3047,0.00213896798469188
2,0.05,3,5,0.65,0.9,0,1,701,0.00221508585230999
2,0.1,1,3,0.8,0.9,0,0,126,0.00154699712444536
2,0.3,5,5,1,1,0,0,26,0.00155953562140384
2,0.01,5,3,0.65,0.9,0,1,2385,0.00223072643111866
2,0.1,7,7,0.8,0.8,0,1,492,0.0021089504928652
2,0.1,7,7,1,1,0,0.5,143,0.00183281262948188
2,0.01,5,7,0.65,0.8,1,0.5,2932,0.00185114373799791
2,0.3,1,1,1,0.9,1,1,44,0.00210308042344027
2,0.01,7,1,1,0.8,1,0.5,1261,0.0017927663462811
2,0.01,5,1,1,1,0.5,1,1233,0.0020731494807822
2,0.01,3,3,0.65,0.8,0,0,1075,0.00147791708444463
2,0.1,3,1,0.65,0.8,0.5,1,192,0.00233401963763886
2,0.3,3,7,1,0.8,0,1,45,0.00213578701708851
2,0.05,5,5,0.8,1,1,0,275,0.0014492100852426
2,0.1,1,3,1,1,0.5,0,145,0.00154543895764255
2,0.05,1,7,0.65,0.9,1,1,677,0.00220024845104896
2,0.01,3,5,0.65,0.8,1,0.5,2167,0.00186594985094901
2,0.05,3,7,0.65,0.8,0.5,1,533,0.00223946610183643
2,0.1,7,5,0.65,0.8,0.5,1,556,0.00221951818648386
2,0.3,5,3,0.65,0.9,0,1,201,0.00231020016156683
2,0.05,3,5,1,0.8,1,0,229,0.00150151701553216
2,0.01,3,7,1,0.9,1,1,1233,0.00201856518563403
2,0.1,1,5,1,1,0.5,1,138,0.00198695735656737
2,0.1,5,5,1,1,0.5,1,140,0.0020672588809128
2,0.01,1,5,0.8,1,0,0,1040,0.00154449157265315
2,0.3,5,3,1,0.9,0.5,1,45,0.00209884573624614
2,0.1,5,3,1,1,1,0,104,0.00146230390836308
2,0.3,5,5,0.65,0.8,0.5,0.5,121,0.00199449608967998
2,0.05,5,7,0.65,1,0,1,726,0.00224168195290741
2,0.01,3,1,0.8,0.9,0,0,1030,0.00148653719215451
2,0.1,3,3,0.65,1,1,0.5,443,0.001826463764181
2,0.01,7,3,1,0.9,1,0.5,1260,0.00181053605203883
2,0.01,7,3,0.8,0.9,1,0.5,3157,0.00181932520026545
2,0.05,7,7,0.65,0.8,0,0,185,0.00147572440901793
2,0.1,1,1,1,0.8,1,0.5,142,0.00181497980615679
