"Fold_ID","Feature_Label","Impact_SHAP_Value"
3,"Internet",0.00118255266039262
3,"Cell phone",0.000175525296472711
3,"Income",0.000164927242047589
3,"Households",0.000131779819985405
3,"Migrants",0.000110777718134163
3,"University degree",0.000105704848735747
3,"Population 0-14",9.93346822399113e-05
3,"Extreme poverty",9.36041157238366e-05
3,"Disability",8.62010163180433e-05
3,"Car",7.7138495418671e-05
3,"Mean occupants",7.53844778301875e-05
3,"Educational lag",6.45493414257083e-05
3,"Population",6.37690402015171e-05
3,"Electricity",6.0991469651745e-05
3,"Female",5.9815622364015e-05
3,"Population 15-39",5.77988473092815e-05
3,"Poverty",4.74961742144704e-05
3,"Literacy",4.6476123709936e-05
3,"Vulnerable income",4.4322334943742e-05
3,"Afrodescendants",4.14083280840828e-05
