"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"Current_income","Income",-0.00130987818556605
1001,"P_cell_phone","Cell phone",-9.52605632846826e-05
1001,"P_disability","Disability",8.42702702357201e-05
1001,"P_internet","Internet",-0.00331197073683143
1001,"P_migrants","Migrants",0.000177481577338767
1001,"P_poverty","Poverty",5.92551364206884e-05
1001,"P_university_studies","University degree",-0.000266443337750388
1002,"Current_income","Income",-0.000124488473375095
1002,"P_cell_phone","Cell phone",-8.10799310784205e-05
1002,"P_disability","Disability",6.18785582773285e-08
1002,"P_internet","Internet",-0.000271925309789367
1002,"P_migrants","Migrants",2.29662714446022e-05
1002,"P_poverty","Poverty",-3.55097138253768e-05
1002,"P_university_studies","University degree",9.3294420366874e-05
1003,"Current_income","Income",-0.000319895450957119
1003,"P_cell_phone","Cell phone",-0.000286852275166893
1003,"P_disability","Disability",5.36282959728851e-05
1003,"P_internet","Internet",-0.000958293909206986
1003,"P_migrants","Migrants",-0.000157823118570377
1003,"P_poverty","Poverty",-2.27106281727174e-05
1003,"P_university_studies","University degree",0.00010585869517854
1004,"Current_income","Income",-9.09788898297847e-05
1004,"P_cell_phone","Cell phone",-8.55518892421969e-05
1004,"P_disability","Disability",2.05452204227186e-05
1004,"P_internet","Internet",-0.000867892900714651
1004,"P_migrants","Migrants",4.4231347146706e-05
1004,"P_poverty","Poverty",-1.02849846257413e-05
1004,"P_university_studies","University degree",-1.10875598124949e-06
1005,"Current_income","Income",-0.000559251941012917
1005,"P_cell_phone","Cell phone",-0.000127441649965476
1005,"P_disability","Disability",-7.70063494357487e-05
1005,"P_internet","Internet",-0.00215799370198511
1005,"P_migrants","Migrants",6.02720165261417e-05
1005,"P_poverty","Poverty",7.88077131801401e-05
1005,"P_university_studies","University degree",-0.000247554205998313
1006,"Current_income","Income",-9.01148086995818e-05
1006,"P_cell_phone","Cell phone",-0.000385443308914546
1006,"P_disability","Disability",7.27248243492795e-05
1006,"P_internet","Internet",-0.00190493822447024
1006,"P_migrants","Migrants",8.32216792332474e-05
1006,"P_poverty","Poverty",8.88401673364569e-05
1006,"P_university_studies","University degree",-0.000160684427100932
1007,"Current_income","Income",-0.000245488039581687
1007,"P_cell_phone","Cell phone",-0.000409911684982944
1007,"P_disability","Disability",5.15511796947976e-05
1007,"P_internet","Internet",-0.00131160068849567
1007,"P_migrants","Migrants",5.45676475667278e-05
1007,"P_poverty","Poverty",1.66365066434082e-05
1007,"P_university_studies","University degree",-0.00011334921236994
1008,"Current_income","Income",2.71094340860145e-05
1008,"P_cell_phone","Cell phone",-0.000299061448458815
1008,"P_disability","Disability",4.12278168369085e-05
1008,"P_internet","Internet",0.000259434775216505
1008,"P_migrants","Migrants",4.39397099114558e-05
1008,"P_poverty","Poverty",-1.7880145151139e-05
1008,"P_university_studies","University degree",-3.21748000260413e-05
1009,"Current_income","Income",-8.55087846503011e-05
1009,"P_cell_phone","Cell phone",-0.000109303206045297
1009,"P_disability","Disability",5.89152065799681e-06
1009,"P_internet","Internet",-0.000634079719020519
1009,"P_migrants","Migrants",3.97853787035274e-05
1009,"P_poverty","Poverty",-3.86129891012388e-05
1009,"P_university_studies","University degree",0.000100517348982976
1010,"Current_income","Income",-3.35391046064615e-05
1010,"P_cell_phone","Cell phone",-6.29070229933859e-05
1010,"P_disability","Disability",4.15729728047154e-05
1010,"P_internet","Internet",0.000477393601613585
1010,"P_migrants","Migrants",3.44713143931585e-05
1010,"P_poverty","Poverty",-8.86711741259205e-05
1010,"P_university_studies","University degree",8.18179651105311e-05
1011,"Current_income","Income",-0.000394797480112175
1011,"P_cell_phone","Cell phone",-0.000286881409238049
1011,"P_disability","Disability",-9.9831449915655e-05
1011,"P_internet","Internet",-0.00142403322388418
1011,"P_migrants","Migrants",0.000125957544696575
1011,"P_poverty","Poverty",4.06810131607926e-05
1011,"P_university_studies","University degree",-3.31244336848613e-07
2001,"Current_income","Income",-0.00157592180767097
2001,"P_cell_phone","Cell phone",-0.000418901812736294
2001,"P_disability","Disability",5.56990803488588e-05
2001,"P_internet","Internet",-0.00342271541012451
2001,"P_migrants","Migrants",-0.000564139110792894
2001,"P_poverty","Poverty",3.6027287478646e-05
