Area_code,Area_name,Total_Population,Total_active_population,bias,Map_bias
1001, Aguascalientes,948990,7700,0.99188611,99.18861105
1002, Asientos,51536,217,0.995789351,99.57893511
1003, Calvillo,58250,289,0.995038627,99.50386266
1004, Cosío,17000,57,0.996647059,99.66470588
1010, El Llano,20853,50,0.997602263,99.76022635
1005, Jesús María,129929,836,0.993565717,99.35657167
1006, Pabellón de Arteaga,47646,205,0.995697435,99.56974353
1007, Rincón de Romos,57369,214,0.996269762,99.62697624
1011, San Francisco de los Romo,61997,301,0.995144926,99.51449264
1008, San José de Gracia,9552,25,0.997382747,99.73827471
1009, Tepezalá,22485,101,0.995508117,99.55081165
2001, Ensenada,443807,5483,0.987645531,98.76455306
2002, Mexicali,1049792,16340,0.984435012,98.44350119
2005, Playas de Rosarito,126890,1537,0.987887146,98.78871463
2003, Tecate,108440,1452,0.986610107,98.6610107
2004, Tijuana,1922523,31145,0.983799934,98.37999337
3001, Comondú,73021,303,0.995850509,99.58505088
3003, La Paz,292241,2548,0.991281169,99.12811686
3009, Loreto,18052,120,0.993352537,99.33525371
3008, Los Cabos,351111,4404,0.987456958,98.74569581
3002, Mulegé,64022,313,0.995111056,99.51110556
4010, Calakmul,31714,30,0.999054046,99.90540455
4001, Calkiní,59232,174,0.997062399,99.70623987
4002, Campeche,294077,1943,0.993392887,99.33928869
4011, Candelaria,46913,56,0.998806301,99.8806301
4003, Carmen,248845,1635,0.993429645,99.3429645
4004, Champotón,78170,219,0.997198414,99.71984137
4009, Escárcega,59923,167,0.99721309,99.72130901
4005, Hecelchakán,31917,69,0.997838143,99.78381427
4006, Hopelchén,42140,52,0.998766018,99.8766018
4007, Palizada,8683,11,0.998733157,99.87331567
4008, Tenabo,11452,18,0.998428222,99.84282221
5001, Abasolo,1022,6,0.994129159,99.41291585
5002, Acuña,163058,671,0.9958849,99.58848999
5003, Allende,23056,174,0.992453158,99.24531575
5004, Arteaga,29578,186,0.993711542,99.37115424
5005, Candela,1643,7,0.995739501,99.57395009
