"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.1,1,1,0.8,1,1,0,146,0.00141559911027075
4,0.1,7,5,1,1,0.5,0.5,144,0.00162817792347823
4,0.1,3,1,0.8,1,1,1,411,0.00187257490202863
4,0.05,5,3,1,1,1,1,276,0.00173620238576055
4,0.1,3,3,0.8,1,0.5,1,543,0.0018094557624879
4,0.05,5,1,0.65,0.9,0,0,246,0.00137771321651836
4,0.05,1,5,0.65,1,1,0.5,469,0.00161809764592101
4,0.05,7,1,0.65,0.8,1,0,265,0.00132906292380453
4,0.1,3,3,0.8,0.9,0,1,532,0.00179749190129637
4,0.01,5,5,1,0.8,0,1,1243,0.00176411215967009
4,0.3,1,1,1,0.9,0.5,0.5,45,0.00175098671564063
4,0.05,7,1,1,0.8,0,0.5,281,0.00157699141327126
4,0.05,3,3,0.8,1,0.5,1,918,0.00181990251022379
4,0.01,5,3,0.8,1,0.5,1,2076,0.00183543125151239
4,0.05,3,5,0.65,0.9,0,1,631,0.00191635668610969
4,0.1,1,3,0.8,0.9,0,0,110,0.00142316334240123
4,0.3,5,5,1,1,0,0,26,0.0014123361680749
4,0.01,5,3,0.65,0.9,0,1,2845,0.00192008414515706
4,0.1,7,7,0.8,0.8,0,1,408,0.00185683714142376
4,0.1,7,7,1,1,0,0.5,144,0.00162337440709977
4,0.01,5,7,0.65,0.8,1,0.5,2597,0.00162788986401419
4,0.3,1,1,1,0.9,1,1,44,0.00186846815811006
4,0.01,7,1,1,0.8,1,0.5,1273,0.00160629820398501
4,0.01,5,1,1,1,0.5,1,1244,0.00175611556509422
4,0.01,3,3,0.65,0.8,0,0,960,0.00137485339371604
4,0.1,3,1,0.65,0.8,0.5,1,385,0.00194684705818384
4,0.3,3,7,1,0.8,0,1,45,0.00185698869765888
4,0.05,5,5,0.8,1,1,0,281,0.00136837890454384
4,0.1,1,3,1,1,0.5,0,210,0.00141456580319015
4,0.05,1,7,0.65,0.9,1,1,480,0.00190660400439833
4,0.01,3,5,0.65,0.8,1,0.5,2138,0.00163725248507004
4,0.05,3,7,0.65,0.8,0.5,1,635,0.00191070510870721
4,0.1,7,5,0.65,0.8,0.5,1,528,0.00192196827234538
4,0.3,5,3,0.65,0.9,0,1,158,0.00204638283920898
4,0.05,3,5,1,0.8,1,0,207,0.00138288628262109
4,0.01,3,7,1,0.9,1,1,1243,0.00175590666555059
4,0.1,1,5,1,1,0.5,1,141,0.00172665659764935
4,0.1,5,5,1,1,0.5,1,141,0.00178404831003722
4,0.01,1,5,0.8,1,0,0,1083,0.0014149643626365
4,0.3,5,3,1,0.9,0.5,1,45,0.00189072150496821
4,0.1,5,3,1,1,1,0,112,0.00135442737391842
4,0.3,5,5,0.65,0.8,0.5,0.5,123,0.00173509819780588
4,0.05,5,7,0.65,1,0,1,831,0.00189348942517279
4,0.01,3,1,0.8,0.9,0,0,1152,0.00139001571983357
4,0.1,3,3,0.65,1,1,0.5,430,0.00166648993805518
4,0.01,7,3,1,0.9,1,0.5,1274,0.00157033507419341
4,0.01,7,3,0.8,0.9,1,0.5,3151,0.00161996754264875
4,0.05,7,7,0.65,0.8,0,0,178,0.00136266835908121
