"Fold_ID","Feature_Label","Impact_SHAP_Value"
2,"Internet",0.000971984292943408
2,"Spatial bias",0.000383268830188396
2,"Income",0.000349346895177749
2,"University degree",0.000217575017962791
2,"Cell phone",0.000210760713114629
2,"Population 0-14",0.000117060195026006
2,"Migrants",9.71748965561886e-05
2,"Car",7.39531309442503e-05
2,"Disability",7.3122171213299e-05
2,"Female",7.05366334232875e-05
2,"Literacy",6.62669165046713e-05
2,"Households",6.55489839477134e-05
2,"Population",6.21755813373233e-05
2,"Afrodescendants",5.67766376966835e-05
2,"Electricity",5.5731035119059e-05
2,"Mean occupants",5.3043203946422e-05
2,"Population 15-39",4.51982174226306e-05
2,"Extreme poverty",4.31521274210751e-05
2,"Poverty",3.83502832459428e-05
2,"Working",3.75212413106275e-05
