"Feature_Label","Impact_SHAP_Value"
"Spatial bias",0.0233779901624997
"Population 0-14",0.00664194618537118
"Population",0.0065254059652671
"Population 15-39",0.00625405789068267
"Households",0.0060724317921938
"Internet",0.00583998936550068
"Educational lag",0.00542066911566261
"Literacy",0.00353446924495339
"Indigenous language",0.00322024197943025
"Female",0.0027374423567426
"Population 65+",0.0027348592218105
"Disability",0.00259411424628196
"Income",0.0024611563884857
"Electricity",0.00240752108767335
"Poverty",0.00233034952562113
"Extreme poverty",0.00231625121088126
"Working",0.00222691274944932
"Poor housing conditions",0.00221397454931473
"Mean occupants",0.00213408185052913
"Mean age",0.00204681443033515
