"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"P_age_00_14","Population 0-14",-0.00313637900399044
1001,"P_age_15_39","Population 15-39",-0.00634773407364264
1001,"P_internet","Internet",-0.00252875500154914
1001,"P_read_write","Literacy",-0.00651433170423843
1001,"Total_Population","Population",0.013718742527999
1001,"Total_houses","Households",0.0199762547854334
1001,"bias_w","Spatial bias",-0.0241375425830483
1002,"P_age_00_14","Population 0-14",0.0131316347979009
1002,"P_age_15_39","Population 15-39",-0.00400029722368345
1002,"P_internet","Internet",-0.00453767931321636
1002,"P_read_write","Literacy",-0.00275017123203725
1002,"Total_Population","Population",0.00594050704967231
1002,"Total_houses","Households",0.00614091544412076
1002,"bias_w","Spatial bias",0.00944201473612338
1003,"P_age_00_14","Population 0-14",0.00268841863726266
1003,"P_age_15_39","Population 15-39",-0.00376493437215686
1003,"P_internet","Internet",-0.0077527865068987
1003,"P_read_write","Literacy",-0.000351414826582186
1003,"Total_Population","Population",0.00918364163953811
1003,"Total_houses","Households",0.010116338962689
1003,"bias_w","Spatial bias",-0.0235276008024812
1004,"P_age_00_14","Population 0-14",0.0125242731301114
1004,"P_age_15_39","Population 15-39",-0.00605684745823964
1004,"P_internet","Internet",-0.0130597644019872
1004,"P_read_write","Literacy",-0.00259064424426469
1004,"Total_Population","Population",-0.0015062196762301
1004,"Total_houses","Households",-0.00396597383223707
1004,"bias_w","Spatial bias",0.0172451590187848
1005,"P_age_00_14","Population 0-14",0.009241909137927
1005,"P_age_15_39","Population 15-39",-0.0063018788350746
1005,"P_internet","Internet",-0.00530926894862205
1005,"P_read_write","Literacy",-0.00749551714397967
1005,"Total_Population","Population",0.0158863046672195
1005,"Total_houses","Households",0.0219023637473583
1005,"bias_w","Spatial bias",-0.0423341672867537
1006,"P_age_00_14","Population 0-14",0.0112340314080939
1006,"P_age_15_39","Population 15-39",-0.00741695769829676
1006,"P_internet","Internet",-0.00915070855990052
1006,"P_read_write","Literacy",-0.00245848101621959
1006,"Total_Population","Population",0.0105455263983458
1006,"Total_houses","Households",0.0110593053977937
1006,"bias_w","Spatial bias",-0.0244592046365142
1007,"P_age_00_14","Population 0-14",0.0111998033244163
1007,"P_age_15_39","Population 15-39",-0.0050340976449661
1007,"P_internet","Internet",-0.00860548252239823
1007,"P_read_write","Literacy",-0.00190395821118727
1007,"Total_Population","Population",0.0062022190541029
1007,"Total_houses","Households",0.00703555764630437
1007,"bias_w","Spatial bias",0.0082041077548638
1008,"P_age_00_14","Population 0-14",0.0120749034686014
1008,"P_age_15_39","Population 15-39",-0.00945727352518588
1008,"P_internet","Internet",-0.00221865141065791
1008,"P_read_write","Literacy",-0.0147991880076006
1008,"Total_Population","Population",-0.010392946889624
1008,"Total_houses","Households",-0.00488289378699847
1008,"bias_w","Spatial bias",0.00246101402444765
1009,"P_age_00_14","Population 0-14",0.0103831985034049
1009,"P_age_15_39","Population 15-39",-0.00681594735942781
1009,"P_internet","Internet",-0.00796157435979694
1009,"P_read_write","Literacy",-0.00142513654282084
1009,"Total_Population","Population",0.00024682570801815
1009,"Total_houses","Households",0.000258416723227128
1009,"bias_w","Spatial bias",0.0129844429902732
1010,"P_age_00_14","Population 0-14",0.0116724681574851
1010,"P_age_15_39","Population 15-39",-0.00821382401045412
1010,"P_internet","Internet",0.00308187599875964
1010,"P_read_write","Literacy",-0.00382027966770693
1010,"Total_Population","Population",0.000696694980433676
1010,"Total_houses","Households",0.000952186310314573
1010,"bias_w","Spatial bias",-0.0218894102144986
1011,"P_age_00_14","Population 0-14",0.0133958453079686
1011,"P_age_15_39","Population 15-39",-0.0267505836673081
1011,"P_internet","Internet",-0.00546620547538623
1011,"P_read_write","Literacy",-0.00894567905925214
1011,"Total_Population","Population",0.00497469742549583
1011,"Total_houses","Households",0.00683771510375664
1011,"bias_w","Spatial bias",-0.00510316214058548
2001,"P_age_00_14","Population 0-14",-0.00546268851030618
2001,"P_age_15_39","Population 15-39",-0.00447466305922717
2001,"P_internet","Internet",-0.00344308173953323
2001,"P_read_write","Literacy",-0.00698646443197504
2001,"Total_Population","Population",0.0117503323126584
2001,"Total_houses","Households",0.0123200416564941
2001,"bias_w","Spatial bias",-0.0238871602341533
2002,"P_age_00_14","Population 0-14",-0.00519463652744889
2002,"P_age_15_39","Population 15-39",-0.00630929949693382
2002,"P_internet","Internet",-0.00332747038919479
2002,"P_read_write","Literacy",-0.00610804712050594
2002,"Total_Population","Population",0.0114247121382505
2002,"Total_houses","Households",0.0167489289306104
