"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.1,1,1,0.8,1,1,0,217,0.07832299320645
4,0.1,7,5,1,1,0.5,0.5,60,0.0789729584673312
4,0.1,3,1,0.8,1,1,1,52,0.0791122308740375
4,0.05,5,3,1,1,1,1,152,0.0782841281452935
4,0.1,3,3,0.8,1,0.5,1,60,0.0780776940228546
4,0.05,5,1,0.65,0.9,0,0,110,0.0817878648934916
4,0.05,1,5,0.65,1,1,0.5,166,0.0778416312718014
4,0.05,7,1,0.65,0.8,1,0,128,0.0787081449280865
4,0.1,3,3,0.8,0.9,0,1,117,0.0764067548016164
4,0.01,5,5,1,0.8,0,1,680,0.0777949683281742
4,0.3,1,1,1,0.9,0.5,0.5,106,0.0778223311177101
4,0.05,7,1,1,0.8,0,0.5,200,0.0785916538219828
4,0.05,3,3,0.8,1,0.5,1,178,0.0768459385937533
4,0.01,5,3,0.8,1,0.5,1,730,0.0773853754470165
4,0.05,3,5,0.65,0.9,0,1,168,0.0776605313510131
4,0.1,1,3,0.8,0.9,0,0,111,0.0774165817285346
4,0.3,5,5,1,1,0,0,16,0.0806839216882825
4,0.01,5,3,0.65,0.9,0,1,575,0.0772784113900038
4,0.1,7,7,0.8,0.8,0,1,63,0.0760310750965773
4,0.1,7,7,1,1,0,0.5,54,0.0775265775771867
4,0.01,5,7,0.65,0.8,1,0.5,769,0.0755619702725445
4,0.3,1,1,1,0.9,1,1,105,0.0759492153842948
4,0.01,7,1,1,0.8,1,0.5,617,0.0781162123607938
4,0.01,5,1,1,1,0.5,1,698,0.0793660901978752
4,0.01,3,3,0.65,0.8,0,0,471,0.0773966275229343
4,0.1,3,1,0.65,0.8,0.5,1,87,0.0774921643746995
4,0.3,3,7,1,0.8,0,1,23,0.0761384220731709
4,0.05,5,5,0.8,1,1,0,117,0.0782765687918737
4,0.1,1,3,1,1,0.5,0,168,0.0785468791169968
4,0.05,1,7,0.65,0.9,1,1,405,0.07698136213275
4,0.01,3,5,0.65,0.8,1,0.5,706,0.0766769347407803
4,0.05,3,7,0.65,0.8,0.5,1,163,0.0784076742923659
4,0.1,7,5,0.65,0.8,0.5,1,82,0.0774357638183762
4,0.3,5,3,0.65,0.9,0,1,19,0.0797460715318186
4,0.05,3,5,1,0.8,1,0,109,0.0771796159400493
4,0.01,3,7,1,0.9,1,1,701,0.0761159556159651
4,0.1,1,5,1,1,0.5,1,280,0.0760529888608807
4,0.1,5,5,1,1,0.5,1,74,0.0773124174932332
4,0.01,1,5,0.8,1,0,0,559,0.0791342768400109
4,0.3,5,3,1,0.9,0.5,1,21,0.0780223979775634
4,0.1,5,3,1,1,1,0,63,0.0785828272828106
4,0.3,5,5,0.65,0.8,0.5,0.5,18,0.0789383259297279
4,0.05,5,7,0.65,1,0,1,141,0.0771527417893738
4,0.01,3,1,0.8,0.9,0,0,455,0.0802428409899683
4,0.1,3,3,0.65,1,1,0.5,54,0.0778532831227547
4,0.01,7,3,1,0.9,1,0.5,479,0.0784967279438323
4,0.01,7,3,0.8,0.9,1,0.5,603,0.0772641510361452
4,0.05,7,7,0.65,0.8,0,0,114,0.07792566693534
4,0.1,1,1,1,0.8,1,0.5,213,0.0770185412855463
4,0.1,1,1,0.65,0.9,1,1,153,0.0765892567600963
4,0.3,7,1,0.65,0.8,0,1,19,0.0813371913849835
4,0.01,7,1,1,1,0,1,749,0.0784706133847816
4,0.1,7,3,1,0.9,0,0,48,0.0795711483416159
4,0.01,5,3,0.8,0.8,0,1,719,0.0771180544464153
4,0.1,3,7,0.65,1,0.5,0.5,60,0.0773292636075527
4,0.3,1,3,1,0.8,0,1,70,0.077991470667339
4,0.05,3,3,1,0.8,0,0.5,140,0.0760867012755289
4,0.01,3,5,0.8,1,1,0.5,651,0.077390221147725
4,0.05,7,3,1,0.9,0.5,1,171,0.0777335302470497
4,0.01,3,3,1,0.9,0.5,0,527,0.0787023389348433
4,0.01,7,1,1,1,1,1,484,0.0795499487284755
4,0.3,1,5,0.65,0.9,0,0.5,86,0.0776830631462015
4,0.3,5,5,0.8,0.9,0.5,1,17,0.0794176281528304
4,0.1,5,7,1,0.8,1,0.5,47,0.07773081757453
4,0.01,3,1,1,0.9,0.5,1,801,0.0760667108966218
4,0.05,3,3,0.8,1,0,0.5,173,0.0777290455059721
4,0.01,3,5,1,0.9,0.5,0,554,0.078075770150089
4,0.01,1,3,0.65,1,0,0.5,904,0.0777411827683222
4,0.1,5,1,0.65,0.8,0.5,0,47,0.0806219443117894
4,0.01,1,1,1,0.9,0,1,3263,0.0765397094380056
4,0.05,3,5,0.8,0.9,0.5,0.5,145,0.0771808564009829
4,0.01,5,1,0.8,0.8,0,0.5,793,0.0759072697013459
4,0.1,7,1,0.65,0.9,0.5,0.5,79,0.0765276294988554
4,0.01,1,3,0.65,0.8,0.5,0.5,857,0.0774360340448087
4,0.1,1,3,0.65,0.9,0,0,175,0.0766603342802924
4,0.05,3,3,1,1,1,1,137,0.0787933248879965
4,0.3,7,5,0.65,0.9,1,0.5,15,0.0811121855789165
4,0.1,5,5,0.65,1,0,0,42,0.079816334757453
4,0.3,1,3,1,0.9,0.5,0,102,0.0777704097331755
4,0.3,3,5,0.8,0.9,0,0,19,0.0810396886541121
4,0.05,7,7,1,0.9,0.5,0,94,0.0795468746505784
4,0.05,1,1,0.8,1,0.5,0,222,0.0777877870205091
4,0.1,1,1,1,0.9,1,0,251,0.0761543616826175
