"Area_code","Feature","Plot_label","SHAP_Value_Avg"
1001,"P_age_00_14","Population 0-14",-0.00648227398050949
1001,"P_age_15_39","Population 15-39",-0.0111693650251254
1001,"P_electricity","Electricity",-0.00531173124909401
1001,"P_internet","Internet",-0.00629844565992244
1001,"P_read_write","Literacy",-0.0204351060092449
1001,"Total_Population","Population",0.013725082972087
1001,"Total_houses","Households",0.0166261105332524
1002,"P_age_00_14","Population 0-14",0.0121415972243994
1002,"P_age_15_39","Population 15-39",-0.00923040939960629
1002,"P_electricity","Electricity",-0.00392446885234676
1002,"P_internet","Internet",-0.00909928872715682
1002,"P_read_write","Literacy",-0.014522755285725
1002,"Total_Population","Population",0.0119808149756864
1002,"Total_houses","Households",0.00834539334755391
1003,"P_age_00_14","Population 0-14",0.00277087953509181
1003,"P_age_15_39","Population 15-39",-0.00350876576294468
1003,"P_electricity","Electricity",-0.00375793698185589
1003,"P_internet","Internet",-0.0110830790363252
1003,"P_read_write","Literacy",-0.0093593712663278
1003,"Total_Population","Population",0.0108568578725681
1003,"Total_houses","Households",0.00771085335873067
1004,"P_age_00_14","Population 0-14",0.0121028781868517
1004,"P_age_15_39","Population 15-39",-0.0139027877012268
1004,"P_electricity","Electricity",-0.00321824877755716
1004,"P_internet","Internet",-0.0185723789036274
1004,"P_read_write","Literacy",-0.0154436526354402
1004,"Total_Population","Population",0.00012856294051744
1004,"Total_houses","Households",-0.00433760759187862
1005,"P_age_00_14","Population 0-14",0.00862203678116202
1005,"P_age_15_39","Population 15-39",-0.0104206771356985
1005,"P_electricity","Electricity",-0.00315242822034634
1005,"P_internet","Internet",-0.0102265065070242
1005,"P_read_write","Literacy",-0.0162903401069343
1005,"Total_Population","Population",0.012888626079075
1005,"Total_houses","Households",0.0134583644103259
1006,"P_age_00_14","Population 0-14",0.00926655752118677
1006,"P_age_15_39","Population 15-39",-0.0116118454607204
1006,"P_electricity","Electricity",-0.00261120618415589
1006,"P_internet","Internet",-0.0116668865084648
1006,"P_read_write","Literacy",-0.0123485466465354
1006,"Total_Population","Population",0.0120312272338197
1006,"Total_houses","Households",0.008347641909495
1007,"P_age_00_14","Population 0-14",0.0112957612145692
1007,"P_age_15_39","Population 15-39",-0.0102458886103705
1007,"P_electricity","Electricity",-0.00349059511063388
1007,"P_internet","Internet",-0.014338604407385
1007,"P_read_write","Literacy",-0.0122329399455339
1007,"Total_Population","Population",0.0128591953543946
1007,"Total_houses","Households",0.0107218793127686
1008,"P_age_00_14","Population 0-14",0.013126231264323
1008,"P_age_15_39","Population 15-39",-0.0171773972688243
1008,"P_electricity","Electricity",-0.000297927491828887
1008,"P_internet","Internet",-0.00288655857730191
1008,"P_read_write","Literacy",-0.0267009437084198
1008,"Total_Population","Population",-0.0132150714343879
1008,"Total_houses","Households",-0.00736106520707835
1009,"P_age_00_14","Population 0-14",0.0110990531975403
1009,"P_age_15_39","Population 15-39",-0.0133927908027545
1009,"P_electricity","Electricity",-0.00231200011330657
1009,"P_internet","Internet",-0.0132213567849249
1009,"P_read_write","Literacy",-0.0114466566010378
1009,"Total_Population","Population",0.00276213447796181
1009,"Total_houses","Households",0.0023231727664097
1010,"P_age_00_14","Population 0-14",0.0101976676378399
1010,"P_age_15_39","Population 15-39",-0.0117914172587916
1010,"P_electricity","Electricity",0.00240346655482426
1010,"P_internet","Internet",0.00248213452869095
1010,"P_read_write","Literacy",-0.0136252085212618
1010,"Total_Population","Population",0.000939350167755038
1010,"Total_houses","Households",0.000929150148294866
1011,"P_age_00_14","Population 0-14",0.0112115947995335
1011,"P_age_15_39","Population 15-39",-0.0223860727855936
1011,"P_electricity","Electricity",-0.00316979742638068
1011,"P_internet","Internet",-0.0117470618570223
1011,"P_read_write","Literacy",-0.0212069940753281
1011,"Total_Population","Population",0.0111829108791426
1011,"Total_houses","Households",0.00835034099873155
2001,"P_age_00_14","Population 0-14",-0.00902922928798944
2001,"P_age_15_39","Population 15-39",-0.00876193377189338
2001,"P_electricity","Electricity",0.00196840362332296
2001,"P_internet","Internet",-0.00914737459970638
2001,"P_read_write","Literacy",-0.0199158587493002
2001,"Total_Population","Population",0.0122475750977173
2001,"Total_houses","Households",0.0145061069633812
2002,"P_age_00_14","Population 0-14",-0.0091466085286811
2002,"P_age_15_39","Population 15-39",-0.0105841205222532
2002,"P_electricity","Electricity",-0.00319169732392766
2002,"P_internet","Internet",-0.00635800409509102
2002,"P_read_write","Literacy",-0.0226904645096511
2002,"Total_Population","Population",0.0118926550494507
2002,"Total_houses","Households",0.0147292881738394
2003,"P_age_00_14","Population 0-14",-0.00944091018754989
2003,"P_age_15_39","Population 15-39",-0.00883466936647892
2003,"P_electricity","Electricity",0.0021789159218315
2003,"P_internet","Internet",-0.00869416689965874
2003,"P_read_write","Literacy",-0.0194909921847284
2003,"Total_Population","Population",0.0115564317675307
2003,"Total_houses","Households",0.0128127874340862
2004,"P_age_00_14","Population 0-14",-0.00949793285690248
2004,"P_age_15_39","Population 15-39",-0.0143036182271317
2004,"P_electricity","Electricity",-0.00186175266571809
2004,"P_internet","Internet",-0.00702098268084228
2004,"P_read_write","Literacy",-0.0231702418532223
2004,"Total_Population","Population",0.0130220957798883
2004,"Total_houses","Households",0.0148684270679951
2005,"P_age_00_14","Population 0-14",-0.00984121777582914
2005,"P_age_15_39","Population 15-39",-0.0099478216143325
2005,"P_electricity","Electricity",-0.00224849926962634
2005,"P_internet","Internet",-0.00845560419838876
2005,"P_read_write","Literacy",-0.0210230653174222
2005,"Total_Population","Population",0.01314106665086
2005,"Total_houses","Households",0.0141608098056167
2006,"P_age_00_14","Population 0-14",0.00916505395434797
2006,"P_age_15_39","Population 15-39",-0.0340054036350921
2006,"P_electricity","Electricity",0.00482900854240143
2006,"P_internet","Internet",-0.00843881396576762
2006,"P_read_write","Literacy",-0.000661355996271595
2006,"Total_Population","Population",0.0105015275767073
2006,"Total_houses","Households",0.0121843395754695
3001,"P_age_00_14","Population 0-14",-0.00883887696545571
3001,"P_age_15_39","Population 15-39",-0.00356350763468072
3001,"P_electricity","Electricity",0.00279441702878103
3001,"P_internet","Internet",-0.0147058113943785
3001,"P_read_write","Literacy",-0.0123056586598977
3001,"Total_Population","Population",0.010914498125203
3001,"Total_houses","Households",0.0136815682053566
3002,"P_age_00_14","Population 0-14",-0.00303503801114857
3002,"P_age_15_39","Population 15-39",-0.0073642497882247
3002,"P_electricity","Electricity",0.00132878262957092
3002,"P_internet","Internet",-0.0126734713558108
3002,"P_read_write","Literacy",-0.0130270529771224
3002,"Total_Population","Population",0.0136308073997498
3002,"Total_houses","Households",0.0110500929877162
3003,"P_age_00_14","Population 0-14",-0.00981200579553843
3003,"P_age_15_39","Population 15-39",-0.00893422670196742
3003,"P_electricity","Electricity",-0.000729009416772897
3003,"P_internet","Internet",-0.00876027203048579
3003,"P_read_write","Literacy",-0.02461949409917
3003,"Total_Population","Population",0.0128898221300915
3003,"Total_houses","Households",0.0159457535482943
3008,"P_age_00_14","Population 0-14",-0.00257304063416086
3008,"P_age_15_39","Population 15-39",-0.0407391983317211
3008,"P_electricity","Electricity",-0.00147510306487675
3008,"P_internet","Internet",-0.00835588393965736
3008,"P_read_write","Literacy",-0.0130755089921877
3008,"Total_Population","Population",0.0148797010770068
3008,"Total_houses","Households",0.0159565750509501
3009,"P_age_00_14","Population 0-14",-0.0067447068868205
3009,"P_age_15_39","Population 15-39",-0.00355251044675242
3009,"P_electricity","Electricity",0.000209652004741656
3009,"P_internet","Internet",-0.0143406857969239
3009,"P_read_write","Literacy",-0.0200878917239606
3009,"Total_Population","Population",-0.000289016315946355
3009,"Total_houses","Households",0.0010883485811064
4001,"P_age_00_14","Population 0-14",-0.00544153933878988
4001,"P_age_15_39","Population 15-39",-0.00679164624307305
4001,"P_electricity","Electricity",-0.00236027312348597
4001,"P_internet","Internet",0.00104077828291338
4001,"P_read_write","Literacy",0.0114328083582222
4001,"Total_Population","Population",0.0111576794879511
4001,"Total_houses","Households",0.00601989158894867
4002,"P_age_00_14","Population 0-14",-0.00974481867160648
4002,"P_age_15_39","Population 15-39",-0.00661374488845468
4002,"P_electricity","Electricity",-0.00173015812470112
4002,"P_internet","Internet",-0.0121649625943974
4002,"P_read_write","Literacy",-0.00967731582932174
4002,"Total_Population","Population",0.0148594003403559
4002,"Total_houses","Households",0.0169415874406695
4003,"P_age_00_14","Population 0-14",-0.00672488077543676
4003,"P_age_15_39","Population 15-39",-0.00982126535382122
4003,"P_electricity","Electricity",-0.00159635360614629
4003,"P_internet","Internet",-0.0114698720863089
4003,"P_read_write","Literacy",-0.0123736076056957
4003,"Total_Population","Population",0.0164470582967624
4003,"Total_houses","Households",0.0172660055104643
4004,"P_age_00_14","Population 0-14",0.00345867237774655
4004,"P_age_15_39","Population 15-39",-0.00518248585285619
4004,"P_electricity","Electricity",0.00243197689997032
4004,"P_internet","Internet",0.000989938169368543
4004,"P_read_write","Literacy",0.00477418798254803
4004,"Total_Population","Population",0.00960687024053186
4004,"Total_houses","Households",0.0114974965108559
4005,"P_age_00_14","Population 0-14",-0.00291333359200507
4005,"P_age_15_39","Population 15-39",-0.00703086750581861
4005,"P_electricity","Electricity",-0.00234011872089468
4005,"P_internet","Internet",0.00124225227045827
4005,"P_read_write","Literacy",0.00200566306011751
4005,"Total_Population","Population",0.00876896420959383
4005,"Total_houses","Households",0.00508742255624384
4006,"P_age_00_14","Population 0-14",0.0114660093095154
4006,"P_age_15_39","Population 15-39",-0.00468527351040393
4006,"P_electricity","Electricity",0.0028690270264633
4006,"P_internet","Internet",0.00836714019533247
4006,"P_read_write","Literacy",0.0014646197669208
4006,"Total_Population","Population",0.00682741787750274
4006,"Total_houses","Households",0.00488993542967364
4007,"P_age_00_14","Population 0-14",0.00199146373779513
4007,"P_age_15_39","Population 15-39",0.010407317429781
4007,"P_electricity","Electricity",0.00341647391906008
4007,"P_internet","Internet",0.00369617046817439
4007,"P_read_write","Literacy",0.000514532090164721
4007,"Total_Population","Population",-0.00691790718701668
4007,"Total_houses","Households",-0.0037460963067133
4008,"P_age_00_14","Population 0-14",-0.00352428475162014
4008,"P_age_15_39","Population 15-39",-0.00926041591446847
4008,"P_electricity","Electricity",-0.00882426148746163
4008,"P_internet","Internet",0.00896141945850104
4008,"P_read_write","Literacy",0.00246844947105274
4008,"Total_Population","Population",-0.0049781562120188
4008,"Total_houses","Households",-0.00177274714224041
4009,"P_age_00_14","Population 0-14",0.00879994535353035
4009,"P_age_15_39","Population 15-39",-0.00537980685476214
4009,"P_electricity","Electricity",0.00265251455130056
4009,"P_internet","Internet",0.00352150882827118
4009,"P_read_write","Literacy",0.00475421268492937
4009,"Total_Population","Population",0.008957001962699
4009,"Total_houses","Households",0.00739628163864836
4010,"P_age_00_14","Population 0-14",0.0122076719999313
4010,"P_age_15_39","Population 15-39",-0.00398407716420479
4010,"P_electricity","Electricity",0.00334734679199755
