"Fold_ID","Area_code","Feature","Plot_label","SHAP_Value"
2,1001,"Total_Population","Population",0.019363721832633
2,1001,"P_age_00_14","Population 0-14",-0.00358177372254431
2,1001,"P_age_15_39","Population 15-39",-0.011590613052249
2,1001,"P_read_write","Literacy",-0.00712939538061619
2,1001,"P_internet","Internet",-0.00211734557524323
2,1001,"P_extreme_poverty","Extreme poverty",-0.00151248800102621
2,1001,"P_educational_lag","Educational lag",-0.0271071530878544
2,1002,"Total_Population","Population",0.0181727707386017
2,1002,"P_age_00_14","Population 0-14",0.0126265650615096
2,1002,"P_age_15_39","Population 15-39",-0.0074446452781558
2,1002,"P_read_write","Literacy",-0.0116600645706058
2,1002,"P_internet","Internet",-0.00573332468047738
2,1002,"P_extreme_poverty","Extreme poverty",-0.00373153761029243
2,1002,"P_educational_lag","Educational lag",0.00710033345967531
2,1003,"Total_Population","Population",0.0139931077137589
2,1003,"P_age_00_14","Population 0-14",0.000198885085410438
2,1003,"P_age_15_39","Population 15-39",2.99520779662998e-05
2,1003,"P_read_write","Literacy",-0.00352998822927475
2,1003,"P_internet","Internet",-0.00560120027512312
2,1003,"P_extreme_poverty","Extreme poverty",-0.00509465951472521
2,1003,"P_educational_lag","Educational lag",0.00596158392727375
2,1004,"Total_Population","Population",-0.00665554730221629
2,1004,"P_age_00_14","Population 0-14",0.0161970108747482
2,1004,"P_age_15_39","Population 15-39",-0.0189555045217276
2,1004,"P_read_write","Literacy",-0.0165089536458254
2,1004,"P_internet","Internet",-0.0121464971452951
2,1004,"P_extreme_poverty","Extreme poverty",-0.00998773984611034
2,1004,"P_educational_lag","Educational lag",-0.000106352541479282
2,1005,"Total_Population","Population",0.0159990936517715
2,1005,"P_age_00_14","Population 0-14",0.00792487151920795
2,1005,"P_age_15_39","Population 15-39",-0.00900111719965935
2,1005,"P_read_write","Literacy",-0.0135745704174042
2,1005,"P_internet","Internet",-0.0053287697955966
2,1005,"P_extreme_poverty","Extreme poverty",-0.00336873321793973
2,1005,"P_educational_lag","Educational lag",-0.000449708575615659
2,1006,"Total_Population","Population",0.0162297356873751
2,1006,"P_age_00_14","Population 0-14",0.0099497651681304
2,1006,"P_age_15_39","Population 15-39",-0.0127756474539638
2,1006,"P_read_write","Literacy",-0.0103807626292109
2,1006,"P_internet","Internet",-0.00751971453428268
2,1006,"P_extreme_poverty","Extreme poverty",-0.00425577582791448
2,1006,"P_educational_lag","Educational lag",-0.000601262727286667
2,1007,"Total_Population","Population",0.0160645395517349
2,1007,"P_age_00_14","Population 0-14",0.0115870293229818
2,1007,"P_age_15_39","Population 15-39",-0.0140677699819207
2,1007,"P_read_write","Literacy",-0.0107250707224011
2,1007,"P_internet","Internet",-0.00796269625425339
2,1007,"P_extreme_poverty","Extreme poverty",-0.00270139938220382
2,1007,"P_educational_lag","Educational lag",-0.000512304133735597
2,1008,"Total_Population","Population",-0.0270186644047499
2,1008,"P_age_00_14","Population 0-14",0.01386050414294
2,1008,"P_age_15_39","Population 15-39",-0.0262571703642607
2,1008,"P_read_write","Literacy",-0.0218086112290621
2,1008,"P_internet","Internet",-0.0032594995573163
2,1008,"P_extreme_poverty","Extreme poverty",-0.00905340258032084
2,1008,"P_educational_lag","Educational lag",-0.00946618709713221
2,1009,"Total_Population","Population",0.00180967384949327
2,1009,"P_age_00_14","Population 0-14",0.0134429540485144
2,1009,"P_age_15_39","Population 15-39",-0.0197373740375042
2,1009,"P_read_write","Literacy",-0.00371454632841051
2,1009,"P_internet","Internet",-0.0115713886916637
2,1009,"P_extreme_poverty","Extreme poverty",-0.00739606423303485
2,1009,"P_educational_lag","Educational lag",0.00717766676098108
2,1010,"Total_Population","Population",-0.00143178680445999
2,1010,"P_age_00_14","Population 0-14",0.0125393019989133
2,1010,"P_age_15_39","Population 15-39",-0.0150231933221221
2,1010,"P_read_write","Literacy",-0.0150309791788459
2,1010,"P_internet","Internet",0.00241458904929459
2,1010,"P_extreme_poverty","Extreme poverty",-0.00531539367511868
2,1010,"P_educational_lag","Educational lag",0.0068139205686748
