"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.1,1,1,0.8,1,1,0,157,0.0799845559794863
4,0.1,7,5,1,1,0.5,0.5,65,0.0807663044411949
4,0.1,3,1,0.8,1,1,1,88,0.0810568797902297
4,0.05,5,3,1,1,1,1,236,0.0792235468516249
4,0.1,3,3,0.8,1,0.5,1,74,0.0785548258145774
4,0.05,5,1,0.65,0.9,0,0,87,0.0810428693983232
4,0.05,1,5,0.65,1,1,0.5,321,0.0807297005843731
4,0.05,7,1,0.65,0.8,1,0,123,0.0799344312384728
4,0.1,3,3,0.8,0.9,0,1,104,0.0804985747371597
4,0.01,5,5,1,0.8,0,1,711,0.0793707233505318
4,0.3,1,1,1,0.9,0.5,0.5,144,0.0801954299472982
4,0.05,7,1,1,0.8,0,0.5,178,0.080991583253582
4,0.05,3,3,0.8,1,0.5,1,161,0.0791058810339942
4,0.01,5,3,0.8,1,0.5,1,783,0.0785320541267237
4,0.05,3,5,0.65,0.9,0,1,166,0.079032591425067
4,0.1,1,3,0.8,0.9,0,0,164,0.0800394928089154
4,0.3,5,5,1,1,0,0,12,0.0858146609565197
4,0.01,5,3,0.65,0.9,0,1,939,0.0793284860396838
4,0.1,7,7,0.8,0.8,0,1,81,0.0797376669445627
4,0.1,7,7,1,1,0,0.5,55,0.0820875189793552
4,0.01,5,7,0.65,0.8,1,0.5,562,0.0801343332204308
4,0.3,1,1,1,0.9,1,1,173,0.0804329354599308
4,0.01,7,1,1,0.8,1,0.5,732,0.0798939737394646
4,0.01,5,1,1,1,0.5,1,725,0.0803303268484629
4,0.01,3,3,0.65,0.8,0,0,528,0.0798384107334667
4,0.1,3,1,0.65,0.8,0.5,1,107,0.0789449072912806
4,0.3,3,7,1,0.8,0,1,21,0.0806017308380237
4,0.05,5,5,0.8,1,1,0,98,0.0809481479039347
4,0.1,1,3,1,1,0.5,0,284,0.0803573672864145
4,0.05,1,7,0.65,0.9,1,1,389,0.0806159586795986
4,0.01,3,5,0.65,0.8,1,0.5,914,0.078559228324779
4,0.05,3,7,0.65,0.8,0.5,1,151,0.0794024593220697
4,0.1,7,5,0.65,0.8,0.5,1,71,0.0808616694831743
4,0.3,5,3,0.65,0.9,0,1,23,0.0812842812677673
4,0.05,3,5,1,0.8,1,0,107,0.0804340789754673
4,0.01,3,7,1,0.9,1,1,719,0.0806003771035822
4,0.1,1,5,1,1,0.5,1,554,0.0792643497093409
4,0.1,5,5,1,1,0.5,1,67,0.0796166559633901
4,0.01,1,5,0.8,1,0,0,1816,0.0793278322187238
4,0.3,5,3,1,0.9,0.5,1,51,0.0813682613746126
4,0.1,5,3,1,1,1,0,44,0.0815886449201043
4,0.3,5,5,0.65,0.8,0.5,0.5,21,0.081590627264469
4,0.05,5,7,0.65,1,0,1,145,0.0798775977963019
4,0.01,3,1,0.8,0.9,0,0,458,0.0818792691862615
4,0.1,3,3,0.65,1,1,0.5,67,0.080376688517129
4,0.01,7,3,1,0.9,1,0.5,595,0.0808106151918984
4,0.01,7,3,0.8,0.9,1,0.5,633,0.0796340474787393
4,0.05,7,7,0.65,0.8,0,0,90,0.0807757846482388
4,0.1,1,1,1,0.8,1,0.5,342,0.0809469241930424
4,0.1,1,1,0.65,0.9,1,1,302,0.0800142104890299
4,0.3,7,1,0.65,0.8,0,1,30,0.0814747145184817
4,0.01,7,1,1,1,0,1,636,0.0816729054187832
4,0.1,7,3,1,0.9,0,0,44,0.0848072800752297
4,0.01,5,3,0.8,0.8,0,1,825,0.0792105583340185
4,0.1,3,7,0.65,1,0.5,0.5,70,0.0791506530958728
4,0.3,1,3,1,0.8,0,1,233,0.0802485036056955
4,0.05,3,3,1,0.8,0,0.5,118,0.0809963442164023
4,0.01,3,5,0.8,1,1,0.5,868,0.07892366010531
4,0.05,7,3,1,0.9,0.5,1,156,0.081408950557554
4,0.01,3,3,1,0.9,0.5,0,493,0.0808636094749088
4,0.01,7,1,1,1,1,1,762,0.0796934526127284
4,0.3,1,5,0.65,0.9,0,0.5,95,0.0806035580489419
