Area_code,CVE_ENT,CVE_MUN,NOMGEO,Area_name,Total_Population,Total_active_population,bias,Map_bias,jenks_bins,bias_w
1001,1,1,Aguascalientes, Aguascalientes,948990,87846,0.907432112,90.7432112,"(89.1,93.6]",0.901928497
1002,1,2,Asientos, Asientos,51536,1859,0.963928128,96.39281279,"(93.6,96.8]",0.91657851
1003,1,3,Calvillo, Calvillo,58250,3532,0.939364807,93.93648069,"(93.6,96.8]",0.864740114
1004,1,4,Cosío, Cosío,17000,993,0.941588235,94.15882353,"(93.6,96.8]",0.941340295
1005,1,5,Jesús María, Jesús María,129929,12570,0.903254855,90.32548546,"(89.1,93.6]",0.8669873
1006,1,6,Pabellón de Arteaga, Pabellón de Arteaga,47646,3806,0.920119213,92.01192125,"(89.1,93.6]",0.873535119
1007,1,7,Rincón de Romos, Rincón de Romos,57369,3874,0.932472241,93.24722411,"(89.1,93.6]",0.910785883
1008,1,8,San José de Gracia, San José de Gracia,9552,2158,0.774078727,77.4078727,"(73.8,82.5]",0.926872422
1009,1,9,Tepezalá, Tepezalá,22485,1408,0.937380476,93.73804759,"(93.6,96.8]",0.950304837
1010,1,10,El Llano, El Llano,20853,2314,0.889032753,88.90327531,"(82.5,89.1]",0.941632458
1011,1,11,San Francisco de los Romo, San Francisco de los Romo,61997,12775,0.793941642,79.39416423,"(73.8,82.5]",0.923683577
2001,2,1,Ensenada, Ensenada,443807,46953,0.894204012,89.42040121,"(89.1,93.6]",0.917048277
2002,2,2,Mexicali, Mexicali,1049792,131350,0.874879976,87.48799762,"(82.5,89.1]",0.907182444
2003,2,3,Tecate, Tecate,108440,8165,0.924704906,92.47049059,"(89.1,93.6]",0.885611019
2004,2,4,Tijuana, Tijuana,1922523,215805,0.887749067,88.77490672,"(82.5,89.1]",0.904313994
2005,2,5,Playas de Rosarito, Playas de Rosarito,126890,14729,0.883923083,88.3923083,"(82.5,89.1]",0.887749067
2006,2,6,San Quintín, San Quintín,117568,5695,0.951559948,95.15599483,"(93.6,96.8]",0.918393125
3001,3,1,Comondú, Comondú,73021,5106,0.93007491,93.007491,"(89.1,93.6]",0.93456986
3002,3,2,Mulegé, Mulegé,64022,3676,0.942582237,94.25822374,"(93.6,96.8]",0.949761291
3003,3,3,La Paz, La Paz,292241,31130,0.893478328,89.34783278,"(89.1,93.6]",0.914311331
3008,3,8,Los Cabos, Los Cabos,351111,35621,0.898547753,89.85477527,"(89.1,93.6]",0.893478328
3009,3,9,Loreto, Loreto,18052,584,0.967649014,96.7649014,"(93.6,96.8]",0.936328574
