"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
2,0.1,1,1,0.8,1,1,0,89,0.080479803980098
2,0.1,7,5,1,1,0.5,0.5,51,0.0812722146486488
2,0.1,3,1,0.8,1,1,1,78,0.0798458523758196
2,0.05,5,3,1,1,1,1,182,0.0797200997770047
2,0.1,3,3,0.8,1,0.5,1,71,0.0802497936897926
2,0.05,5,1,0.65,0.9,0,0,103,0.0826611047725845
2,0.05,1,5,0.65,1,1,0.5,168,0.0787200509184034
2,0.05,7,1,0.65,0.8,1,0,144,0.0810965663495548
2,0.1,3,3,0.8,0.9,0,1,80,0.0794484049275916
2,0.01,5,5,1,0.8,0,1,713,0.079698221667546
2,0.3,1,1,1,0.9,0.5,0.5,140,0.0788752681588393
2,0.05,7,1,1,0.8,0,0.5,133,0.0816680754923891
2,0.05,3,3,0.8,1,0.5,1,159,0.0791275881384903
2,0.01,5,3,0.8,1,0.5,1,745,0.0804740523478263
2,0.05,3,5,0.65,0.9,0,1,160,0.0788931370489522
2,0.1,1,3,0.8,0.9,0,0,160,0.0799266509350003
2,0.3,5,5,1,1,0,0,20,0.0839354633753607
2,0.01,5,3,0.65,0.9,0,1,737,0.0787484934381814
2,0.1,7,7,0.8,0.8,0,1,61,0.0801123829542275
2,0.1,7,7,1,1,0,0.5,62,0.0805207286414494
2,0.01,5,7,0.65,0.8,1,0.5,593,0.0784808803335052
2,0.3,1,1,1,0.9,1,1,75,0.0790257281705947
2,0.01,7,1,1,0.8,1,0.5,562,0.0796752765385027
2,0.01,5,1,1,1,0.5,1,766,0.0799951838231288
2,0.01,3,3,0.65,0.8,0,0,484,0.0810243599292432
2,0.1,3,1,0.65,0.8,0.5,1,116,0.0804754071425456
2,0.3,3,7,1,0.8,0,1,31,0.0800935197939978
2,0.05,5,5,0.8,1,1,0,117,0.0787148306171402
2,0.1,1,3,1,1,0.5,0,153,0.07883204757431
2,0.05,1,7,0.65,0.9,1,1,542,0.0791646766376001
2,0.01,3,5,0.65,0.8,1,0.5,738,0.0773325202304271
2,0.05,3,7,0.65,0.8,0.5,1,126,0.0802886906073673
2,0.1,7,5,0.65,0.8,0.5,1,96,0.0798669736743592
2,0.3,5,3,0.65,0.9,0,1,18,0.0813248794034142
2,0.05,3,5,1,0.8,1,0,105,0.0802836451134119
2,0.01,3,7,1,0.9,1,1,954,0.0795200372483878
2,0.1,1,5,1,1,0.5,1,507,0.078667162083496
2,0.1,5,5,1,1,0.5,1,75,0.0801443871063263
2,0.01,1,5,0.8,1,0,0,931,0.0803879570743057
2,0.3,5,3,1,0.9,0.5,1,30,0.0825495042811843
2,0.1,5,3,1,1,1,0,52,0.0826296393269555
2,0.3,5,5,0.65,0.8,0.5,0.5,18,0.0832578285116471
2,0.05,5,7,0.65,1,0,1,156,0.0784594232079064
2,0.01,3,1,0.8,0.9,0,0,479,0.0828301087465507
2,0.1,3,3,0.65,1,1,0.5,107,0.0801907714349291
2,0.01,7,3,1,0.9,1,0.5,618,0.0814654695789209
2,0.01,7,3,0.8,0.9,1,0.5,702,0.0803860765553227
2,0.05,7,7,0.65,0.8,0,0,103,0.080181303520591
