Area_code,CVE_ENT,CVE_MUN,NOMGEO,Area_name,Total_Population,Total_active_population,bias,Map_bias,jenks_bins,bias_w
1001,01,001,Aguascalientes, Aguascalientes,948990,7700,0.99188611,99.18861105,"(98.9,99.2]",0.995113372
1002,01,002,Asientos, Asientos,51536,217,0.995789351,99.57893511,"(99.5,99.7]",0.995848653
1003,01,003,Calvillo, Calvillo,58250,289,0.995038627,99.50386266,"(99.5,99.7]",0.994306413
1004,01,004,Cosío, Cosío,17000,57,0.996647059,99.66470588,"(99.5,99.7]",0.996998414
1005,01,005,Jesús María, Jesús María,129929,836,0.993565717,99.35657167,"(99.2,99.5]",0.995029969
1006,01,006,Pabellón de Arteaga, Pabellón de Arteaga,47646,205,0.995697435,99.56974353,"(99.5,99.7]",0.995630501
1007,01,007,Rincón de Romos, Rincón de Romos,57369,214,0.996269762,99.62697624,"(99.5,99.7]",0.996660139
1008,01,008,San José de Gracia, San José de Gracia,9552,25,0.997382747,99.73827471,"(99.7,99.8]",0.995644695
1009,01,009,Tepezalá, Tepezalá,22485,101,0.995508117,99.55081165,"(99.5,99.7]",0.996260732
1010,01,010,El Llano, El Llano,20853,50,0.997602263,99.76022635,"(99.7,99.8]",0.99491568
1011,01,011,San Francisco de los Romo, San Francisco de los Romo,61997,301,0.995144926,99.51449264,"(99.5,99.7]",0.994234653
2001,02,001,Ensenada, Ensenada,443807,5483,0.987645531,98.76455306,"(98.4,98.9]",0.985522559
2002,02,002,Mexicali, Mexicali,1049792,16340,0.984435012,98.44350119,"[96.3,98.4]",0.988246351
2003,02,003,Tecate, Tecate,108440,1452,0.986610107,98.6610107,"(98.4,98.9]",0.985293492
2004,02,004,Tijuana, Tijuana,1922523,31145,0.983799934,98.37999337,"[96.3,98.4]",0.987248627
2005,02,005,Playas de Rosarito, Playas de Rosarito,126890,1537,0.987887146,98.78871463,"(98.4,98.9]",0.983799934
3001,03,001,Comondú, Comondú,73021,303,0.995850509,99.58505088,"(99.5,99.7]",0.993248254
3002,03,002,Mulegé, Mulegé,64022,313,0.995111056,99.51110556,"(99.5,99.7]",0.994601523
3003,03,003,La Paz, La Paz,292241,2548,0.991281169,99.12811686,"(98.9,99.2]",0.991653733
3008,03,008,Los Cabos, Los Cabos,351111,4404,0.987456958,98.74569581,"(98.4,98.9]",0.991281169
3009,03,009,Loreto, Loreto,18052,120,0.993352537,99.33525371,"(99.2,99.5]",0.995480782
4001,04,001,Calkiní, Calkiní,59232,174,0.997062399,99.70623987,"(99.7,99.8]",0.997252618
4002,04,002,Campeche, Campeche,294077,1943,0.993392887,99.33928869,"(99.2,99.5]",0.998130885
4003,04,003,Carmen, Carmen,248845,1635,0.993429645,99.3429645,"(99.2,99.5]",0.998190099
4004,04,004,Champotón, Champotón,78170,219,0.997198414,99.71984137,"(99.7,99.8]",0.995772417
4005,04,005,Hecelchakán, Hecelchakán,31917,69,0.997838143,99.78381427,"(99.7,99.8]",0.998085546
4006,04,006,Hopelchén, Hopelchén,42140,52,0.998766018,99.8766018,"(99.8,100]",0.99630545
4007,04,007,Palizada, Palizada,8683,11,0.998733157,99.87331567,"(99.8,100]",0.995775637
4008,04,008,Tenabo, Tenabo,11452,18,0.998428222,99.84282221,"(99.7,99.8]",0.996665683
4009,04,009,Escárcega, Escárcega,59923,167,0.99721309,99.72130901,"(99.7,99.8]",0.997122101
4010,04,010,Calakmul, Calakmul,31714,30,0.999054046,99.90540455,"(99.8,100]",0.997073797
4011,04,011,Candelaria, Candelaria,46913,56,0.998806301,99.8806301,"(99.8,100]",0.997056825
5001,05,001,Abasolo, Abasolo,1022,6,0.994129159,99.41291585,"(99.2,99.5]",0.994169202
5002,05,002,Acuña, Acuña,163058,671,0.9958849,99.58848999,"(99.5,99.7]",0.994570724
5003,05,003,Allende, Allende,23056,174,0.992453158,99.24531575,"(98.9,99.2]",0.9924623
5004,05,004,Arteaga, Arteaga,29578,186,0.993711542,99.37115424,"(99.2,99.5]",0.990375478
5005,05,005,Candela, Candela,1643,7,0.995739501,99.57395009,"(99.5,99.7]",0.994644624
5006,05,006,Castaños, Castaños,29128,119,0.995914584,99.59145839,"(99.5,99.7]",0.994536885
5019,05,019,Morelos, Morelos,7928,81,0.989783047,98.97830474,"(98.9,99.2]",0.992560875
5020,05,020,Múzquiz, Múzquiz,71627,453,0.993675569,99.36755693,"(99.2,99.5]",0.993446513
5007,05,007,Cuatro Ciénegas, Cuatro Ciénegas,12715,58,0.995438459,99.54384585,"(99.5,99.7]",0.996063739
5008,05,008,Escobedo, Escobedo,3047,10,0.996718083,99.67180834,"(99.5,99.7]",0.995795973
5009,05,009,Francisco I. Madero, Francisco I. Madero,59035,213,0.996391971,99.63919709,"(99.5,99.7]",0.996589003
5021,05,021,Nadadores, Nadadores,6539,22,0.996635571,99.66355712,"(99.5,99.7]",0.996189118
5010,05,010,Frontera, Frontera,82409,567,0.993119684,99.31196835,"(99.2,99.5]",0.995586997
5011,05,011,General Cepeda, General Cepeda,11898,26,0.997814759,99.78147588,"(99.7,99.8]",0.992198142
5012,05,012,Guerrero, Guerrero,1643,15,0.990870359,99.08703591,"(98.9,99.2]",0.993471664
5029,05,029,Sacramento, Sacramento,2471,1,0.999595306,99.95953055,"(99.8,100]",0.995277074
5030,05,030,Saltillo, Saltillo,879958,8965,0.989812014,98.98120138,"(98.9,99.2]",0.995660911
5031,05,031,San Buenaventura, San Buenaventura,24759,112,0.995476392,99.54763924,"(99.5,99.7]",0.995305526
5032,05,032,San Juan de Sabinas, San Juan de Sabinas,42260,388,0.990818741,99.08187411,"(98.9,99.2]",0.992208941
5033,05,033,San Pedro, San Pedro,101041,379,0.996249047,99.62490474,"(99.5,99.7]",0.995945255
5013,05,013,Hidalgo, Hidalgo,1735,6,0.996541787,99.65417867,"(99.5,99.7]",0.991311453
5014,05,014,Jiménez, Jiménez,9502,23,0.997579457,99.7579457,"(99.7,99.8]",0.992383195
5015,05,015,Juárez, Juárez,1584,14,0.991161616,99.11616162,"(98.9,99.2]",0.994035117
5016,05,016,Lamadrid, Lamadrid,1764,4,0.997732426,99.77324263,"(99.7,99.8]",0.995698603
5017,05,017,Matamoros, Matamoros,118337,431,0.996357859,99.63578593,"(99.5,99.7]",0.994716557
5018,05,018,Monclova, Monclova,237951,2305,0.990313132,99.03131317,"(98.9,99.2]",0.994725732
5022,05,022,Nava, Nava,33129,265,0.992000966,99.20009659,"(98.9,99.2]",0.991220076
5023,05,023,Ocampo, Ocampo,9642,48,0.99502178,99.50217797,"(99.5,99.7]",0.996360068
5024,05,024,Parras, Parras,44472,196,0.995592733,99.55927325,"(99.5,99.7]",0.995179362
5025,05,025,Piedras Negras, Piedras Negras,176327,1894,0.989258593,98.92585934,"(98.9,99.2]",0.993862171
5026,05,026,Progreso, Progreso,3239,7,0.997838839,99.78388391,"(99.7,99.8]",0.993906629
