"k","Moran.I","p.value","Subgraphs"
1,0.253304635920628,"0.0000000000",548
2,0.270192240651993,"0.0000000000",3
3,0.294361562147411,"0.0000000000",1
4,0.30457977731762,"0.0000000000",1
5,0.295072661183418,"0.0000000000",1
6,0.299953915118659,"0.0000000000",1
7,0.29305036872615,"0.0000000000",1
8,0.291489311936613,"0.0000000000",1
9,0.286506546096947,"0.0000000000",1
10,0.280430389909429,"0.0000000000",1
11,0.274025770278498,"0.0000000000",1
12,0.267503955183371,"0.0000000000",1
13,0.261060725555514,"0.0000000000",1
14,0.25762417710835,"0.0000000000",1
15,0.255875716591703,"0.0000000000",1
16,0.252036981485947,"0.0000000000",1
17,0.248921005225791,"0.0000000000",1
18,0.246899850219688,"0.0000000000",1
19,0.246372217834952,"0.0000000000",1
20,0.245944982651355,"0.0000000000",1
