feature,importance_value,rank
P_internet,8.164406109741969e-4,1
bias_w,3.603968174698846e-4,2
Current_income,2.830307948315197e-4,3
P_cell_phone,2.492289188350256e-4,4
P_university_studies,2.3088739365304626e-4,5
latitude,1.2426418387554184e-4,6
longitude,1.1542752395488037e-4,7
Total_houses,8.99633185652432e-5,8
P_extreme_poverty,7.210281017312494e-5,9
P_car,7.1231233045663e-5,10
P_migrants,7.053690342954159e-5,11
P_female,6.054560266640631e-5,12
P_electricity,5.886578736842097e-5,13
P_age_00_14,5.3012560396887796e-5,14
Mean_occupants,4.100703792923543e-5,15
P_vulnerable_income,4.0476513789178734e-5,16
Total_Population,3.5580541038254544e-5,17
P_afrodescendants,3.1361827046407914e-5,18
P_educational_lag,2.755090011154364e-5,19
P_age_15_39,2.7516837516578332e-5,20
P_lack_quality_living_spaces,2.5922708164976658e-5,21
P_disability,2.4249824653967964e-5,22
P_read_write,2.3506005521351366e-5,23
P_working,1.723376721177053e-5,24
P_poverty,1.4312273021232993e-5,25
P_indigenous_language,1.231407619457521e-5,26
Mean_age,1.0162821922171345e-5,27
P_age_65_more,9.8134260119938e-6,28
