eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,0,0
0.05,1,1,0.65,0.8,0,0,0,0
0.1,1,1,0.65,0.8,0,0,0,0
0.3,1,1,0.65,0.8,0,0,0,0
0.01,3,1,0.65,0.8,0,0,0,0
0.05,3,1,0.65,0.8,0,0,0,0
0.1,3,1,0.65,0.8,0,0,0,0
0.3,3,1,0.65,0.8,0,0,0,0
0.01,5,1,0.65,0.8,0,0,0,0
0.05,5,1,0.65,0.8,0,0,0,0
0.1,5,1,0.65,0.8,0,0,0,0
0.3,5,1,0.65,0.8,0,0,0,0
0.01,7,1,0.65,0.8,0,0,0,0
0.05,7,1,0.65,0.8,0,0,0,0
0.1,7,1,0.65,0.8,0,0,0,0
0.3,7,1,0.65,0.8,0,0,0,0
0.01,1,3,0.65,0.8,0,0,0,0
0.05,1,3,0.65,0.8,0,0,0,0
0.1,1,3,0.65,0.8,0,0,0,0
0.3,1,3,0.65,0.8,0,0,0,0
0.01,3,3,0.65,0.8,0,0,0,0
0.05,3,3,0.65,0.8,0,0,0,0
0.1,3,3,0.65,0.8,0,0,0,0
0.3,3,3,0.65,0.8,0,0,0,0
0.01,5,3,0.65,0.8,0,0,0,0
0.05,5,3,0.65,0.8,0,0,0,0
0.1,5,3,0.65,0.8,0,0,0,0
0.3,5,3,0.65,0.8,0,0,0,0
0.01,7,3,0.65,0.8,0,0,0,0
0.05,7,3,0.65,0.8,0,0,0,0
0.1,7,3,0.65,0.8,0,0,0,0
0.3,7,3,0.65,0.8,0,0,0,0
0.01,1,5,0.65,0.8,0,0,0,0
0.05,1,5,0.65,0.8,0,0,0,0
0.1,1,5,0.65,0.8,0,0,0,0
0.3,1,5,0.65,0.8,0,0,0,0
0.01,3,5,0.65,0.8,0,0,0,0
0.05,3,5,0.65,0.8,0,0,0,0
0.1,3,5,0.65,0.8,0,0,0,0
0.3,3,5,0.65,0.8,0,0,0,0
0.01,5,5,0.65,0.8,0,0,0,0
0.05,5,5,0.65,0.8,0,0,0,0
0.1,5,5,0.65,0.8,0,0,0,0
0.3,5,5,0.65,0.8,0,0,0,0
0.01,7,5,0.65,0.8,0,0,0,0
0.05,7,5,0.65,0.8,0,0,0,0
0.1,7,5,0.65,0.8,0,0,0,0
