eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,912,0.00139076937545265
0.05,1,1,0.65,0.8,0,0,214,0.001383815456518905
0.1,1,1,0.65,0.8,0,0,106,0.001398368676464803
0.3,1,1,0.65,0.8,0,0,37,0.001476842151239982
0.01,3,1,0.65,0.8,0,0,932,0.001317593378114494
0.05,3,1,0.65,0.8,0,0,191,0.001333985583096725
0.1,3,1,0.65,0.8,0,0,99,0.001334818584363846
0.3,3,1,0.65,0.8,0,0,28,0.001442117636589503
0.01,5,1,0.65,0.8,0,0,1008,0.001320753780844467
0.05,5,1,0.65,0.8,0,0,187,0.001354212759005886
0.1,5,1,0.65,0.8,0,0,99,0.001352566852025765
0.3,5,1,0.65,0.8,0,0,28,0.001504690656282199
0.01,7,1,0.65,0.8,0,0,1157,0.001324488536633153
0.05,7,1,0.65,0.8,0,0,214,0.001365662687981933
0.1,7,1,0.65,0.8,0,0,125,0.001380262201214979
0.3,7,1,0.65,0.8,0,0,32,0.001545839474134344
0.01,1,3,0.65,0.8,0,0,1063,0.001371790200049066
0.05,1,3,0.65,0.8,0,0,237,0.001368955841895211
0.1,1,3,0.65,0.8,0,0,101,0.00137519107536885
0.3,1,3,0.65,0.8,0,0,39,0.001448155210578103
0.01,3,3,0.65,0.8,0,0,883,0.001310613416578705
0.05,3,3,0.65,0.8,0,0,219,0.001330359010821755
0.1,3,3,0.65,0.8,0,0,96,0.001349600138416602
0.3,3,3,0.65,0.8,0,0,26,0.001398583885944751
0.01,5,3,0.65,0.8,0,0,909,0.001306122990434346
0.05,5,3,0.65,0.8,0,0,179,0.001321782087291805
0.1,5,3,0.65,0.8,0,0,82,0.001322652055346711
0.3,5,3,0.65,0.8,0,0,26,0.001385340293540515
0.01,7,3,0.65,0.8,0,0,904,0.001303907950425006
0.05,7,3,0.65,0.8,0,0,171,0.001332532000673939
0.1,7,3,0.65,0.8,0,0,91,0.001317588048764316
0.3,7,3,0.65,0.8,0,0,29,0.001439125354180345
0.01,1,5,0.65,0.8,0,0,1063,0.001389427887954157
0.05,1,5,0.65,0.8,0,0,240,0.001387418738703499
0.1,1,5,0.65,0.8,0,0,100,0.00140126903785864
0.3,1,5,0.65,0.8,0,0,51,0.00146346618965091
0.01,3,5,0.65,0.8,0,0,927,0.001327194402483387
0.05,3,5,0.65,0.8,0,0,171,0.001340311692255497
0.1,3,5,0.65,0.8,0,0,102,0.001350429186993277
0.3,3,5,0.65,0.8,0,0,39,0.001432721568664696
0.01,5,5,0.65,0.8,0,0,886,0.00131405287106223
0.05,5,5,0.65,0.8,0,0,171,0.001331365616086006
0.1,5,5,0.65,0.8,0,0,97,0.001321317966507759
0.3,5,5,0.65,0.8,0,0,28,0.001378422394276265
0.01,7,5,0.65,0.8,0,0,886,0.001312882757109597
0.05,7,5,0.65,0.8,0,0,171,0.001336243765216461
0.1,7,5,0.65,0.8,0,0,86,0.0013558117065484271
0.3,7,5,0.65,0.8,0,0,27,0.001403758604785083
0.01,1,7,0.65,0.8,0,0,1086,0.001398178135150588
0.05,1,7,0.65,0.8,0,0,225,0.001396756383815827
0.1,1,7,0.65,0.8,0,0,116,0.001404452933119759
0.3,1,7,0.65,0.8,0,0,59,0.001465972476751267
0.01,3,7,0.65,0.8,0,0,922,0.001330499633352332
0.05,3,7,0.65,0.8,0,0,170,0.001332257463247242
0.1,3,7,0.65,0.8,0,0,101,0.00132965592545475
0.3,3,7,0.65,0.8,0,0,38,0.001400125723275145
0.01,5,7,0.65,0.8,0,0,893,0.001313041227326564
0.05,5,7,0.65,0.8,0,0,177,0.001327232554190165
0.1,5,7,0.65,0.8,0,0,97,0.001340137550885522
0.3,5,7,0.65,0.8,0,0,27,0.001378822725686957
0.01,7,7,0.65,0.8,0,0,928,0.001317768029460606
0.05,7,7,0.65,0.8,0,0,169,0.001327769695388568
0.1,7,7,0.65,0.8,0,0,86,0.001345389817873657
0.3,7,7,0.65,0.8,0,0,26,0.001419054995283661
0.01,1,1,0.8,0.8,0,0,1044,0.001386309089110927
0.05,1,1,0.8,0.8,0,0,224,0.001383410621026092
0.1,1,1,0.8,0.8,0,0,90,0.001399584492532139
0.3,1,1,0.8,0.8,0,0,55,0.001448886225977207
0.01,3,1,0.8,0.8,0,0,930,0.001314902673744461
0.05,3,1,0.8,0.8,0,0,216,0.001325569716795655
0.1,3,1,0.8,0.8,0,0,120,0.001340861263521415
0.3,3,1,0.8,0.8,0,0,28,0.001446870068785769
0.01,5,1,0.8,0.8,0,0,1058,0.0013139707028309519
0.05,5,1,0.8,0.8,0,0,192,0.001317519529616988
0.1,5,1,0.8,0.8,0,0,96,0.001365596270434522
0.3,5,1,0.8,0.8,0,0,40,0.001470570749643541
0.01,7,1,0.8,0.8,0,0,1096,0.001334756565808234
0.05,7,1,0.8,0.8,0,0,232,0.0013523358894272771
0.1,7,1,0.8,0.8,0,0,124,0.001363913393513299
0.3,7,1,0.8,0.8,0,0,59,0.001503390405465848
0.01,1,3,0.8,0.8,0,0,935,0.001367988704544423
0.05,1,3,0.8,0.8,0,0,237,0.001358929852394798
0.1,1,3,0.8,0.8,0,0,113,0.001367967082639025
0.3,1,3,0.8,0.8,0,0,72,0.00141468289400848
0.01,3,3,0.8,0.8,0,0,950,0.001307534763043571
0.05,3,3,0.8,0.8,0,0,196,0.001316215286131477
0.1,3,3,0.8,0.8,0,0,98,0.0013343258181111879
0.3,3,3,0.8,0.8,0,0,26,0.001386839384899163
0.01,5,3,0.8,0.8,0,0,930,0.001310401571842153
0.05,5,3,0.8,0.8,0,0,185,0.001326675110046544
0.1,5,3,0.8,0.8,0,0,86,0.001340960635605515
0.3,5,3,0.8,0.8,0,0,24,0.001431327465212014
0.01,7,3,0.8,0.8,0,0,931,0.001309538527942294
0.05,7,3,0.8,0.8,0,0,197,0.0013210585544893329
0.1,7,3,0.8,0.8,0,0,91,0.0013408685854455161
0.3,7,3,0.8,0.8,0,0,29,0.001473718312155233
0.01,1,5,0.8,0.8,0,0,1084,0.001378893676342038
0.05,1,5,0.8,0.8,0,0,245,0.001371329479703951
0.1,1,5,0.8,0.8,0,0,138,0.0013825435899971169
0.3,1,5,0.8,0.8,0,0,70,0.001441578688901566
0.01,3,5,0.8,0.8,0,0,934,0.001326481462558469
0.05,3,5,0.8,0.8,0,0,201,0.001329142216177943
0.1,3,5,0.8,0.8,0,0,98,0.001335922304761275
0.3,3,5,0.8,0.8,0,0,28,0.001419883582851407
0.01,5,5,0.8,0.8,0,0,914,0.001310919161521702
0.05,5,5,0.8,0.8,0,0,197,0.001324311290099397
0.1,5,5,0.8,0.8,0,0,91,0.001338321653625887
0.3,5,5,0.8,0.8,0,0,27,0.001394932215614442
0.01,7,5,0.8,0.8,0,0,915,0.001312007064652831
0.05,7,5,0.8,0.8,0,0,185,0.001328815187126968
0.1,7,5,0.8,0.8,0,0,96,0.001347057554731277
0.3,7,5,0.8,0.8,0,0,41,0.0014144897419869481
0.01,1,7,0.8,0.8,0,0,1007,0.001391255465608274
0.05,1,7,0.8,0.8,0,0,272,0.001376108206693538
0.1,1,7,0.8,0.8,0,0,117,0.001394084751598582
0.3,1,7,0.8,0.8,0,0,73,0.001450774872260514
0.01,3,7,0.8,0.8,0,0,881,0.001332717782713211
0.05,3,7,0.8,0.8,0,0,197,0.001334757107864578
0.1,3,7,0.8,0.8,0,0,123,0.00134550429719859
0.3,3,7,0.8,0.8,0,0,25,0.001408376607262734
0.01,5,7,0.8,0.8,0,0,895,0.001316145410715709
0.05,5,7,0.8,0.8,0,0,196,0.001313078520468619
0.1,5,7,0.8,0.8,0,0,104,0.001341823509977034
0.3,5,7,0.8,0.8,0,0,28,0.001386028555848243
0.01,7,7,0.8,0.8,0,0,884,0.001315229744505444
0.05,7,7,0.8,0.8,0,0,185,0.001328813122935944
0.1,7,7,0.8,0.8,0,0,90,0.001336138758022872
0.3,7,7,0.8,0.8,0,0,26,0.001421297121317488
0.01,1,1,1,0.8,0,0,1211,0.001392466776216369
0.05,1,1,1,0.8,0,0,300,0.001390032666140439
0.1,1,1,1,0.8,0,0,151,0.001394532641665103
0.3,1,1,1,0.8,0,0,123,0.001409971461164818
0.01,3,1,1,0.8,0,0,944,0.001320267774372953
0.05,3,1,1,0.8,0,0,186,0.0013249550599597
0.1,3,1,1,0.8,0,0,92,0.00131817375335274
0.3,3,1,1,0.8,0,0,39,0.001387502596570476
0.01,5,1,1,0.8,0,0,1185,0.001327064221566216
0.05,5,1,1,0.8,0,0,264,0.001327694522584386
0.1,5,1,1,0.8,0,0,135,0.001350255283757912
0.3,5,1,1,0.8,0,0,43,0.001355589840256297
0.01,7,1,1,0.8,0,0,1185,0.001350212899761064
0.05,7,1,1,0.8,0,0,264,0.001371382751769199
0.1,7,1,1,0.8,0,0,135,0.001360311522427654
0.3,7,1,1,0.8,0,0,44,0.0014385037332377269
0.01,1,3,1,0.8,0,0,1702,0.001352454096379431
0.05,1,3,1,0.8,0,0,302,0.001353344358579695
0.1,1,3,1,0.8,0,0,154,0.001359675249903658
0.3,1,3,1,0.8,0,0,67,0.001388102944175947
0.01,3,3,1,0.8,0,0,1013,0.001307787850940338
0.05,3,3,1,0.8,0,0,186,0.001315113117474737
0.1,3,3,1,0.8,0,0,101,0.001313343407481702
0.3,3,3,1,0.8,0,0,26,0.001376004614990664
0.01,5,3,1,0.8,0,0,1185,0.001319937365218936
0.05,5,3,1,0.8,0,0,264,0.0013218263308818739
0.1,5,3,1,0.8,0,0,135,0.001323263592540802
0.3,5,3,1,0.8,0,0,27,0.001371805790929563
0.01,7,3,1,0.8,0,0,1185,0.00131277252477059
0.05,7,3,1,0.8,0,0,264,0.001315981538690006
0.1,7,3,1,0.8,0,0,135,0.001340369776436219
0.3,7,3,1,0.8,0,0,44,0.001409550029419836
0.01,1,5,1,0.8,0,0,1817,0.001366290945053752
0.05,1,5,1,0.8,0,0,370,0.001366569380862035
0.1,1,5,1,0.8,0,0,202,0.001373156801575058
0.3,1,5,1,0.8,0,0,80,0.00140997134370362
0.01,3,5,1,0.8,0,0,936,0.001330936573975809
0.05,3,5,1,0.8,0,0,196,0.001343235459302125
0.1,3,5,1,0.8,0,0,103,0.001332742326626966
0.3,3,5,1,0.8,0,0,40,0.001394334173376813
0.01,5,5,1,0.8,0,0,938,0.001327824785741445
0.05,5,5,1,0.8,0,0,185,0.001323583035466775
0.1,5,5,1,0.8,0,0,95,0.001335784530947647
0.3,5,5,1,0.8,0,0,30,0.001380944343345595
0.01,7,5,1,0.8,0,0,951,0.00133123699924691
0.05,7,5,1,0.8,0,0,187,0.001339295350167151
0.1,7,5,1,0.8,0,0,94,0.001340432098279551
0.3,7,5,1,0.8,0,0,26,0.001407482471298066
0.01,1,7,1,0.8,0,0,1758,0.001376126744617819
0.05,1,7,1,0.8,0,0,329,0.001377299970448281
0.1,1,7,1,0.8,0,0,183,0.001382643502136406
0.3,1,7,1,0.8,0,0,70,0.001420048069034647
0.01,3,7,1,0.8,0,0,941,0.001334436764147616
0.05,3,7,1,0.8,0,0,187,0.001337239140869848
0.1,3,7,1,0.8,0,0,105,0.001329398615121658
0.3,3,7,1,0.8,0,0,35,0.001386892812981197
0.01,5,7,1,0.8,0,0,904,0.001327933223280008
0.05,5,7,1,0.8,0,0,185,0.001332837387576629
0.1,5,7,1,0.8,0,0,84,0.001353515701244389
0.3,5,7,1,0.8,0,0,27,0.001393167306525797
0.01,7,7,1,0.8,0,0,924,0.001327329109470218
0.05,7,7,1,0.8,0,0,203,0.001344126720609672
0.1,7,7,1,0.8,0,0,115,0.001348503627539742
0.3,7,7,1,0.8,0,0,26,0.0014142151725572531
0.01,1,1,0.65,0.9,0,0,916,0.001391356427383848
0.05,1,1,0.65,0.9,0,0,214,0.001384823931210947
0.1,1,1,0.65,0.9,0,0,106,0.001390243597905561
0.3,1,1,0.65,0.9,0,0,43,0.001457665028204887
0.01,3,1,0.65,0.9,0,0,932,0.001315921436130459
