feature,importance_value,rank
P_internet,0.0010623121226757118,1
bias_w,3.640501116327262e-4,2
P_cell_phone,2.866832286739373e-4,3
Current_income,1.863211091851287e-4,4
P_university_studies,1.3325405865039213e-4,5
Total_houses,8.795758851075011e-5,6
P_female,7.248226704508425e-5,7
P_car,7.222350207566951e-5,8
P_age_00_14,7.114324905947829e-5,9
P_migrants,6.92755332690984e-5,10
P_electricity,6.211759247173324e-5,11
Total_Population,6.0339940614931125e-5,12
P_extreme_poverty,5.8030756200243007e-5,13
Mean_occupants,5.567921458428284e-5,14
P_afrodescendants,4.9523784036281075e-5,15
P_read_write,4.718139000547097e-5,16
P_age_15_39,4.4999260039101696e-5,17
P_educational_lag,4.488490027577531e-5,18
P_disability,3.963846747962533e-5,19
P_vulnerable_income,3.8491519591387495e-5,20
P_poverty,3.6628944168251614e-5,21
P_working,3.0337184209522884e-5,22
P_lack_quality_living_spaces,2.8698240940980992e-5,23
P_indigenous_language,2.0470917044800153e-5,24
Mean_age,1.3341549374713339e-5,25
P_age_65_more,9.731204921119094e-6,26
