eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,948,0.001384847857967482
0.05,1,1,0.65,0.8,0,0,229,0.001389514156990985
0.1,1,1,0.65,0.8,0,0,95,0.001409477237565678
0.3,1,1,0.65,0.8,0,0,51,0.00144822178715114
0.01,3,1,0.65,0.8,0,0,926,0.001346030021489076
0.05,3,1,0.65,0.8,0,0,190,0.001339068627900339
0.1,3,1,0.65,0.8,0,0,87,0.001372693441095216
0.3,3,1,0.65,0.8,0,0,24,0.001451186561243645
0.01,5,1,0.65,0.8,0,0,1016,0.001333025072328063
0.05,5,1,0.65,0.8,0,0,196,0.001345799633335277
0.1,5,1,0.65,0.8,0,0,89,0.0013738762119870499
0.3,5,1,0.65,0.8,0,0,24,0.001476584004149724
0.01,7,1,0.65,0.8,0,0,1024,0.001336570560619676
0.05,7,1,0.65,0.8,0,0,193,0.001365097536951227
0.1,7,1,0.65,0.8,0,0,105,0.001402419215931864
0.3,7,1,0.65,0.8,0,0,26,0.00153011406161769
0.01,1,3,0.65,0.8,0,0,985,0.001383123479449904
0.05,1,3,0.65,0.8,0,0,191,0.0013908435846164131
0.1,1,3,0.65,0.8,0,0,93,0.001397485383477564
0.3,1,3,0.65,0.8,0,0,28,0.001445220199222598
0.01,3,3,0.65,0.8,0,0,889,0.001346590912508706
0.05,3,3,0.65,0.8,0,0,170,0.001340133887359191
0.1,3,3,0.65,0.8,0,0,92,0.001345745020280419
0.3,3,3,0.65,0.8,0,0,29,0.001409768465121269
0.01,5,3,0.65,0.8,0,0,901,0.001336282140108595
0.05,5,3,0.65,0.8,0,0,181,0.001343112308681654
0.1,5,3,0.65,0.8,0,0,92,0.001356008638751016
0.3,5,3,0.65,0.8,0,0,25,0.001455894856986536
0.01,7,3,0.65,0.8,0,0,909,0.001333009805302157
0.05,7,3,0.65,0.8,0,0,180,0.0013534861076815031
0.1,7,3,0.65,0.8,0,0,83,0.001361558928298074
0.3,7,3,0.65,0.8,0,0,24,0.0014713875357121702
0.01,1,5,0.65,0.8,0,0,993,0.001391496692184994
0.05,1,5,0.65,0.8,0,0,216,0.001397588146092171
0.1,1,5,0.65,0.8,0,0,95,0.0014035880421616699
0.3,1,5,0.65,0.8,0,0,55,0.001450474863351259
0.01,3,5,0.65,0.8,0,0,891,0.001347727863587236
0.05,3,5,0.65,0.8,0,0,180,0.001344946625353925
0.1,3,5,0.65,0.8,0,0,80,0.001369216327338413
0.3,3,5,0.65,0.8,0,0,29,0.0014432764271629659
0.01,5,5,0.65,0.8,0,0,862,0.0013429897790167029
0.05,5,5,0.65,0.8,0,0,180,0.001352618326207426
0.1,5,5,0.65,0.8,0,0,87,0.0013701597374977561
0.3,5,5,0.65,0.8,0,0,26,0.001488173863147304
