eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1297,0.00144416953251339
0.05,1,1,0.65,0.8,0,0,275,0.001449310855433894
0.1,1,1,0.65,0.8,0,0,136,0.0014615551733128
0.3,1,1,0.65,0.8,0,0,65,0.001505591517459788
0.01,3,1,0.65,0.8,0,0,939,0.001355408311672024
0.05,3,1,0.65,0.8,0,0,198,0.001380207518332633
0.1,3,1,0.65,0.8,0,0,101,0.001355860375989064
0.3,3,1,0.65,0.8,0,0,25,0.001416256243626379
0.01,5,1,0.65,0.8,0,0,982,0.001339512084835297
0.05,5,1,0.65,0.8,0,0,192,0.001354210088940121
0.1,5,1,0.65,0.8,0,0,87,0.001371682299967602
0.3,5,1,0.65,0.8,0,0,36,0.001463455512237314
0.01,7,1,0.65,0.8,0,0,1018,0.001352649850628971
0.05,7,1,0.65,0.8,0,0,231,0.001375668423732472
0.1,7,1,0.65,0.8,0,0,119,0.001398905420994064
0.3,7,1,0.65,0.8,0,0,31,0.001526327561445328
0.01,1,3,0.65,0.8,0,0,1102,0.001435549080338236
0.05,1,3,0.65,0.8,0,0,229,0.001447255496278278
0.1,1,3,0.65,0.8,0,0,135,0.001434599676297516
0.3,1,3,0.65,0.8,0,0,32,0.001507041112234558
0.01,3,3,0.65,0.8,0,0,941,0.001348656929386569
0.05,3,3,0.65,0.8,0,0,178,0.001369486210623491
0.1,3,3,0.65,0.8,0,0,95,0.001368059092099491
0.3,3,3,0.65,0.8,0,0,43,0.001450569040126961
0.01,5,3,0.65,0.8,0,0,925,0.0013407301135657749
0.05,5,3,0.65,0.8,0,0,175,0.001337697440945306
0.1,5,3,0.65,0.8,0,0,87,0.0013452313164552519
0.3,5,3,0.65,0.8,0,0,29,0.001471596180586014
0.01,7,3,0.65,0.8,0,0,917,0.001330075210264201
0.05,7,3,0.65,0.8,0,0,171,0.001356311881624469
0.1,7,3,0.65,0.8,0,0,86,0.001371371100396788
0.3,7,3,0.65,0.8,0,0,27,0.001479572171990831
0.01,1,5,0.65,0.8,0,0,1119,0.001463163825735407
0.05,1,5,0.65,0.8,0,0,225,0.001475509541367223
0.1,1,5,0.65,0.8,0,0,109,0.001474352832515791
0.3,1,5,0.65,0.8,0,0,33,0.001536631327915668
