feature,importance_value,rank
P_internet,0.001151355193453131,1
P_cell_phone,3.2685211939524074e-4,2
Current_income,2.0527179091145211e-4,3
Total_houses,1.0888770316827082e-4,4
P_university_studies,9.98815045551477e-5,5
P_age_00_14,9.64056646835819e-5,6
Total_Population,8.715551690896331e-5,7
P_migrants,8.339272041386127e-5,8
P_car,8.210629119969634e-5,9
P_read_write,8.143039836036517e-5,10
P_electricity,7.178888561885646e-5,11
P_poverty,6.584648743522259e-5,12
P_extreme_poverty,6.566312201126962e-5,13
Mean_occupants,6.47131219582161e-5,14
P_female,6.202848082814477e-5,15
P_educational_lag,5.826887264340023e-5,16
P_disability,5.488048081734183e-5,17
P_age_15_39,5.4075636257727805e-5,18
P_afrodescendants,5.198091264525102e-5,19
P_vulnerable_income,3.7208684912507555e-5,20
P_working,2.976567537492442e-5,21
P_lack_quality_living_spaces,2.9282751752610677e-5,22
P_indigenous_language,2.6482266248402616e-5,23
Mean_age,2.032126219981039e-5,24
P_age_65_more,1.6650101174923428e-5,25
