eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,927,0.001490059241123328
0.05,1,1,0.65,0.8,0,0,186,0.0014966742467426419
0.1,1,1,0.65,0.8,0,0,93,0.001492803805932969
0.3,1,1,0.65,0.8,0,0,32,0.001544548232352265
0.01,3,1,0.65,0.8,0,0,948,0.001422968397252985
0.05,3,1,0.65,0.8,0,0,186,0.001438362574792317
0.1,3,1,0.65,0.8,0,0,85,0.001452073585203651
0.3,3,1,0.65,0.8,0,0,35,0.001515231116864578
0.01,5,1,0.65,0.8,0,0,984,0.001400866115642071
0.05,5,1,0.65,0.8,0,0,196,0.001412175126886016
0.1,5,1,0.65,0.8,0,0,98,0.001456498454086559
0.3,5,1,0.65,0.8,0,0,28,0.001574922805753474
0.01,7,1,0.65,0.8,0,0,1111,0.001394152674896312
0.05,7,1,0.65,0.8,0,0,204,0.001435143617792155
0.1,7,1,0.65,0.8,0,0,131,0.001461488554221331
0.3,7,1,0.65,0.8,0,0,33,0.001563184868324423
0.01,1,3,0.65,0.8,0,0,859,0.001492466240636412
0.05,1,3,0.65,0.8,0,0,186,0.001491747221846159
0.1,1,3,0.65,0.8,0,0,88,0.001477895737202787
0.3,1,3,0.65,0.8,0,0,35,0.001528515923975282
0.01,3,3,0.65,0.8,0,0,928,0.001420740945074265
0.05,3,3,0.65,0.8,0,0,170,0.001424813923629742
0.1,3,3,0.65,0.8,0,0,98,0.001430943975411293
0.3,3,3,0.65,0.8,0,0,23,0.001490442232188167
0.01,5,3,0.65,0.8,0,0,856,0.0013843521004017
0.05,5,3,0.65,0.8,0,0,173,0.001396811560340935
0.1,5,3,0.65,0.8,0,0,89,0.001401138864125
0.3,5,3,0.65,0.8,0,0,25,0.001515473090909078
0.01,7,3,0.65,0.8,0,0,907,0.0013798160671082411
0.05,7,3,0.65,0.8,0,0,185,0.001400984430197218
0.1,7,3,0.65,0.8,0,0,89,0.001422076911960765
0.3,7,3,0.65,0.8,0,0,32,0.0015067158587644771
0.01,1,5,0.65,0.8,0,0,894,0.001498539741513125
0.05,1,5,0.65,0.8,0,0,184,0.001504323899699566
0.1,1,5,0.65,0.8,0,0,90,0.001501650582475136
0.3,1,5,0.65,0.8,0,0,42,0.00155782338730567
0.01,3,5,0.65,0.8,0,0,891,0.001429904631626262
0.05,3,5,0.65,0.8,0,0,172,0.001436431541986854
0.1,3,5,0.65,0.8,0,0,91,0.001446007882267819
0.3,3,5,0.65,0.8,0,0,26,0.001477729186447
0.01,5,5,0.65,0.8,0,0,864,0.001389275707349244
0.05,5,5,0.65,0.8,0,0,188,0.001418848397750266
0.1,5,5,0.65,0.8,0,0,92,0.001444385970912414
0.3,5,5,0.65,0.8,0,0,26,0.0014946608983903101
0.01,7,5,0.65,0.8,0,0,923,0.001389663521694404
0.05,7,5,0.65,0.8,0,0,188,0.001403133560493806
0.1,7,5,0.65,0.8,0,0,91,0.001445799713312142
0.3,7,5,0.65,0.8,0,0,26,0.001528603553826245
0.01,1,7,0.65,0.8,0,0,895,0.001508776920386666
0.05,1,7,0.65,0.8,0,0,173,0.001521519072244597
0.1,1,7,0.65,0.8,0,0,90,0.001508724525170955
0.3,1,7,0.65,0.8,0,0,50,0.001558406414369948
0.01,3,7,0.65,0.8,0,0,862,0.001429119863399059
0.05,3,7,0.65,0.8,0,0,169,0.001436201869948324
0.1,3,7,0.65,0.8,0,0,90,0.001428866031409273
0.3,3,7,0.65,0.8,0,0,27,0.001504964530055527
0.01,5,7,0.65,0.8,0,0,864,0.001403299757237154
0.05,5,7,0.65,0.8,0,0,169,0.001417588888515426
0.1,5,7,0.65,0.8,0,0,84,0.001437590830871332
0.3,5,7,0.65,0.8,0,0,25,0.001506438865419825
0.01,7,7,0.65,0.8,0,0,886,0.001405612457553983
0.05,7,7,0.65,0.8,0,0,169,0.001419719024720507
0.1,7,7,0.65,0.8,0,0,90,0.001452097086037003
0.3,7,7,0.65,0.8,0,0,26,0.001534983930957299
0.01,1,1,0.8,0.8,0,0,928,0.001488713937698008
0.05,1,1,0.8,0.8,0,0,193,0.001494773748142033
0.1,1,1,0.8,0.8,0,0,92,0.001498291980991521
0.3,1,1,0.8,0.8,0,0,55,0.001531620917415444
0.01,3,1,0.8,0.8,0,0,941,0.0014198280274953009
0.05,3,1,0.8,0.8,0,0,194,0.001431086114961639
0.1,3,1,0.8,0.8,0,0,89,0.0014147196227050009
0.3,3,1,0.8,0.8,0,0,28,0.0014951003961744319
0.01,5,1,0.8,0.8,0,0,1028,0.001394181671111811
0.05,5,1,0.8,0.8,0,0,194,0.001435233579254026
0.1,5,1,0.8,0.8,0,0,105,0.0014641880459073
0.3,5,1,0.8,0.8,0,0,24,0.0015318608762342769
0.01,7,1,0.8,0.8,0,0,1105,0.001391874333931807
0.05,7,1,0.8,0.8,0,0,249,0.001432710758829046
0.1,7,1,0.8,0.8,0,0,106,0.001433415172892124
0.3,7,1,0.8,0.8,0,0,32,0.001514004266848574
0.01,1,3,0.8,0.8,0,0,929,0.001485299235155473
0.05,1,3,0.8,0.8,0,0,197,0.001483895137924928
0.1,1,3,0.8,0.8,0,0,101,0.001490853884320326
0.3,1,3,0.8,0.8,0,0,38,0.001537692415055413
0.01,3,3,0.8,0.8,0,0,854,0.001425961623097901
0.05,3,3,0.8,0.8,0,0,194,0.001419537022009447
0.1,3,3,0.8,0.8,0,0,88,0.001399978117322399
0.3,3,3,0.8,0.8,0,0,41,0.001522912246847953
0.01,5,3,0.8,0.8,0,0,939,0.001400048940075793
0.05,5,3,0.8,0.8,0,0,191,0.001412481602338514
0.1,5,3,0.8,0.8,0,0,87,0.001420412643863592
0.3,5,3,0.8,0.8,0,0,25,0.00152975576532863
0.01,7,3,0.8,0.8,0,0,929,0.001385462866237888
0.05,7,3,0.8,0.8,0,0,184,0.001405824258262004
0.1,7,3,0.8,0.8,0,0,86,0.001423070133483412
0.3,7,3,0.8,0.8,0,0,28,0.0015010131877605279
0.01,1,5,0.8,0.8,0,0,961,0.001490400103713859
0.05,1,5,0.8,0.8,0,0,199,0.001490517161005063
0.1,1,5,0.8,0.8,0,0,113,0.001494347752946116
0.3,1,5,0.8,0.8,0,0,59,0.001538660292941238
0.01,3,5,0.8,0.8,0,0,890,0.001428293065728805
0.05,3,5,0.8,0.8,0,0,199,0.0014153099945244099
0.1,3,5,0.8,0.8,0,0,100,0.001434240379202632
0.3,3,5,0.8,0.8,0,0,33,0.0014689393459382909
0.01,5,5,0.8,0.8,0,0,936,0.001392733791793538
0.05,5,5,0.8,0.8,0,0,173,0.001384180203003522
0.1,5,5,0.8,0.8,0,0,101,0.0014008629625097
0.3,5,5,0.8,0.8,0,0,26,0.001502189632506542
0.01,7,5,0.8,0.8,0,0,927,0.001382570050405578
0.05,7,5,0.8,0.8,0,0,176,0.001392257763306026
0.1,7,5,0.8,0.8,0,0,105,0.001395342272160706
0.3,7,5,0.8,0.8,0,0,26,0.001489401102241606
0.01,1,7,0.8,0.8,0,0,923,0.001504193102377196
0.05,1,7,0.8,0.8,0,0,237,0.001502534166098779
0.1,1,7,0.8,0.8,0,0,108,0.001509074714222024
0.3,1,7,0.8,0.8,0,0,54,0.00156477661387452
0.01,3,7,0.8,0.8,0,0,930,0.001430730045569909
0.05,3,7,0.8,0.8,0,0,175,0.001422796733068196
0.1,3,7,0.8,0.8,0,0,100,0.001444591138039762
0.3,3,7,0.8,0.8,0,0,26,0.001477349375042978
0.01,5,7,0.8,0.8,0,0,929,0.001399388374735989
0.05,5,7,0.8,0.8,0,0,177,0.001401170926119172
0.1,5,7,0.8,0.8,0,0,85,0.001416413957528709
0.3,5,7,0.8,0.8,0,0,26,0.001468038485949377
0.01,7,7,0.8,0.8,0,0,918,0.001396087966830894
0.05,7,7,0.8,0.8,0,0,199,0.001406590338069871
0.1,7,7,0.8,0.8,0,0,98,0.001425261880833691
0.3,7,7,0.8,0.8,0,0,26,0.001487986902243657
0.01,1,1,1,0.8,0,0,1220,0.001479113107568693
0.05,1,1,1,0.8,0,0,240,0.001477744415305301
0.1,1,1,1,0.8,0,0,126,0.001482283640964848
0.3,1,1,1,0.8,0,0,37,0.001521317166384395
0.01,3,1,1,0.8,0,0,926,0.001421293085783793
0.05,3,1,1,0.8,0,0,216,0.001418902815675488
0.1,3,1,1,0.8,0,0,96,0.00143305658619799
0.3,3,1,1,0.8,0,0,30,0.001500500507285031
0.01,5,1,1,0.8,0,0,1185,0.001416191477248781
0.05,5,1,1,0.8,0,0,264,0.001430765863610485
0.1,5,1,1,0.8,0,0,135,0.001427802364802396
0.3,5,1,1,0.8,0,0,44,0.001540395979864074
0.01,7,1,1,0.8,0,0,1185,0.001412429111329832
0.05,7,1,1,0.8,0,0,264,0.001422724562685441
0.1,7,1,1,0.8,0,0,135,0.001463451144689998
0.3,7,1,1,0.8,0,0,44,0.0015614039411171949
0.01,1,3,1,0.8,0,0,1233,0.001475362051462765
0.05,1,3,1,0.8,0,0,257,0.001472307688843093
0.1,1,3,1,0.8,0,0,131,0.001474118173470393
0.3,1,3,1,0.8,0,0,36,0.00153038108868632
0.01,3,3,1,0.8,0,0,950,0.001431243947377987
0.05,3,3,1,0.8,0,0,198,0.001427730117816336
0.1,3,3,1,0.8,0,0,86,0.001415667552314307
0.3,3,3,1,0.8,0,0,41,0.001511774675824824
0.01,5,3,1,0.8,0,0,1185,0.001416033723060864
0.05,5,3,1,0.8,0,0,264,0.001409807639958388
0.1,5,3,1,0.8,0,0,135,0.0014079196464051899
0.3,5,3,1,0.8,0,0,44,0.00146733923211004
0.01,7,3,1,0.8,0,0,1185,0.001404771094806577
0.05,7,3,1,0.8,0,0,264,0.001409490889734135
