eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,911,0.001396551922257589
0.05,1,1,0.65,0.8,0,0,265,0.001380740038938567
0.1,1,1,0.65,0.8,0,0,134,0.001391209687518505
0.3,1,1,0.65,0.8,0,0,72,0.001453116986818496
0.01,3,1,0.65,0.8,0,0,891,0.001307818770352219
0.05,3,1,0.65,0.8,0,0,175,0.001327706139235087
0.1,3,1,0.65,0.8,0,0,91,0.001340579490311963
0.3,3,1,0.65,0.8,0,0,23,0.001395951286417112
0.01,5,1,0.65,0.8,0,0,985,0.001299398666198987
0.05,5,1,0.65,0.8,0,0,206,0.001322754781733301
0.1,5,1,0.65,0.8,0,0,90,0.001352381835676143
0.3,5,1,0.65,0.8,0,0,25,0.0014840068095344121
0.01,7,1,0.65,0.8,0,0,1067,0.001311711970728255
0.05,7,1,0.65,0.8,0,0,205,0.001332107763967787
0.1,7,1,0.65,0.8,0,0,110,0.001367023715719436
0.3,7,1,0.65,0.8,0,0,25,0.001519037439457085
0.01,1,3,0.65,0.8,0,0,1030,0.001365139685674341
0.05,1,3,0.65,0.8,0,0,242,0.001370907487738243
0.1,1,3,0.65,0.8,0,0,105,0.001375456713438941
0.3,1,3,0.65,0.8,0,0,51,0.001450706037729789
0.01,3,3,0.65,0.8,0,0,948,0.001306960776580993
0.05,3,3,0.65,0.8,0,0,219,0.0013089204351869699
0.1,3,3,0.65,0.8,0,0,86,0.001350213536889605
0.3,3,3,0.65,0.8,0,0,28,0.001391313558883027
0.01,5,3,0.65,0.8,0,0,914,0.001287413885873523
0.05,5,3,0.65,0.8,0,0,171,0.001317182053532695
0.1,5,3,0.65,0.8,0,0,84,0.001329163400619284
0.3,5,3,0.65,0.8,0,0,26,0.001421383039676297
0.01,7,3,0.65,0.8,0,0,935,0.00129411960399603
0.05,7,3,0.65,0.8,0,0,173,0.001303169052096648
0.1,7,3,0.65,0.8,0,0,91,0.001330107406438425
0.3,7,3,0.65,0.8,0,0,27,0.001452550964864479
0.01,1,5,0.65,0.8,0,0,1035,0.0013920108306472241
0.05,1,5,0.65,0.8,0,0,245,0.001393104920757559
0.1,1,5,0.65,0.8,0,0,104,0.00140776252621318
0.3,1,5,0.65,0.8,0,0,51,0.001464426171559173
0.01,3,5,0.65,0.8,0,0,899,0.001320818664179181
0.05,3,5,0.65,0.8,0,0,172,0.001340397852826258
0.1,3,5,0.65,0.8,0,0,85,0.00134305862692158
0.3,3,5,0.65,0.8,0,0,26,0.001371062572337826
0.01,5,5,0.65,0.8,0,0,903,0.001296061212753224
0.05,5,5,0.65,0.8,0,0,171,0.001320110979827158
0.1,5,5,0.65,0.8,0,0,97,0.001339842739501283
0.3,5,5,0.65,0.8,0,0,24,0.001408371689020468
0.01,7,5,0.65,0.8,0,0,912,0.001299241985200668
0.05,7,5,0.65,0.8,0,0,192,0.0013227526294749539
0.1,7,5,0.65,0.8,0,0,89,0.001327727387206333
0.3,7,5,0.65,0.8,0,0,26,0.001396258882027018
0.01,1,7,0.65,0.8,0,0,1023,0.001410861922293706
0.05,1,7,0.65,0.8,0,0,225,0.001407428514466311
0.1,1,7,0.65,0.8,0,0,124,0.00140631155934463
0.3,1,7,0.65,0.8,0,0,43,0.001471311628381268
0.01,3,7,0.65,0.8,0,0,899,0.001326090526624462
0.05,3,7,0.65,0.8,0,0,170,0.001318446811523186
0.1,3,7,0.65,0.8,0,0,85,0.001355710866577871
0.3,3,7,0.65,0.8,0,0,28,0.001402943894120646
0.01,5,7,0.65,0.8,0,0,890,0.00130974623331194
0.05,5,7,0.65,0.8,0,0,171,0.001319776613071407
0.1,5,7,0.65,0.8,0,0,86,0.001349842182531152
0.3,5,7,0.65,0.8,0,0,26,0.0014087888884793231
0.01,7,7,0.65,0.8,0,0,898,0.001308427765450713
0.05,7,7,0.65,0.8,0,0,177,0.001322730845884525
0.1,7,7,0.65,0.8,0,0,96,0.001334284119331256
0.3,7,7,0.65,0.8,0,0,24,0.001391582281445312
0.01,1,1,0.8,0.8,0,0,1176,0.001379404255968838
0.05,1,1,0.8,0.8,0,0,340,0.001358842505345224
0.1,1,1,0.8,0.8,0,0,170,0.001370806359604216
0.3,1,1,0.8,0.8,0,0,84,0.001386252081958583
0.01,3,1,0.8,0.8,0,0,939,0.001302477525152506
0.05,3,1,0.8,0.8,0,0,189,0.001305633409365296
0.1,3,1,0.8,0.8,0,0,96,0.00134213185613936
0.3,3,1,0.8,0.8,0,0,30,0.001409597880975917
0.01,5,1,0.8,0.8,0,0,1031,0.001288713065967132
0.05,5,1,0.8,0.8,0,0,243,0.001300576498066531
0.1,5,1,0.8,0.8,0,0,108,0.001357936668191542
0.3,5,1,0.8,0.8,0,0,26,0.001456410091461893
0.01,7,1,0.8,0.8,0,0,1207,0.00131003884558378
0.05,7,1,0.8,0.8,0,0,276,0.001318876279006893
0.1,7,1,0.8,0.8,0,0,119,0.001361506283879168
0.3,7,1,0.8,0.8,0,0,38,0.001508491163731241
0.01,1,3,0.8,0.8,0,0,1393,0.001345406693112226
0.05,1,3,0.8,0.8,0,0,302,0.001341251157737598
0.1,1,3,0.8,0.8,0,0,142,0.001358033384692308
0.3,1,3,0.8,0.8,0,0,72,0.001382538063480885
0.01,3,3,0.8,0.8,0,0,932,0.001307674172325401
0.05,3,3,0.8,0.8,0,0,198,0.001308975066656065
0.1,3,3,0.8,0.8,0,0,91,0.001314876562954291
0.3,3,3,0.8,0.8,0,0,27,0.001384133156091059
0.01,5,3,0.8,0.8,0,0,915,0.001295066418210862
0.05,5,3,0.8,0.8,0,0,169,0.001311776517842966
0.1,5,3,0.8,0.8,0,0,91,0.001325137191809024
0.3,5,3,0.8,0.8,0,0,27,0.00142043551367296
0.01,7,3,0.8,0.8,0,0,932,0.001297008537256632
0.05,7,3,0.8,0.8,0,0,190,0.001302094156517851
0.1,7,3,0.8,0.8,0,0,91,0.001323906710748426
0.3,7,3,0.8,0.8,0,0,27,0.001451725626822344
0.01,1,5,0.8,0.8,0,0,1249,0.001373810107613697
0.05,1,5,0.8,0.8,0,0,295,0.001363720050213868
0.1,1,5,0.8,0.8,0,0,153,0.001376480511491761
0.3,1,5,0.8,0.8,0,0,42,0.001409629737369234
0.01,3,5,0.8,0.8,0,0,954,0.001320099447678424
0.05,3,5,0.8,0.8,0,0,194,0.001324756902116958
0.1,3,5,0.8,0.8,0,0,90,0.001337656693500652
0.3,3,5,0.8,0.8,0,0,32,0.001390776816072823
0.01,5,5,0.8,0.8,0,0,932,0.0012906515570220221
0.05,5,5,0.8,0.8,0,0,194,0.001302880447360284
0.1,5,5,0.8,0.8,0,0,88,0.001327750646207125
0.3,5,5,0.8,0.8,0,0,27,0.0014306197680710661
0.01,7,5,0.8,0.8,0,0,933,0.001296303753500375
0.05,7,5,0.8,0.8,0,0,193,0.001300626985746069
0.1,7,5,0.8,0.8,0,0,92,0.0013163397370835731
0.3,7,5,0.8,0.8,0,0,27,0.00141976046468688
0.01,1,7,0.8,0.8,0,0,1159,0.001394668149501891
0.05,1,7,0.8,0.8,0,0,272,0.001382751204327171
0.1,1,7,0.8,0.8,0,0,138,0.001393171479804831
0.3,1,7,0.8,0.8,0,0,43,0.001428379191086568
0.01,3,7,0.8,0.8,0,0,930,0.0013305320206999831
0.05,3,7,0.8,0.8,0,0,181,0.0013255368192673
0.1,3,7,0.8,0.8,0,0,112,0.001336432123722327
0.3,3,7,0.8,0.8,0,0,28,0.001401720711540231
0.01,5,7,0.8,0.8,0,0,914,0.001303912267391602
0.05,5,7,0.8,0.8,0,0,184,0.0013168500083907881
0.1,5,7,0.8,0.8,0,0,96,0.001328590653268401
0.3,5,7,0.8,0.8,0,0,24,0.001407106710624076
0.01,7,7,0.8,0.8,0,0,898,0.001304567879427968
0.05,7,7,0.8,0.8,0,0,190,0.001318182404506625
0.1,7,7,0.8,0.8,0,0,90,0.001327526395178786
0.3,7,7,0.8,0.8,0,0,27,0.0014023140634497099
0.01,1,1,1,0.8,0,0,1754,0.001368186796738354
0.05,1,1,1,0.8,0,0,388,0.001367272736405087
0.1,1,1,1,0.8,0,0,174,0.001369317703636082
0.3,1,1,1,0.8,0,0,67,0.001416702547375667
0.01,3,1,1,0.8,0,0,908,0.0013018854969088739
0.05,3,1,1,0.8,0,0,178,0.001299568858131003
0.1,3,1,1,0.8,0,0,94,0.001312058146584686
0.3,3,1,1,0.8,0,0,28,0.001334868986425372
0.01,5,1,1,0.8,0,0,1186,0.001307403620467859
0.05,5,1,1,0.8,0,0,264,0.001317202221002972
0.1,5,1,1,0.8,0,0,135,0.001329999822514174
0.3,5,1,1,0.8,0,0,44,0.001346332762436252
0.01,7,1,1,0.8,0,0,1185,0.001317347585772584
0.05,7,1,1,0.8,0,0,264,0.001323814141127629
0.1,7,1,1,0.8,0,0,135,0.001330017822292705
0.3,7,1,1,0.8,0,0,43,0.00136182999713412
0.01,1,3,1,0.8,0,0,1859,0.001332402281016539
0.05,1,3,1,0.8,0,0,392,0.001331134369804801
0.1,1,3,1,0.8,0,0,194,0.00133488275854489
0.3,1,3,1,0.8,0,0,95,0.001375603817536486
0.01,3,3,1,0.8,0,0,989,0.001314428030209752
0.05,3,3,1,0.8,0,0,197,0.001321777729895168
0.1,3,3,1,0.8,0,0,84,0.001315508220000429
0.3,3,3,1,0.8,0,0,24,0.001365973018433277
0.01,5,3,1,0.8,0,0,1185,0.001317035869897861
0.05,5,3,1,0.8,0,0,264,0.001323369793025745
0.1,5,3,1,0.8,0,0,135,0.001320810722740634
