feature,importance_value,rank
P_internet,0.0010752882455348242,1
bias_w,3.6026934374884084e-4,2
P_cell_phone,3.0675398287423496e-4,3
Current_income,1.8465638111772394e-4,4
P_university_studies,1.217915529204881e-4,5
Total_houses,1.0385616070474418e-4,6
P_female,6.871784109689202e-5,7
P_car,6.834693394828812e-5,8
P_age_00_14,6.769591374862092e-5,9
Total_Population,6.755415250052769e-5,10
Mean_occupants,6.553934136050387e-5,11
P_migrants,6.212051915392575e-5,12
P_electricity,6.109304067308157e-5,13
P_extreme_poverty,6.0754775407995653e-05,14
P_educational_lag,4.580743575986107e-5,15
P_disability,4.343658680321249e-5,16
P_afrodescendants,3.951420537359986e-5,17
P_poverty,3.8766798031288995e-5,18
P_vulnerable_income,3.622154717872778e-5,19
P_read_write,3.5563762521795256e-5,20
P_age_15_39,3.195643876361968e-5,21
P_working,2.6122796452308627e-5,22
P_lack_quality_living_spaces,2.4739522712927892e-5,23
P_indigenous_language,2.003091872277474e-5,24
Mean_age,1.9423714572581475e-5,25
P_age_65_more,1.0710683727010787e-5,26
