eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1038,0.00138951111458023
0.05,1,1,0.65,0.8,0,0,232,0.001387182427311626
0.1,1,1,0.65,0.8,0,0,95,0.001413617856178252
0.3,1,1,0.65,0.8,0,0,25,0.001479700876836632
0.01,3,1,0.65,0.8,0,0,896,0.00133832541544602
0.05,3,1,0.65,0.8,0,0,170,0.001346948424587843
0.1,3,1,0.65,0.8,0,0,86,0.001338492933134824
0.3,3,1,0.65,0.8,0,0,25,0.0014595416496480029
0.01,5,1,0.65,0.8,0,0,974,0.001327420277412071
0.05,5,1,0.65,0.8,0,0,203,0.001334009800400862
0.1,5,1,0.65,0.8,0,0,90,0.001355009890181494
0.3,5,1,0.65,0.8,0,0,25,0.001457881552866922
0.01,7,1,0.65,0.8,0,0,1100,0.001332702121993807
0.05,7,1,0.65,0.8,0,0,230,0.001335892860008589
0.1,7,1,0.65,0.8,0,0,98,0.001356514260491694
0.3,7,1,0.65,0.8,0,0,24,0.001508804429641322
0.01,1,3,0.65,0.8,0,0,983,0.001390010775396286
0.05,1,3,0.65,0.8,0,0,239,0.001388738095486052
0.1,1,3,0.65,0.8,0,0,124,0.001409051511956243
0.3,1,3,0.65,0.8,0,0,65,0.001451202082043378
0.01,3,3,0.65,0.8,0,0,884,0.001340471129704897
0.05,3,3,0.65,0.8,0,0,168,0.001333223407955048
0.1,3,3,0.65,0.8,0,0,85,0.00133235509747277
0.3,3,3,0.65,0.8,0,0,28,0.001448772927693311
0.01,5,3,0.65,0.8,0,0,893,0.001327247550344354
0.05,5,3,0.65,0.8,0,0,199,0.0013255256951585541
0.1,5,3,0.65,0.8,0,0,86,0.001352535655160108
0.3,5,3,0.65,0.8,0,0,24,0.00143388318109888
0.01,7,3,0.65,0.8,0,0,925,0.001317209032800521
0.05,7,3,0.65,0.8,0,0,176,0.001340069855158851
0.1,7,3,0.65,0.8,0,0,95,0.0013676670267251641
0.3,7,3,0.65,0.8,0,0,37,0.001426892998349639
0.01,1,5,0.65,0.8,0,0,1029,0.001403392936001758
0.05,1,5,0.65,0.8,0,0,216,0.001409924605603812
0.1,1,5,0.65,0.8,0,0,96,0.001420941469624689
0.3,1,5,0.65,0.8,0,0,24,0.001501659641552117
0.01,3,5,0.65,0.8,0,0,898,0.001348842962667614
0.05,3,5,0.65,0.8,0,0,178,0.0013493942118635099
0.1,3,5,0.65,0.8,0,0,94,0.001358743597153041
0.3,3,5,0.65,0.8,0,0,24,0.001409632342094232
0.01,5,5,0.65,0.8,0,0,902,0.001329354574481578
0.05,5,5,0.65,0.8,0,0,188,0.001331517934849965
0.1,5,5,0.65,0.8,0,0,87,0.001351894609403613
0.3,5,5,0.65,0.8,0,0,23,0.001441643821858172
0.01,7,5,0.65,0.8,0,0,931,0.001327047312245147
0.05,7,5,0.65,0.8,0,0,214,0.001342382175980238
0.1,7,5,0.65,0.8,0,0,93,0.00135128997781115
0.3,7,5,0.65,0.8,0,0,26,0.001470141826761193
0.01,1,7,0.65,0.8,0,0,1008,0.001420476479757675
0.05,1,7,0.65,0.8,0,0,225,0.00142980435430064
0.1,1,7,0.65,0.8,0,0,90,0.001430857881208214
0.3,1,7,0.65,0.8,0,0,32,0.001488996298870862
0.01,3,7,0.65,0.8,0,0,862,0.001350211275124737
0.05,3,7,0.65,0.8,0,0,183,0.001348379462842162
0.1,3,7,0.65,0.8,0,0,87,0.001373103320934855
