feature,importance_value,rank
bias_w,0.023989435917306578,1
P_educational_lag,0.00856633515855295,2
P_age_15_39,0.00792179469563985,3
Total_Population,0.007456377870265022,4
P_age_00_14,0.005956082966782636,5
P_internet,0.0055556059824109555,6
Total_houses,0.004634396737218002,7
P_poverty,0.004578256827285957,8
P_read_write,0.004553412998108415,9
P_lack_quality_living_spaces,0.004315112827042212,10
P_car,0.003606704783666552,11
P_university_studies,0.0034439070260872747,12
P_age_65_more,0.0030853476223289926,13
Current_income,0.0030241464928743283,14
P_cell_phone,0.0029155037481445995,15
longitude,0.002677627887632625,16
P_migrants,0.002488201286300955,17
P_indigenous_language,0.002231685514962263,18
latitude,0.002195971023280424,19
P_working,0.002041431809939228,20
P_extreme_poverty,0.0020308675303403103,21
P_electricity,0.0019967463633764897,22
P_vulnerable_income,0.0019041320483791492,23
P_female,0.0018804942322704307,24
P_afrodescendants,0.0012939958027945364,25
P_disability,9.402941834082021e-4,26
Mean_age,8.967285877234155e-4,27
Mean_occupants,4.3578075325624474e-4,28
