eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,473,0.08079438290881266
0.05,1,1,0.65,0.8,0,0,115,0.08072361672432442
0.1,1,1,0.65,0.8,0,0,51,0.08075792818261954
0.3,1,1,0.65,0.8,0,0,14,0.08126669201462515
0.01,3,1,0.65,0.8,0,0,462,0.07944787133781582
0.05,3,1,0.65,0.8,0,0,90,0.08037894096618295
0.1,3,1,0.65,0.8,0,0,51,0.08154418800126503
0.3,3,1,0.65,0.8,0,0,13,0.08413423940597448
0.01,5,1,0.65,0.8,0,0,510,0.07883448462368192
0.05,5,1,0.65,0.8,0,0,90,0.0801782115007623
0.1,5,1,0.65,0.8,0,0,45,0.08147320534966113
0.3,5,1,0.65,0.8,0,0,13,0.08623233802298583
0.01,7,1,0.65,0.8,0,0,500,0.0792322930666322
0.05,7,1,0.65,0.8,0,0,120,0.08011525350562555
0.1,7,1,0.65,0.8,0,0,58,0.08304814054287317
0.3,7,1,0.65,0.8,0,0,12,0.08911000122051288
0.01,1,3,0.65,0.8,0,0,450,0.08034228385533891
0.05,1,3,0.65,0.8,0,0,143,0.07970962329273998
0.1,1,3,0.65,0.8,0,0,62,0.08001875133734103
0.3,1,3,0.65,0.8,0,0,15,0.08066788946214855
0.01,3,3,0.65,0.8,0,0,462,0.07799100808233282
0.05,3,3,0.65,0.8,0,0,89,0.07905814186745899
0.1,3,3,0.65,0.8,0,0,54,0.07845076923271885
0.3,3,3,0.65,0.8,0,0,15,0.08050372889064752
0.01,5,3,0.65,0.8,0,0,463,0.07772580089853955
0.05,5,3,0.65,0.8,0,0,102,0.07841871090655736
0.1,5,3,0.65,0.8,0,0,45,0.07870365769962323
0.3,5,3,0.65,0.8,0,0,11,0.08466888109359737
0.01,7,3,0.65,0.8,0,0,462,0.07784671092979142
0.05,7,3,0.65,0.8,0,0,101,0.07819057498517691
0.1,7,3,0.65,0.8,0,0,44,0.07939441323361929
0.3,7,3,0.65,0.8,0,0,13,0.08584354844660667
0.01,1,5,0.65,0.8,0,0,527,0.08002727759415255
0.05,1,5,0.65,0.8,0,0,107,0.07998126026575697
0.1,1,5,0.65,0.8,0,0,61,0.07998752021950109
0.3,1,5,0.65,0.8,0,0,15,0.0807482255586906
0.01,3,5,0.65,0.8,0,0,462,0.0777592456787048
0.05,3,5,0.65,0.8,0,0,132,0.07776225366796961
0.1,3,5,0.65,0.8,0,0,54,0.07810446386866049
0.3,3,5,0.65,0.8,0,0,13,0.08037766821329174
0.01,5,5,0.65,0.8,0,0,429,0.07738470114760465
0.05,5,5,0.65,0.8,0,0,103,0.07628278328212285
0.1,5,5,0.65,0.8,0,0,45,0.07861486874016878
0.3,5,5,0.65,0.8,0,0,13,0.07979045068680722
0.01,7,5,0.65,0.8,0,0,511,0.07707204364825182
0.05,7,5,0.65,0.8,0,0,94,0.07718103561581721
0.1,7,5,0.65,0.8,0,0,44,0.07843802732470125
0.3,7,5,0.65,0.8,0,0,15,0.0812884532629048
0.01,1,7,0.65,0.8,0,0,518,0.07988850591830396
0.05,1,7,0.65,0.8,0,0,140,0.07953309421775266
0.1,1,7,0.65,0.8,0,0,54,0.07983321476205783
0.3,1,7,0.65,0.8,0,0,15,0.0803672418394295
0.01,3,7,0.65,0.8,0,0,527,0.07687792271369746
0.05,3,7,0.65,0.8,0,0,129,0.07704010855569557
0.1,3,7,0.65,0.8,0,0,67,0.07771579524988945
