feature,importance_value,rank
bias_w,0.022917775693186294,1
P_age_15_39,0.009811358430510985,2
P_educational_lag,0.00959934058093923,3
Total_Population,0.0089054175653843,4
P_poverty,0.008823528212402168,5
P_age_00_14,0.00799283981272481,6
P_internet,0.007724657035972869,7
P_university_studies,0.005568006875826463,8
P_indigenous_language,0.005500525036366104,9
P_cell_phone,0.00538465557890662,10
Total_houses,0.0052313087169231845,11
P_car,0.005058210052458491,12
P_age_65_more,0.00476728318932526,13
Current_income,0.004682565234131044,14
P_lack_quality_living_spaces,0.004596938240128194,15
P_migrants,0.003703219271058445,16
P_female,0.0034192237200134034,17
P_afrodescendants,0.0033087474944831306,18
P_electricity,0.003298250464761423,19
P_read_write,0.003236555030975518,20
P_extreme_poverty,0.003105605187138362,21
P_vulnerable_income,0.0028702545847796826,22
P_working,0.0027550116478405927,23
Mean_occupants,0.002481519766064464,24
P_disability,0.0024139457176810156,25
Mean_age,0.001753067489386001,26
