eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,506,0.08012698231433484
0.05,1,1,0.65,0.8,0,0,99,0.08007794902976527
0.1,1,1,0.65,0.8,0,0,60,0.07980219401764824
0.3,1,1,0.65,0.8,0,0,18,0.08012293572241946
0.01,3,1,0.65,0.8,0,0,418,0.07918478775818456
0.05,3,1,0.65,0.8,0,0,99,0.07890283294695154
0.1,3,1,0.65,0.8,0,0,58,0.07990628350594024
0.3,3,1,0.65,0.8,0,0,17,0.08397909463771877
0.01,5,1,0.65,0.8,0,0,559,0.07864301973798234
0.05,5,1,0.65,0.8,0,0,95,0.0791014597280119
0.1,5,1,0.65,0.8,0,0,45,0.07952800496352526
0.3,5,1,0.65,0.8,0,0,12,0.08346787769932579
0.01,7,1,0.65,0.8,0,0,529,0.07861751303599034
0.05,7,1,0.65,0.8,0,0,96,0.0801953636849547
0.1,7,1,0.65,0.8,0,0,46,0.08035881562457008
0.3,7,1,0.65,0.8,0,0,12,0.08442007368089
0.01,1,3,0.65,0.8,0,0,506,0.08010365029689191
0.05,1,3,0.65,0.8,0,0,99,0.0800511359024416
0.1,1,3,0.65,0.8,0,0,60,0.07971664114351429
0.3,1,3,0.65,0.8,0,0,17,0.08004805426617281
0.01,3,3,0.65,0.8,0,0,488,0.07770516137151878
0.05,3,3,0.65,0.8,0,0,100,0.07730764923781122
0.1,3,3,0.65,0.8,0,0,79,0.0783816856729436
0.3,3,3,0.65,0.8,0,0,14,0.08153046147144793
0.01,5,3,0.65,0.8,0,0,432,0.07768566588263161
0.05,5,3,0.65,0.8,0,0,93,0.0779486758463788
0.1,5,3,0.65,0.8,0,0,52,0.07841204102915066
0.3,5,3,0.65,0.8,0,0,14,0.08289738798897268
0.01,7,3,0.65,0.8,0,0,460,0.0778232600919478
0.05,7,3,0.65,0.8,0,0,96,0.07898896656914475
0.1,7,3,0.65,0.8,0,0,49,0.07931547752496
0.3,7,3,0.65,0.8,0,0,18,0.08360107946448797
0.01,1,5,0.65,0.8,0,0,506,0.08008186210062744
0.05,1,5,0.65,0.8,0,0,118,0.08006025536758109
0.1,1,5,0.65,0.8,0,0,60,0.07990105387699865
