eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,670,0.08355463994767781
0.05,1,1,0.65,0.8,0,0,149,0.08359481450777047
0.1,1,1,0.65,0.8,0,0,121,0.08305329024455482
0.3,1,1,0.65,0.8,0,0,69,0.08276471635760918
0.01,3,1,0.65,0.8,0,0,639,0.08034623300709122
0.05,3,1,0.65,0.8,0,0,102,0.08228840168633506
0.1,3,1,0.65,0.8,0,0,81,0.08294780445026688
0.3,3,1,0.65,0.8,0,0,12,0.08615588002994885
0.01,5,1,0.65,0.8,0,0,561,0.0803762667591699
0.05,5,1,0.65,0.8,0,0,103,0.08140703514559847
0.1,5,1,0.65,0.8,0,0,48,0.08323368289505073
0.3,5,1,0.65,0.8,0,0,15,0.08783618600717526
0.01,7,1,0.65,0.8,0,0,613,0.08047168429976173
0.05,7,1,0.65,0.8,0,0,111,0.08125933876483224
0.1,7,1,0.65,0.8,0,0,46,0.08331237839276578
0.3,7,1,0.65,0.8,0,0,13,0.08764378547932408
0.01,1,3,0.65,0.8,0,0,1103,0.0822273544566178
0.05,1,3,0.65,0.8,0,0,150,0.08291716176007709
0.1,1,3,0.65,0.8,0,0,133,0.08200605543335124
0.3,1,3,0.65,0.8,0,0,48,0.08249445125145999
0.01,3,3,0.65,0.8,0,0,612,0.08012296008861783
0.05,3,3,0.65,0.8,0,0,98,0.08138391593293312
0.1,3,3,0.65,0.8,0,0,46,0.08188452602551
0.3,3,3,0.65,0.8,0,0,13,0.08520946583064092
0.01,5,3,0.65,0.8,0,0,488,0.07996772179575835
0.05,5,3,0.65,0.8,0,0,99,0.08100428459600051
0.1,5,3,0.65,0.8,0,0,69,0.08008222370350566
0.3,5,3,0.65,0.8,0,0,12,0.08734340601753779
0.01,7,3,0.65,0.8,0,0,486,0.08016133053405854
0.05,7,3,0.65,0.8,0,0,100,0.08060717091251145
0.1,7,3,0.65,0.8,0,0,58,0.08113421905188867
0.3,7,3,0.65,0.8,0,0,11,0.08824822206432133
0.01,1,5,0.65,0.8,0,0,1103,0.0820594405225823
0.05,1,5,0.65,0.8,0,0,193,0.08246858965485035
0.1,1,5,0.65,0.8,0,0,133,0.08190739714104019
0.3,1,5,0.65,0.8,0,0,48,0.08247628279467153
0.01,3,5,0.65,0.8,0,0,518,0.07980939925295907
0.05,3,5,0.65,0.8,0,0,94,0.08078774828943093
0.1,3,5,0.65,0.8,0,0,52,0.08031938730479266
0.3,3,5,0.65,0.8,0,0,18,0.08396625986915845
0.01,5,5,0.65,0.8,0,0,528,0.07925035713324106
0.05,5,5,0.65,0.8,0,0,94,0.07953434597184243
0.1,5,5,0.65,0.8,0,0,52,0.08000805577526772
0.3,5,5,0.65,0.8,0,0,14,0.08359547240698519
0.01,7,5,0.65,0.8,0,0,436,0.0793081707246119
0.05,7,5,0.65,0.8,0,0,79,0.07967422828464162
0.1,7,5,0.65,0.8,0,0,40,0.08029113737673532
0.3,7,5,0.65,0.8,0,0,13,0.08591017925616323
0.01,1,7,0.65,0.8,0,0,1075,0.0820512810034587
