feature,importance_value,rank
P_age_00_14,0.012178927723271834,1
P_internet,0.011435860062573232,2
P_read_write,0.010489782378090146,3
P_age_15_39,0.010237134466335552,4
Total_Population,0.008997184750103417,5
P_educational_lag,0.008601926446826412,6
P_poverty,0.007206367308098763,7
Total_houses,0.006856936101128089,8
P_indigenous_language,0.00662846377124083,9
Current_income,0.005879247574230049,10
P_lack_quality_living_spaces,0.0054926072139947785,11
P_age_65_more,0.005275237660256645,12
P_migrants,0.00494379911106518,13
P_cell_phone,0.004594621654632256,14
P_female,0.0045480262005118096,15
P_university_studies,0.004346363407686614,16
P_electricity,0.004212102960960005,17
P_afrodescendants,0.003845773169962215,18
P_disability,0.003557788103852484,19
P_working,0.003163649411051384,20
P_extreme_poverty,0.0030805473200210664,21
P_car,0.0028957222152201424,22
Mean_occupants,0.002827302223756668,23
P_vulnerable_income,0.002822579282977313,24
Mean_age,0.00130425655559301,25
