eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,867,0.0828015077301506
0.05,1,1,0.65,0.8,0,0,120,0.08328928579764099
0.1,1,1,0.65,0.8,0,0,74,0.08291560367540515
0.3,1,1,0.65,0.8,0,0,37,0.082455756616
0.01,3,1,0.65,0.8,0,0,540,0.08101975711196766
0.05,3,1,0.65,0.8,0,0,96,0.08155746239769629
0.1,3,1,0.65,0.8,0,0,75,0.0816717670630642
0.3,3,1,0.65,0.8,0,0,12,0.083671605207842
0.01,5,1,0.65,0.8,0,0,537,0.08080189181940643
0.05,5,1,0.65,0.8,0,0,97,0.08130177188342638
0.1,5,1,0.65,0.8,0,0,38,0.08232704882748834
0.3,5,1,0.65,0.8,0,0,11,0.08773742750326609
0.01,7,1,0.65,0.8,0,0,582,0.08077610971854639
0.05,7,1,0.65,0.8,0,0,118,0.08117498357977641
0.1,7,1,0.65,0.8,0,0,60,0.08330847951660644
0.3,7,1,0.65,0.8,0,0,14,0.09428903410750727
0.01,1,3,0.65,0.8,0,0,869,0.08270385631997099
0.05,1,3,0.65,0.8,0,0,117,0.08320067934153208
0.1,1,3,0.65,0.8,0,0,74,0.0828358553260933
0.3,1,3,0.65,0.8,0,0,52,0.08211381342440137
0.01,3,3,0.65,0.8,0,0,444,0.08122922001625993
0.05,3,3,0.65,0.8,0,0,88,0.08039020293142976
0.1,3,3,0.65,0.8,0,0,59,0.08150729036360554
0.3,3,3,0.65,0.8,0,0,14,0.08465256209338876
0.01,5,3,0.65,0.8,0,0,434,0.080586965544227
0.05,5,3,0.65,0.8,0,0,95,0.08108434342933336
0.1,5,3,0.65,0.8,0,0,44,0.08437124696718179
0.3,5,3,0.65,0.8,0,0,15,0.08586222141045684
0.01,7,3,0.65,0.8,0,0,471,0.08070664945874229
0.05,7,3,0.65,0.8,0,0,89,0.08140089232158265
0.1,7,3,0.65,0.8,0,0,45,0.08436276019381929
0.3,7,3,0.65,0.8,0,0,16,0.08623540285880421
0.01,1,5,0.65,0.8,0,0,869,0.08257814872251663
0.05,1,5,0.65,0.8,0,0,236,0.0823117629218361
0.1,1,5,0.65,0.8,0,0,74,0.0827591603921918
0.3,1,5,0.65,0.8,0,0,35,0.0821789359225621
0.01,3,5,0.65,0.8,0,0,477,0.0807357514145327
0.05,3,5,0.65,0.8,0,0,122,0.08075029224107316
0.1,3,5,0.65,0.8,0,0,51,0.08189041336080759
0.3,3,5,0.65,0.8,0,0,15,0.08329509491983363
0.01,5,5,0.65,0.8,0,0,471,0.08030091569721107
0.05,5,5,0.65,0.8,0,0,109,0.08086881634452758
0.1,5,5,0.65,0.8,0,0,49,0.08285968198710437
