feature,importance_value,rank
bias_w,0.01732143483813701,1
P_age_00_14,0.010972319648267902,2
P_internet,0.010464567110112772,3
Total_Population,0.008310943391658372,4
P_poverty,0.008153306434213678,5
Total_houses,0.007539659695843848,6
P_educational_lag,0.0071918734830024355,7
P_age_15_39,0.007145020843533122,8
P_age_65_more,0.006885017677768732,9
P_cell_phone,0.005965193727010577,10
longitude,0.0058477760271129844,11
P_read_write,0.005244242952765524,12
Current_income,0.004980396113252464,13
P_lack_quality_living_spaces,0.0047079679803543485,14
P_migrants,0.004248701115577539,15
latitude,0.004229383336438702,16
P_indigenous_language,0.003957419333375272,17
P_extreme_poverty,0.0038882952459779884,18
P_university_studies,0.003466017430712294,19
P_car,0.003108148983486641,20
P_female,0.002579930864577468,21
P_vulnerable_income,0.0024802000756544477,22
P_disability,0.0023435148947214893,23
P_electricity,0.002204529379277171,24
P_afrodescendants,0.002198955738259433,25
P_working,0.0013265713161687489,26
Mean_occupants,0.0010723693710702356,27
Mean_age,0.0010494764302583508,28
