eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,493,0.08156437485907807
0.05,1,1,0.65,0.8,0,0,123,0.08153847059442718
0.1,1,1,0.65,0.8,0,0,47,0.08182715412010089
0.3,1,1,0.65,0.8,0,0,20,0.08175903802909187
0.01,3,1,0.65,0.8,0,0,465,0.08128944922830593
0.05,3,1,0.65,0.8,0,0,90,0.08160868403000306
0.1,3,1,0.65,0.8,0,0,37,0.08222967925769574
0.3,3,1,0.65,0.8,0,0,13,0.08267000041061777
0.01,5,1,0.65,0.8,0,0,490,0.08093551088190479
0.05,5,1,0.65,0.8,0,0,93,0.08183884340389429
0.1,5,1,0.65,0.8,0,0,44,0.08209560126679843
0.3,5,1,0.65,0.8,0,0,12,0.08789678972520373
0.01,7,1,0.65,0.8,0,0,503,0.08087286205562352
0.05,7,1,0.65,0.8,0,0,112,0.08269899391022442
0.1,7,1,0.65,0.8,0,0,69,0.08354834294124194
0.3,7,1,0.65,0.8,0,0,14,0.08955390845594491
0.01,1,3,0.65,0.8,0,0,588,0.08085640474809884
0.05,1,3,0.65,0.8,0,0,144,0.08057785388633185
0.1,1,3,0.65,0.8,0,0,84,0.08069504106488577
0.3,1,3,0.65,0.8,0,0,26,0.08046089193222686
0.01,3,3,0.65,0.8,0,0,517,0.07977545706552366
0.05,3,3,0.65,0.8,0,0,89,0.0797983515035667
0.1,3,3,0.65,0.8,0,0,71,0.0801420205624583
0.3,3,3,0.65,0.8,0,0,13,0.08374960034508837
0.01,5,3,0.65,0.8,0,0,442,0.07959368348892785
0.05,5,3,0.65,0.8,0,0,84,0.07965384291015269
0.1,5,3,0.65,0.8,0,0,44,0.08101998193408033
0.3,5,3,0.65,0.8,0,0,10,0.08454082183959732
0.01,7,3,0.65,0.8,0,0,449,0.07925616234514517
0.05,7,3,0.65,0.8,0,0,90,0.07958232174663239
0.1,7,3,0.65,0.8,0,0,49,0.0807628854580585
0.3,7,3,0.65,0.8,0,0,10,0.08617651146781698
0.01,1,5,0.65,0.8,0,0,527,0.08082979475383531
0.05,1,5,0.65,0.8,0,0,144,0.0804994070285365
0.1,1,5,0.65,0.8,0,0,64,0.08069586233530052
0.3,1,5,0.65,0.8,0,0,25,0.08040487773949104
0.01,3,5,0.65,0.8,0,0,480,0.07951088346109408
0.05,3,5,0.65,0.8,0,0,107,0.07890439517482126
0.1,3,5,0.65,0.8,0,0,56,0.08013019605148608
0.3,3,5,0.65,0.8,0,0,11,0.08290615548603061
0.01,5,5,0.65,0.8,0,0,443,0.0790091007951804
0.05,5,5,0.65,0.8,0,0,98,0.07954232687553348
0.1,5,5,0.65,0.8,0,0,63,0.07903496557410421
0.3,5,5,0.65,0.8,0,0,13,0.08332839331988413
0.01,7,5,0.65,0.8,0,0,431,0.07920561586457685
0.05,7,5,0.65,0.8,0,0,82,0.07974925544158376
0.1,7,5,0.65,0.8,0,0,52,0.07997320563800094
0.3,7,5,0.65,0.8,0,0,14,0.08541969963539957
0.01,1,7,0.65,0.8,0,0,588,0.08072236201280435
0.05,1,7,0.65,0.8,0,0,144,0.08048765333414643
0.1,1,7,0.65,0.8,0,0,83,0.08054040844045945
0.3,1,7,0.65,0.8,0,0,25,0.08040016452066047
0.01,3,7,0.65,0.8,0,0,467,0.07908313963842897
0.05,3,7,0.65,0.8,0,0,91,0.07901237622755491
0.1,3,7,0.65,0.8,0,0,47,0.07970034095084502
0.3,3,7,0.65,0.8,0,0,13,0.082328312770322
0.01,5,7,0.65,0.8,0,0,445,0.07886059529067484
0.05,5,7,0.65,0.8,0,0,86,0.0787815827305676
0.1,5,7,0.65,0.8,0,0,48,0.07937650079827996
0.3,5,7,0.65,0.8,0,0,15,0.08308449795894866
0.01,7,7,0.65,0.8,0,0,468,0.07843193994708285
0.05,7,7,0.65,0.8,0,0,98,0.07881047689832096
0.1,7,7,0.65,0.8,0,0,62,0.07954073827642114
0.3,7,7,0.65,0.8,0,0,13,0.08245653051230085
0.01,1,1,0.8,0.8,0,0,568,0.08139641049943434
0.05,1,1,0.8,0.8,0,0,103,0.08143800324822778
0.1,1,1,0.8,0.8,0,0,73,0.08140054994901236
0.3,1,1,0.8,0.8,0,0,19,0.08141551377383158
0.01,3,1,0.8,0.8,0,0,473,0.08076548134489668
0.05,3,1,0.8,0.8,0,0,96,0.08124062145284437
0.1,3,1,0.8,0.8,0,0,64,0.08188185618148841
0.3,3,1,0.8,0.8,0,0,13,0.08443074355260374
0.01,5,1,0.8,0.8,0,0,494,0.08008632294344627
0.05,5,1,0.8,0.8,0,0,120,0.08045797938163844
0.1,5,1,0.8,0.8,0,0,54,0.08227754717091942
0.3,5,1,0.8,0.8,0,0,11,0.08824089727594489
0.01,7,1,0.8,0.8,0,0,497,0.080435675542379
0.05,7,1,0.8,0.8,0,0,100,0.08192612960518494
0.1,7,1,0.8,0.8,0,0,64,0.08302885697145806
0.3,7,1,0.8,0.8,0,0,13,0.0918468956031482
0.01,1,3,0.8,0.8,0,0,635,0.08080075467750827
0.05,1,3,0.8,0.8,0,0,180,0.08049230487040668
0.1,1,3,0.8,0.8,0,0,98,0.08057545998789872
0.3,1,3,0.8,0.8,0,0,40,0.08055490004230967
0.01,3,3,0.8,0.8,0,0,514,0.07935632295181226
0.05,3,3,0.8,0.8,0,0,96,0.07980273841933833
0.1,3,3,0.8,0.8,0,0,47,0.08064771352647616
0.3,3,3,0.8,0.8,0,0,14,0.08247136055271781
0.01,5,3,0.8,0.8,0,0,515,0.07900713635245735
0.05,5,3,0.8,0.8,0,0,92,0.07978401090400317
0.1,5,3,0.8,0.8,0,0,42,0.08095378484233658
0.3,5,3,0.8,0.8,0,0,10,0.08597660460729116
0.01,7,3,0.8,0.8,0,0,576,0.07883798131666436
0.05,7,3,0.8,0.8,0,0,99,0.08033903989056151
0.1,7,3,0.8,0.8,0,0,51,0.08044330616383101
