feature,importance_value,rank
bias_w,0.01870990450253831,1
P_internet,0.010426802541570463,2
P_age_00_14,0.009384753037332359,3
P_age_15_39,0.007304059259361097,4
P_educational_lag,0.006426400742094932,5
Total_houses,0.0063820703333880915,6
Total_Population,0.006303786666522662,7
P_poverty,0.005335871335894515,8
P_lack_quality_living_spaces,0.004512598291688294,9
P_read_write,0.0044521876278532605,10
P_indigenous_language,0.004084570673950804,11
P_age_65_more,0.004014891139365405,12
P_migrants,0.0036274234430984744,13
P_female,0.003517175742862068,14
Current_income,0.0035149985115351013,15
P_cell_phone,0.0034592584390022016,16
P_car,0.002839712624058638,17
P_electricity,0.0027606042190226844,18
P_afrodescendants,0.0023465762584825457,19
P_disability,0.00204028640238824,20
P_university_studies,0.002029266283444515,21
P_vulnerable_income,0.001956265865482765,22
P_extreme_poverty,0.0018538935888839287,23
Mean_occupants,0.0017310343641344205,24
P_working,0.0014555829666200982,25
Mean_age,7.345481160473261e-4,26
