eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,627,0.08089878489218355
0.05,1,1,0.65,0.8,0,0,128,0.08066124908648878
0.1,1,1,0.65,0.8,0,0,100,0.08041287475619369
0.3,1,1,0.65,0.8,0,0,16,0.08074412686292294
0.01,3,1,0.65,0.8,0,0,430,0.08053359643817541
0.05,3,1,0.65,0.8,0,0,87,0.08081024710879053
0.1,3,1,0.65,0.8,0,0,43,0.08186211346198918
0.3,3,1,0.65,0.8,0,0,14,0.08381415684389104
0.01,5,1,0.65,0.8,0,0,513,0.08076340372654067
0.05,5,1,0.65,0.8,0,0,99,0.0817429704465194
0.1,5,1,0.65,0.8,0,0,61,0.0829458751927737
0.3,5,1,0.65,0.8,0,0,12,0.08753965682567502
0.01,7,1,0.65,0.8,0,0,515,0.08103676916601504
0.05,7,1,0.65,0.8,0,0,101,0.08188911179898342
0.1,7,1,0.65,0.8,0,0,65,0.08282117537938542
0.3,7,1,0.65,0.8,0,0,12,0.09008348174803002
0.01,1,3,0.65,0.8,0,0,627,0.08080070840998507
0.05,1,3,0.65,0.8,0,0,133,0.0805709973226176
0.1,1,3,0.65,0.8,0,0,94,0.08030118687040322
0.3,1,3,0.65,0.8,0,0,16,0.0807017665573131
0.01,3,3,0.65,0.8,0,0,432,0.07981321755251347
0.05,3,3,0.65,0.8,0,0,91,0.08000226366762625
0.1,3,3,0.65,0.8,0,0,58,0.08001831382045756
0.3,3,3,0.65,0.8,0,0,18,0.08335348261101139
0.01,5,3,0.65,0.8,0,0,425,0.08021593730360288
0.05,5,3,0.65,0.8,0,0,79,0.08043076113606794
0.1,5,3,0.65,0.8,0,0,46,0.08189794011752743
0.3,5,3,0.65,0.8,0,0,13,0.08596488269272815
0.01,7,3,0.65,0.8,0,0,462,0.07991048588234768
0.05,7,3,0.65,0.8,0,0,88,0.08113297188972592
0.1,7,3,0.65,0.8,0,0,44,0.0824903092312783
0.3,7,3,0.65,0.8,0,0,10,0.09011922000633908
0.01,1,5,0.65,0.8,0,0,626,0.08072920762983374
0.05,1,5,0.65,0.8,0,0,149,0.080434498050258
0.1,1,5,0.65,0.8,0,0,119,0.08016079029916412
0.3,1,5,0.65,0.8,0,0,37,0.08055442566536855
0.01,3,5,0.65,0.8,0,0,438,0.07979468032987773
0.05,3,5,0.65,0.8,0,0,93,0.07970818960950353
0.1,3,5,0.65,0.8,0,0,48,0.0795458971662241
0.3,3,5,0.65,0.8,0,0,12,0.08301671454929158
0.01,5,5,0.65,0.8,0,0,436,0.07977077545836363
0.05,5,5,0.65,0.8,0,0,99,0.07904517840674063
0.1,5,5,0.65,0.8,0,0,39,0.08076742757386424
0.3,5,5,0.65,0.8,0,0,14,0.08412404346570412
0.01,7,5,0.65,0.8,0,0,436,0.07967062749816885
0.05,7,5,0.65,0.8,0,0,110,0.07896603273815117
0.1,7,5,0.65,0.8,0,0,50,0.08056902320856943
0.3,7,5,0.65,0.8,0,0,10,0.08546997735178366
0.01,1,7,0.65,0.8,0,0,640,0.08068749650473953
0.05,1,7,0.65,0.8,0,0,149,0.08033783539255157
0.1,1,7,0.65,0.8,0,0,118,0.08002391189345938
0.3,1,7,0.65,0.8,0,0,37,0.0804554265548686
0.01,3,7,0.65,0.8,0,0,488,0.07925200208140247
0.05,3,7,0.65,0.8,0,0,94,0.07935805708804655
0.1,3,7,0.65,0.8,0,0,48,0.07957473045284401
0.3,3,7,0.65,0.8,0,0,13,0.08119409881038836
0.01,5,7,0.65,0.8,0,0,488,0.07941433165288608
