CVEGEO,NOMGEO,pop_dfd
1001,Aguascalientes,87846
1002,Asientos,1859
1003,Calvillo,3532
1004,Cosío,993
1005,Jesús María,12570
1006,Pabellón de Arteaga,3806
1007,Rincón de Romos,3874
1008,San José de Gracia,2158
1009,Tepezalá,1408
1010,El Llano,2314
1011,San Francisco de los Romo,12775
2001,Ensenada,46935
2002,Mexicali,131325
2003,Tecate,8140
2004,Tijuana,215805
2005,Playas de Rosarito,14729
2006,San Quintín,5692
3001,Comondú,5088
3002,Mulegé,3664
3003,La Paz,31091
3008,Los Cabos,35621
3009,Loreto,584
4001,Calkiní,2922
4002,Campeche,16040
4003,Carmen,13482
4004,Champotón,1544
4005,Hecelchakán,1245
4006,Hopelchén,681
4007,Palizada,904
4008,Tenabo,805
4009,Escárcega,2808
4010,Calakmul,483
4011,Candelaria,1114
4012,Seybaplaya,786
5001,Abasolo,555
5002,Acuña,6855
5003,Allende,1370
5004,Arteaga,8424
5005,Candela,105
5006,Castaños,4981
5007,Cuatro Ciénegas,780
5008,Escobedo,99
5009,Francisco I. Madero,2540
5010,Frontera,14148
5011,General Cepeda,502
5012,Guerrero,191
5013,Hidalgo,69
5014,Jiménez,1866
5015,Juárez,157
5016,Lamadrid,52
5017,Matamoros,27506
5018,Monclova,18380
5019,Morelos,1177
5020,Múzquiz,4775
5021,Nadadores,1779
5022,Nava,5524
5023,Ocampo,176
5024,Parras,3405
5025,Piedras Negras,13404
5026,Progreso,256
5027,Ramos Arizpe,30482
5028,Sabinas,8656
5029,Sacramento,145
5030,Saltillo,84381
5031,San Buenaventura,1459
5032,San Juan de Sabinas,3521
5033,San Pedro,6300
5034,Sierra Mojada,240
5035,Torreón,39953
5036,Viesca,2759
5037,Villa Unión,1435
5038,Zaragoza,3474
6001,Armería,1179
6002,Colima,6199
6003,Comala,4046
6004,Coquimatlán,2294
6005,Cuauhtémoc,8223
6006,Ixtlahuacán,969
6007,Manzanillo,12468
6008,Minatitlán,778
6009,Tecomán,5661
6010,Villa de Álvarez,12328
7001,Acacoyagua,123
7002,Acala,760
7003,Acapetahua,890
7004,Altamirano,194
7005,Amatán,298
7006,Amatenango de la Frontera,452
7007,Amatenango del Valle,89
7008,Ángel Albino Corzo,361
7009,Arriaga,1935
7010,Bejucal de Ocampo,145
7011,Bella Vista,355
7012,Berriozábal,3788
7013,Bochil,948
7014,El Bosque,116
7015,Cacahoatán,676
7016,Catazajá,703
7017,Cintalapa,2408
7018,Coapilla,106
7019,Comitán de Domínguez,7050
7020,La Concordia,795
7021,Copainalá,569
7022,Chalchihuitán,166
7023,Chamula,1869
7024,Chanal,92
7025,Chapultenango,111
7026,Chenalhó,492
7027,Chiapa de Corzo,14899
7029,Chicoasén,63
7030,Chicomuselo,629
7031,Chilón,1116
7032,Escuintla,1004
7033,Francisco León,138
7034,Frontera Comalapa,2327
7035,Frontera Hidalgo,481
7037,Huehuetán,2492
7038,Huixtán,710
7039,Huitiupán,366
7040,Huixtla,1510
7041,La Independencia,726
7042,Ixhuatán,78
7043,Ixtacomitán,239
7044,Ixtapa,2557
7045,Ixtapangajoya,172
7046,Jiquipilas,1215
7047,Jitotol,352
7048,Juárez,1795
7049,Larráinzar,173
7050,La Libertad,379
7051,Mapastepec,1440
7052,Las Margaritas,1326
7053,Mazapa de Madero,165
7054,Mazatán,1768
7057,Motozintla,1574
7059,Ocosingo,2859
7061,Ocozocoautla de Espinosa,4880
7062,Ostuacán,396
7064,Oxchuc,258
7065,Palenque,5544
7066,Pantelhó,146
7068,Pichucalco,1631
7069,Pijijiapan,1532
7070,El Porvenir,285
7071,Villa Comaltitlán,834
7072,Pueblo Nuevo Solistahuacán,220
7073,Rayón,153
7074,Reforma,2118
7075,Las Rosas,470
7076,Sabanilla,52
7077,Salto de Agua,1095
7078,San Cristóbal de las Casas,5948
7079,San Fernando,8626
7080,Siltepec,255
7081,Simojovel,394
7082,Sitalá,51
7083,Socoltenango,671
7084,Solosuchiapa,342
7085,Soyaló,530
7086,Suchiapa,1538
7087,Suchiate,501
7089,Tapachula,15322
7090,Tapalapa,175
7091,Tapilula,219
7092,Tecpatán,418
7093,Tenejapa,278
7094,Teopisca,627
7096,Tila,412
7097,Tonalá,3685
7098,Totolapa,208
7099,La Trinitaria,1119
7100,Tumbalá,305
7101,Tuxtla Gutiérrez,35858
7102,Tuxtla Chico,3701
7103,Tuzantán,1012
7104,Tzimol,1435
7106,Venustiano Carranza,1363
7107,Villa Corzo,2280
7108,Villaflores,2940
7109,Yajalón,507
7110,San Lucas,369
7111,Zinacantán,1559
7112,San Juan Cancuc,52
7114,Benemérito de las Américas,384
7115,Maravilla Tenejapa,128
7116,Marqués de Comillas,239
7117,Montecristo de Guerrero,52
7120,Capitán Luis Ángel Vidal,69
7121,Rincón Chamula San Pedro,123
7122,El Parral,178
7123,Emiliano Zapata,34
7124,Mezcalapa,503
7125,Honduras de la Sierra,133
8001,Ahumada,733
8002,Aldama,5391
8003,Allende,754
8004,Aquiles Serdán,4875
8005,Ascensión,1259
8006,Bachíniva,209
8007,Balleza,153
8008,Batopilas de Manuel Gómez Morín,0
8009,Bocoyna,771
8010,Buenaventura,1094
8011,Camargo,3876
8012,Carichí,64
8013,Casas Grandes,1607
8014,Coronado,49
8015,Coyame del Sotol,11
8016,La Cruz,587
8017,Cuauhtémoc,12645
8018,Cusihuiriachi,2001
8019,Chihuahua,106813
8020,Chínipas,78
8021,Delicias,6812
8022,Dr. Belisario Domínguez,97
8023,Galeana,229
8024,Santa Isabel,294
8025,Gómez Farías,287
8026,Gran Morelos,146
8027,Guachochi,799
8028,Guadalupe,453
8029,Guadalupe y Calvo,446
8030,Guazapares,59
8031,Guerrero,1606
8032,Hidalgo del Parral,8121
8033,Huejotitán,14
8034,Ignacio Zaragoza,188
8035,Janos,442
8036,Jiménez,3143
8037,Juárez,142158
8038,Julimes,482
8039,López,318
8040,Madera,814
8041,Maguarichi,0
8042,Manuel Benavides,15
8043,Matachí,85
8044,Matamoros,1552
8045,Meoqui,3913
8046,Morelos,0
8047,Moris,19
8048,Namiquipa,827
8049,Nonoava,30
8050,Nuevo Casas Grandes,4641
8051,Ocampo,371
8052,Ojinaga,1447
8053,Praxedis G. Guerrero,116
8054,Riva Palacio,121
8055,Rosales,5168
8056,Rosario,14
8057,San Francisco de Borja,30
8058,San Francisco de Conchos,453
8059,San Francisco del Oro,501
8060,Santa Bárbara,1122
8061,Satevó,109
8062,Saucillo,3514
8063,Temósachic,79
8064,El Tule,50
8065,Urique,111
8066,Uruachi,0
8067,Valle de Zaragoza,162
9004,Cuajimalpa de Morelos,73223
9007,Iztapalapa,250374
9008,La Magdalena Contreras,34058
9009,Milpa Alta,45198
9010,Álvaro Obregón,132472
9011,Tláhuac,53204
9012,Tlalpan,97900
9013,Xochimilco,74441
9016,Miguel Hidalgo,158038
9017,Venustiano Carranza,154942
10001,Canatlán,1287
10002,Canelas,336
10003,Coneto de Comonfort,79
10004,Cuencamé,1972
10005,Durango,60098
10006,General Simón Bolívar,69
10007,Gómez Palacio,28488
10008,Guadalupe Victoria,2279
10009,Guanaceví,183
10010,Hidalgo,46
10011,Indé,158
10012,Lerdo,30094
10013,Mapimí,905
10014,Mezquital,158
10015,Nazas,464
10016,Nombre de Dios,1045
10017,Ocampo,258
10018,El Oro,335
10019,Otáez,32
10020,Pánuco de Coronado,677
10021,Peñón Blanco,382
10022,Poanas,1198
