CVEGEO,NOMGEO,pop_dfd
1001,Aguascalientes,87846
1002,Asientos,1859
1003,Calvillo,3532
1004,Cosío,993
1005,Jesús María,12570
1006,Pabellón de Arteaga,3806
1007,Rincón de Romos,3874
1008,San José de Gracia,2158
1009,Tepezalá,1408
1010,El Llano,2314
1011,San Francisco de los Romo,12775
2001,Ensenada,46953
2002,Mexicali,131350
2003,Tecate,8165
2004,Tijuana,215805
2005,Playas de Rosarito,14729
2006,San Quintín,5695
3001,Comondú,5106
3002,Mulegé,3676
3003,La Paz,31130
3008,Los Cabos,35621
3009,Loreto,584
4001,Calkiní,2944
4002,Campeche,16046
4003,Carmen,13498
4004,Champotón,1582
4005,Hecelchakán,1252
4006,Hopelchén,692
4007,Palizada,905
4008,Tenabo,806
4009,Escárcega,2811
4010,Calakmul,489
4011,Candelaria,1130
4012,Seybaplaya,786
5001,Abasolo,555
5002,Acuña,6857
5003,Allende,1369
5004,Arteaga,8442
5005,Candela,123
5006,Castaños,4981
5007,Cuatro Ciénegas,806
5008,Escobedo,106
5009,Francisco I. Madero,2549
5010,Frontera,14148
5011,General Cepeda,520
5012,Guerrero,215
5013,Hidalgo,69
5014,Jiménez,1869
5015,Juárez,176
5016,Lamadrid,52
5017,Matamoros,27506
5018,Monclova,18380
5019,Morelos,1177
5020,Múzquiz,4775
5021,Nadadores,1779
5022,Nava,5533
5023,Ocampo,197
5024,Parras,3423
5025,Piedras Negras,13404
5026,Progreso,265
5027,Ramos Arizpe,30528
5028,Sabinas,8656
5029,Sacramento,145
5030,Saltillo,84435
5031,San Buenaventura,1459
5032,San Juan de Sabinas,3521
5033,San Pedro,6300
5034,Sierra Mojada,249
5035,Torreón,39964
5036,Viesca,2764
5037,Villa Unión,1442
5038,Zaragoza,3488
6001,Armería,1179
6002,Colima,6200
6003,Comala,4047
6004,Coquimatlán,2294
6005,Cuauhtémoc,8223
6006,Ixtlahuacán,968
6007,Manzanillo,12468
6008,Minatitlán,778
6009,Tecomán,5661
6010,Villa de Álvarez,12328
7001,Acacoyagua,123
7002,Acala,760
7003,Acapetahua,889
7004,Altamirano,194
7005,Amatán,298
7006,Amatenango de la Frontera,453
7007,Amatenango del Valle,89
7008,Ángel Albino Corzo,362
7009,Arriaga,1935
7010,Bejucal de Ocampo,145
7011,Bella Vista,355
7012,Berriozábal,3788
7013,Bochil,948
7014,El Bosque,116
7015,Cacahoatán,676
7016,Catazajá,702
7017,Cintalapa,2416
7018,Coapilla,106
7019,Comitán de Domínguez,7050
7020,La Concordia,795
7021,Copainalá,569
7022,Chalchihuitán,166
7023,Chamula,1869
7024,Chanal,92
7025,Chapultenango,111
7026,Chenalhó,492
7027,Chiapa de Corzo,14900
7029,Chicoasén,63
7030,Chicomuselo,629
7031,Chilón,1117
7032,Escuintla,1004
7033,Francisco León,139
7034,Frontera Comalapa,2327
7035,Frontera Hidalgo,482
7037,Huehuetán,2491
7038,Huixtán,710
7039,Huitiupán,366
7040,Huixtla,1510
7041,La Independencia,733
7042,Ixhuatán,78
7043,Ixtacomitán,238
7044,Ixtapa,2557
7045,Ixtapangajoya,172
7046,Jiquipilas,1224
7047,Jitotol,352
7048,Juárez,1795
7049,Larráinzar,173
7050,La Libertad,379
7051,Mapastepec,1440
7052,Las Margaritas,1326
7053,Mazapa de Madero,165
7054,Mazatán,1768
7057,Motozintla,1574
7059,Ocosingo,2892
7061,Ocozocoautla de Espinosa,4880
7062,Ostuacán,396
7064,Oxchuc,258
7065,Palenque,5545
7066,Pantelhó,146
7068,Pichucalco,1631
7069,Pijijiapan,1532
7070,El Porvenir,285
7071,Villa Comaltitlán,835
7072,Pueblo Nuevo Solistahuacán,220
7073,Rayón,153
7074,Reforma,2118
7075,Las Rosas,470
7076,Sabanilla,52
7077,Salto de Agua,1095
7078,San Cristóbal de las Casas,5948
7079,San Fernando,8626
7080,Siltepec,255
7081,Simojovel,394
7082,Sitalá,51
7083,Socoltenango,671
7084,Solosuchiapa,342
7085,Soyaló,531
7086,Suchiapa,1538
7087,Suchiate,501
7089,Tapachula,15322
7090,Tapalapa,175
7091,Tapilula,219
7092,Tecpatán,418
7093,Tenejapa,278
7094,Teopisca,627
7096,Tila,412
7097,Tonalá,3685
7098,Totolapa,208
7099,La Trinitaria,1119
7100,Tumbalá,305
7101,Tuxtla Gutiérrez,35858
7102,Tuxtla Chico,3701
7103,Tuzantán,1012
7104,Tzimol,1435
7106,Venustiano Carranza,1363
7107,Villa Corzo,2287
7108,Villaflores,2940
7109,Yajalón,507
7110,San Lucas,369
7111,Zinacantán,1559
7112,San Juan Cancuc,52
7114,Benemérito de las Américas,393
7115,Maravilla Tenejapa,128
7116,Marqués de Comillas,243
7117,Montecristo de Guerrero,52
7120,Capitán Luis Ángel Vidal,69
7121,Rincón Chamula San Pedro,123
7122,El Parral,177
7123,Emiliano Zapata,34
7124,Mezcalapa,503
7125,Honduras de la Sierra,133
8001,Ahumada,763
8002,Aldama,5398
8003,Allende,754
8004,Aquiles Serdán,4875
8005,Ascensión,1259
8006,Bachíniva,209
8007,Balleza,161
8008,Batopilas de Manuel Gómez Morín,0
8009,Bocoyna,771
8010,Buenaventura,1099
8011,Camargo,3876
8012,Carichí,64
8013,Casas Grandes,1622
8014,Coronado,49
8015,Coyame del Sotol,12
8016,La Cruz,596
8017,Cuauhtémoc,12650
8018,Cusihuiriachi,2008
8019,Chihuahua,106819
8020,Chínipas,78
8021,Delicias,6812
8022,Dr. Belisario Domínguez,97
8023,Galeana,229
8024,Santa Isabel,294
8025,Gómez Farías,290
8026,Gran Morelos,153
8027,Guachochi,799
8028,Guadalupe,462
8029,Guadalupe y Calvo,446
8030,Guazapares,59
8031,Guerrero,1637
8032,Hidalgo del Parral,8121
8033,Huejotitán,13
8034,Ignacio Zaragoza,200
8035,Janos,442
8036,Jiménez,3143
8037,Juárez,142157
8038,Julimes,482
8039,López,318
8040,Madera,831
8041,Maguarichi,0
8042,Manuel Benavides,15
8043,Matachí,85
8044,Matamoros,1552
8045,Meoqui,3913
8046,Morelos,0
8047,Moris,19
8048,Namiquipa,846
8049,Nonoava,30
8050,Nuevo Casas Grandes,4641
8051,Ocampo,372
8052,Ojinaga,1475
8053,Praxedis G. Guerrero,120
8054,Riva Palacio,121
8055,Rosales,5168
8056,Rosario,32
8057,San Francisco de Borja,39
8058,San Francisco de Conchos,453
8059,San Francisco del Oro,501
8060,Santa Bárbara,1122
8061,Satevó,117
8062,Saucillo,3514
8063,Temósachic,97
8064,El Tule,50
8065,Urique,117
8066,Uruachi,0
8067,Valle de Zaragoza,178
9004,Cuajimalpa de Morelos,73223
9007,Iztapalapa,250373
9008,La Magdalena Contreras,34058
9009,Milpa Alta,45198
9010,Álvaro Obregón,132472
9011,Tláhuac,53204
9012,Tlalpan,97900
9013,Xochimilco,74441
9016,Miguel Hidalgo,158038
9017,Venustiano Carranza,154942
10001,Canatlán,1287
10002,Canelas,336
10003,Coneto de Comonfort,80
10004,Cuencamé,1981
10005,Durango,60120
10006,General Simón Bolívar,71
10007,Gómez Palacio,28488
10008,Guadalupe Victoria,2279
10009,Guanaceví,191
10010,Hidalgo,53
10011,Indé,169
10012,Lerdo,30101
10013,Mapimí,905
10014,Mezquital,191
10015,Nazas,471
10016,Nombre de Dios,1045
10017,Ocampo,274
10018,El Oro,335
10019,Otáez,40
10020,Pánuco de Coronado,677
10021,Peñón Blanco,385
10022,Poanas,1198
