"Area_code","Area_name","Mean_devices_01_01"
1001,"Aguascalientes",25933
1002,"Asientos",1465
1003,"Calvillo",1448
1004,"Cosío",342
1005,"Jesús María",2660
1006,"Pabellón de Arteaga",956
1007,"Rincón de Romos",993
1008,"San José de Gracia",119
1009,"Tepezalá",678
1010,"El Llano",354
1011,"San Francisco de los Romo",1363
2001,"Ensenada",15667
2002,"Mexicali",33791
2003,"Tecate",3729
2004,"Tijuana",77349
2005,"Playas de Rosarito",3348
3001,"Comondú",1093
3002,"Mulegé",1126
3003,"La Paz",7717
3008,"Los Cabos",11075
3009,"Loreto",358
4001,"Calkiní",987
4002,"Campeche",7774
4003,"Carmen",5737
4004,"Champotón",1308
4005,"Hecelchakán",476
4006,"Hopelchén",395
4007,"Palizada",64
4008,"Tenabo",112
4009,"Escárcega",928
4010,"Calakmul",239
4011,"Candelaria",388
5001,"Abasolo",35
5002,"Acuña",1705
5003,"Allende",593
5004,"Arteaga",646
5005,"Candela",19
5006,"Castaños",580
5007,"Cuatro Ciénegas",250
5008,"Escobedo",53
5009,"Francisco I. Madero",968
5010,"Frontera",2415
5011,"General Cepeda",157
5012,"Guerrero",69
5013,"Hidalgo",17
5014,"Jiménez",85
5015,"Juárez",27
5016,"Lamadrid",49
5017,"Matamoros",2026
5018,"Monclova",7723
5019,"Morelos",238
5020,"Múzquiz",1676
5021,"Nadadores",105
5022,"Nava",1177
5023,"Ocampo",306
5024,"Parras",579
5025,"Piedras Negras",6544
5026,"Progreso",44
5027,"Ramos Arizpe",4054
5028,"Sabinas",1967
5029,"Sacramento",12
5030,"Saltillo",28407
5031,"San Buenaventura",469
5032,"San Juan de Sabinas",1443
5033,"San Pedro",1891
5034,"Sierra Mojada",192
5035,"Torreón",22220
5036,"Viesca",556
5037,"Villa Unión",113
5038,"Zaragoza",404
6001,"Armería",442
6002,"Colima",3849
6003,"Comala",374
6004,"Coquimatlán",312
6005,"Cuauhtémoc",491
6006,"Ixtlahuacán",104
6007,"Manzanillo",4342
6008,"Minatitlán",229
6009,"Tecomán",1772
6010,"Villa de Álvarez",3269
7001,"Acacoyagua",214
7002,"Acala",270
7003,"Acapetahua",223
7004,"Altamirano",92
7005,"Amatán",316
7006,"Amatenango de la Frontera",271
7007,"Amatenango del Valle",26
7008,"Ángel Albino Corzo",250
7009,"Arriaga",586
7010,"Bejucal de Ocampo",79
7011,"Bella Vista",166
7012,"Berriozábal",750
7013,"Bochil",410
7014,"El Bosque",411
7015,"Cacahoatán",463
7016,"Catazajá",142
7017,"Cintalapa",1023
7018,"Coapilla",42
7019,"Comitán de Domínguez",2306
7020,"La Concordia",669
7021,"Copainalá",174
7022,"Chalchihuitán",10
7023,"Chamula",399
7024,"Chanal",24
7025,"Chapultenango",100
7026,"Chenalhó",106
7027,"Chiapa de Corzo",1259
7028,"Chiapilla",25
7029,"Chicoasén",28
7030,"Chicomuselo",441
7031,"Chilón",362
7032,"Escuintla",332
7033,"Francisco León",41
7034,"Frontera Comalapa",1122
7035,"Frontera Hidalgo",93
7036,"La Grandeza",61
7037,"Huehuetán",255
7038,"Huixtán",79
7039,"Huitiupán",138
7040,"Huixtla",549
7041,"La Independencia",307
7042,"Ixhuatán",57
7043,"Ixtacomitán",152
7044,"Ixtapa",146
7045,"Ixtapangajoya",46
7046,"Jiquipilas",430
7047,"Jitotol",182
7048,"Juárez",264
7049,"Larráinzar",397
7050,"La Libertad",83
7051,"Mapastepec",585
7052,"Las Margaritas",919
7053,"Mazapa de Madero",42
7054,"Mazatán",139
7055,"Metapa",47
7056,"Mitontic",35
7057,"Motozintla",856
7058,"Nicolás Ruíz",141
7059,"Ocosingo",1836
7060,"Ocotepec",189
7061,"Ocozocoautla de Espinosa",1484
7062,"Ostuacán",261
7063,"Osumacinta",27
7064,"Oxchuc",141
7065,"Palenque",1642
7066,"Pantelhó",115
7067,"Pantepec",156
7068,"Pichucalco",500
7069,"Pijijiapan",529
7070,"El Porvenir",160
7071,"Villa Comaltitlán",145
7072,"Pueblo Nuevo Solistahuacán",75
7073,"Rayón",131
7074,"Reforma",574
7075,"Las Rosas",135
7076,"Sabanilla",137
7077,"Salto de Agua",321
7078,"San Cristóbal de las Casas",3383
7079,"San Fernando",442
7080,"Siltepec",365
7081,"Simojovel",156
7082,"Sitalá",7
7083,"Socoltenango",274
7084,"Solosuchiapa",47
7085,"Soyaló",60
7086,"Suchiapa",272
7087,"Suchiate",163
7088,"Sunuapa",14
7089,"Tapachula",5592
7090,"Tapalapa",20
7091,"Tapilula",114
7092,"Tecpatán",416
7093,"Tenejapa",83
7094,"Teopisca",279
7096,"Tila",185
7097,"Tonalá",1573
7098,"Totolapa",22
7099,"La Trinitaria",785
7100,"Tumbalá",329
7101,"Tuxtla Gutiérrez",13099
7102,"Tuxtla Chico",368
7103,"Tuzantán",208
7104,"Tzimol",272
7105,"Unión Juárez",111
7106,"Venustiano Carranza",481
7107,"Villa Corzo",356
7108,"Villaflores",1128
7109,"Yajalón",214
7110,"San Lucas",26
7111,"Zinacantán",134
7112,"San Juan Cancuc",49
7113,"Aldama",14
7114,"Benemérito de las Américas",90
7115,"Maravilla Tenejapa",77
7116,"Marqués de Comillas",139
7117,"Montecristo de Guerrero",69
7118,"San Andrés Duraznal",28
7119,"Santiago el Pinar",9
7120,"Capitán Luis Ángel Vidal",18
7121,"Rincón Chamula San Pedro",27
7122,"El Parral",114
7123,"Emiliano Zapata",195
7124,"Mezcalapa",180
8001,"Ahumada",339
8002,"Aldama",1041
8003,"Allende",225
8004,"Aquiles Serdán",794
8005,"Ascensión",865
8006,"Bachíniva",95
8007,"Balleza",136
8008,"Batopilas de Manuel Gómez Morín",85
8009,"Bocoyna",292
8010,"Buenaventura",372
8011,"Camargo",1179
8012,"Carichí",63
8013,"Casas Grandes",405
8014,"Coronado",28
8015,"Coyame del Sotol",16
8016,"La Cruz",94
8017,"Cuauhtémoc",4941
8018,"Cusihuiriachi",65
8019,"Chihuahua",30066
8020,"Chínipas",49
8021,"Delicias",4129
8022,"Dr. Belisario Domínguez",45
8023,"Galeana",111
8024,"Santa Isabel",65
8025,"Gómez Farías",93
