Codigo.municipio,Municipio, Total, 1-2 499 habitantes, 2 500 y más habitantes,Fecha
1001, Aguascalientes,948990,47544,901446,2020
1002, Asientos,51536,33776,17760,2020
1003, Calvillo,58250,29883,28367,2020
1004, Cosío,17000,8523,8477,2020
1010, El Llano,20853,14546,6307,2020
1005, Jesús María,129929,32405,97524,2020
1006, Pabellón de Arteaga,47646,12295,35351,2020
1007, Rincón de Romos,57369,14807,42562,2020
1011, San Francisco de los Romo,61997,15801,46196,2020
1008, San José de Gracia,9552,3945,5607,2020
1009, Tepezalá,22485,13371,9114,2020
2001, Ensenada,443807,46708,397099,2020
2002, Mexicali,1049792,89877,959915,2020
2005, Playas de Rosarito,126890,17006,109884,2020
2006, San Quintín,117568,41151,76417,2020
2003, Tecate,108440,14876,93564,2020
2004, Tijuana,1922523,29162,1893361,2020
3001, Comondú,73021,14341,58680,2020
3003, La Paz,292241,21395,270846,2020
3009, Loreto,18052,1741,16311,2020
3008, Los Cabos,351111,12132,338979,2020
3002, Mulegé,64022,21338,42684,2020
4010, Calakmul,31714,25985,5729,2020
4001, Calkiní,59232,13661,45571,2020
4002, Campeche,294077,26519,267558,2020
4011, Candelaria,46913,35792,11121,2020
4003, Carmen,248845,29659,219186,2020
4004, Champotón,78170,29324,48846,2020
4009, Escárcega,59923,24585,35338,2020
4005, Hecelchakán,31917,10891,21026,2020
4006, Hopelchén,42140,26288,15852,2020
4007, Palizada,8683,5198,3485,2020
4012, Seybaplaya,15297,1170,14127,2020
4008, Tenabo,11452,2704,8748,2020
5001, Abasolo,1022,1022, ,2020
5002, Acuña,163058,2833,160225,2020
5003, Allende,23056,1680,21376,2020
5004, Arteaga,29578,11468,18110,2020
5005, Candela,1643,1643, ,2020
5006, Castaños,29128,1814,27314,2020
5007, Cuatro Ciénegas,12715,2320,10395,2020
5008, Escobedo,3047,3047, ,2020
5009, Francisco I. Madero,59035,23552,35483,2020
5010, Frontera,82409,4578,77831,2020
5011, General Cepeda,11898,6363,5535,2020
5012, Guerrero,1643,1643, ,2020
5013, Hidalgo,1735,1735, ,2020
5014, Jiménez,9502,6199,3303,2020
5015, Juárez,1584,1584, ,2020
5016, Lamadrid,1764,1764, ,2020
5017, Matamoros,118337,41051,77286,2020
5018, Monclova,237951,782,237169,2020
5019, Morelos,7928,1208,6720,2020
5020, Múzquiz,71627,4380,67247,2020
5021, Nadadores,6539,2013,4526,2020
5022, Nava,33129,916,32213,2020
5023, Ocampo,9642,5991,3651,2020
5024, Parras,44472,9674,34798,2020
5025, Piedras Negras,176327,2368,173959,2020
5026, Progreso,3239,3239, ,2020
5027, Ramos Arizpe,122243,8233,114010,2020
5028, Sabinas,64811,2168,62643,2020
5029, Sacramento,2471,2471, ,2020
5030, Saltillo,879958,15527,864431,2020
5031, San Buenaventura,24759,1346,23413,2020
5032, San Juan de Sabinas,42260,3202,39058,2020
5033, San Pedro,101041,40871,60170,2020
5034, Sierra Mojada,6744,2171,4573,2020
5035, Torreón,720848,22355,698493,2020
5036, Viesca,20305,16783,3522,2020
5037, Villa Unión,6188,745,5443,2020
5038, Zaragoza,13135,1985,11150,2020
6001, Armería,27626,5867,21759,2020
6002, Colima,157048,10083,146965,2020
6003, Comala,21661,7176,14485,2020
6004, Coquimatlán,20837,5945,14892,2020
6005, Cuauhtémoc,31267,8262,23005,2020
6006, Ixtlahuacán,5623,2638,2985,2020
6007, Manzanillo,191031,18872,172159,2020
6008, Minatitlán,10231,4156,6075,2020
6009, Tecomán,116305,7427,108878,2020
6010, Villa de Álvarez,149762,2266,147496,2020
7001, Acacoyagua,17994,9902,8092,2020
7002, Acala,21187,6186,15001,2020
7003, Acapetahua,26899,20652,6247,2020
7113, Aldama,8480,8480, ,2020
7004, Altamirano,36160,25542,10618,2020
7005, Amatán,24512,20185,4327,2020
7006, Amatenango de la Frontera,31735,25915,5820,2020
7007, Amatenango del Valle,11283,5363,5920,2020
7008, Ángel Albino Corzo,31947,13262,18685,2020
7009, Arriaga,41135,12227,28908,2020
7010, Bejucal de Ocampo,7365,7365, ,2020
7011, Bella Vista,20157,20157, ,2020
7114, Benemérito de las Américas,23603,13577,10026,2020
7012, Berriozábal,64632,18670,45962,2020
7013, Bochil,37263,23063,14200,2020
7015, Cacahoatán,50112,25608,24504,2020
7120, Capitán Luis Ángel Vidal,4315,4315, ,2020
7016, Catazajá,17619,14275,3344,2020
7022, Chalchihuitán,21915,21915, ,2020
7023, Chamula,101967,97240,4727,2020
7024, Chanal,13678,4145,9533,2020
7025, Chapultenango,7472,3974,3498,2020
7026, Chenalhó,47371,43002,4369,2020
7027, Chiapa de Corzo,112075,45491,66584,2020
7028, Chiapilla,6156,1827,4329,2020
7029, Chicoasén,5402,1455,3947,2020
7030, Chicomuselo,36785,26356,10429,2020
7031, Chilón,137262,115210,22052,2020
7017, Cintalapa,88106,35436,52670,2020
7018, Coapilla,9900,6130,3770,2020
7019, Comitán de Domínguez,166178,49958,116220,2020
7021, Copainalá,22192,15067,7125,2020
7014, El Bosque,24273,12643,11630,2020
7122, El Parral,15587,3638,11949,2020
7070, El Porvenir,12263,12263, ,2020
7123, Emiliano Zapata,10783,5543,5240,2020
7032, Escuintla,30896,20272,10624,2020
7033, Francisco León,7245,7245, ,2020
7034, Frontera Comalapa,80897,52312,28585,2020
7035, Frontera Hidalgo,14556,7772,6784,2020
