"Feature_Label","Impact_SHAP_Value"
"Internet",0.00101455368008387
"Spatial bias",0.000337088252503236
"Income",0.000272903234593854
"Cell phone",0.000183949548487138
"University degree",0.000154103374090445
"Car",8.06059043843798e-05
"Poor housing conditions",7.75070688919845e-05
"Migrants",7.6587090609747e-05
"Population 0-14",7.35453292946509e-05
"Households",6.69495196364976e-05
"Extreme poverty",6.64821380327524e-05
"Female",6.53039109724323e-05
"Disability",6.31262358589596e-05
"Population",5.9080316075629e-05
"Literacy",5.53070759890502e-05
"Electricity",5.24287192475383e-05
"Poverty",4.82026266135894e-05
"Population 15-39",4.79703486059094e-05
"Mean occupants",4.63543175311558e-05
"Working",4.53227976028066e-05
