"Fold_ID","Feature_Label","Impact_SHAP_Value"
4,"Internet",0.000859960149744622
4,"Spatial bias",0.00034363778090022
4,"Income",0.000269519929619133
4,"University degree",0.000178586744215673
4,"Cell phone",0.000164283660670911
4,"Extreme poverty",8.46685479414545e-05
4,"Households",8.26052135827617e-05
4,"Female",8.1639752427093e-05
4,"Poor housing conditions",7.75070688919845e-05
4,"Car",7.42440383630871e-05
4,"Electricity",7.02260994369857e-05
4,"Population 0-14",6.81388607203517e-05
4,"Population",5.82114788808929e-05
4,"Literacy",5.28994851802576e-05
4,"Disability",4.66989453024928e-05
4,"Migrants",4.48584941743207e-05
4,"Poverty",3.29470240425336e-05
4,"Mean occupants",3.17075218031219e-05
4,"Educational lag",2.87598983455173e-05
4,"Mean age",2.49025721398891e-05
