"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
2,0.01,1,1,0.65,0.8,0,0,985,0.00156910484912265
2,0.05,1,1,0.65,0.8,0,0,263,0.00155606671563128
2,0.1,1,1,0.65,0.8,0,0,161,0.00159117295223543
2,0.3,1,1,0.65,0.8,0,0,68,0.00163030512162886
2,0.01,3,1,0.65,0.8,0,0,1035,0.00150342435590806
2,0.05,3,1,0.65,0.8,0,0,194,0.00152353548637549
2,0.1,3,1,0.65,0.8,0,0,117,0.00151378257489752
2,0.3,3,1,0.65,0.8,0,0,27,0.00161190785787685
2,0.01,5,1,0.65,0.8,0,0,989,0.00150072066747954
2,0.05,5,1,0.65,0.8,0,0,316,0.00151353094163331
2,0.1,5,1,0.65,0.8,0,0,93,0.00152031441782485
2,0.3,5,1,0.65,0.8,0,0,25,0.00165230591271214
2,0.01,7,1,0.65,0.8,0,0,1095,0.00148562500228974
2,0.05,7,1,0.65,0.8,0,0,200,0.00154802047405689
2,0.1,7,1,0.65,0.8,0,0,126,0.00155894333911081
2,0.3,7,1,0.65,0.8,0,0,28,0.00167607241807982
2,0.01,1,3,0.65,0.8,0,0,957,0.00152868265439618
2,0.05,1,3,0.65,0.8,0,0,248,0.00157808477346005
2,0.1,1,3,0.65,0.8,0,0,97,0.00158645010225445
2,0.3,1,3,0.65,0.8,0,0,64,0.00160866805374419
2,0.01,3,3,0.65,0.8,0,0,1058,0.00146470696707654
2,0.05,3,3,0.65,0.8,0,0,220,0.00150293264702658
2,0.1,3,3,0.65,0.8,0,0,81,0.00150502597688302
2,0.3,3,3,0.65,0.8,0,0,23,0.001572943828264
2,0.01,5,3,0.65,0.8,0,0,921,0.0014487060077413
2,0.05,5,3,0.65,0.8,0,0,202,0.00149735419081426
2,0.1,5,3,0.65,0.8,0,0,89,0.00149014923402113
2,0.3,5,3,0.65,0.8,0,0,25,0.00153565606849858
2,0.01,7,3,0.65,0.8,0,0,926,0.00147732819931598
2,0.05,7,3,0.65,0.8,0,0,190,0.00151885248191898
2,0.1,7,3,0.65,0.8,0,0,98,0.00149829260757693
2,0.3,7,3,0.65,0.8,0,0,27,0.00169462596609468
2,0.01,1,5,0.65,0.8,0,0,969,0.00155652125045274
2,0.05,1,5,0.65,0.8,0,0,215,0.00155873027463854
2,0.1,1,5,0.65,0.8,0,0,128,0.00156485495882258
2,0.3,1,5,0.65,0.8,0,0,41,0.00162917670989322
2,0.01,3,5,0.65,0.8,0,0,934,0.00147498501059874
2,0.05,3,5,0.65,0.8,0,0,176,0.00152217717264997
2,0.1,3,5,0.65,0.8,0,0,119,0.00150117361925646
2,0.3,3,5,0.65,0.8,0,0,47,0.00159828225206209
2,0.01,5,5,0.65,0.8,0,0,905,0.00144601222910032
2,0.05,5,5,0.65,0.8,0,0,184,0.00145758610331308
2,0.1,5,5,0.65,0.8,0,0,78,0.00151999161946341
